Timestamp,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
22:20:21.160,Init,0,3,3,0
22:20:21.160,ResetScene,0,0,3,3,0
22:20:26.175,S,0,0,3,3,0
22:20:26.195,PurpleDash,0,0,3,3,0
22:20:27.158,BluePickedUpBall,1,0,3,3,0
22:20:27.294,PurpleDash,1,0,3,3,0
22:20:27.338,PurplePickedUpBall,1,1,3,3,0
22:20:27.475,BluePickedUpBall,2,1,3,3,0
22:20:27.951,PurpleThrewBall,2,0,3,3,0
22:20:28.372,PurpleDash,2,0,3,3,0
22:20:28.592,BluePickedUpBall,3,0,3,3,0
22:20:29.371,PurplePickedUpBall,3,1,3,3,0
22:20:29.550,PurpleDash,3,1,3,3,0
22:20:29.669,PurplePickedUpBall,3,2,3,3,0
22:20:30.097,PurpleThrewBall,3,1,3,3,0
22:20:30.685,PurpleDash,3,1,3,3,0
22:20:31.611,PurpleThrewBall,3,0,3,3,0
22:20:31.782,PurplePickedUpBall,3,1,3,3,0
22:20:31.840,BlueThrewBall,2,1,3,3,0
22:20:32.044,PurpleThrewBall,2,0,3,3,0
22:20:32.044,PurpleDash,2,0,3,3,0
22:20:32.444,BlueThrewBall,1,0,3,3,0
22:20:32.448,HitPurple,1,0,3,2,0
22:20:33.127,BlueThrewBall,0,0,3,2,0
22:20:33.268,HitPurple,0,0,3,1,0
22:20:33.314,PurpleDash,0,0,3,1,0
22:20:33.317,PurplePickedUpBall,0,1,3,1,0
22:20:33.360,PurpleThrewBall,0,0,3,1,0
22:20:33.480,HitBlue,0,0,2,1,0
22:20:34.127,PurplePickedUpBall,0,1,2,1,0
22:20:34.575,PurpleDash,0,1,2,1,0
22:20:35.345,PurpleThrewBall,0,0,2,1,0
22:20:35.618,PurpleDash,0,0,2,1,0
22:20:36.227,BluePickedUpBall,1,0,2,1,0
22:20:36.583,BluePickedUpBall,2,0,2,1,0
22:20:36.761,PurpleDash,2,0,2,1,0
22:20:37.825,PurplePickedUpBall,2,1,2,1,0
22:20:37.830,PurpleDash,2,1,2,1,0
22:20:38.043,PurpleThrewBall,2,0,2,1,0
22:20:38.569,PurplePickedUpBall,2,1,2,1,0
22:20:38.987,PurpleDash,2,1,2,1,0
22:20:38.991,PurplePickedUpBall,2,2,2,1,0
22:20:39.225,BluePickedUpBall,3,2,2,1,0
22:20:39.646,PurplePickedUpBall,3,3,2,1,0
22:20:39.691,PurplePickedUpBall,3,4,2,1,0
22:20:39.782,PurpleThrewBall,3,3,2,1,0
22:20:39.875,BluePickedUpBall,4,3,2,1,0
22:20:40.111,PurpleDash,4,3,2,1,0
22:20:40.695,PurpleThrewBall,4,2,2,1,0
22:20:41.156,PurpleDash,4,2,2,1,0
22:20:41.205,PurplePickedUpBall,4,3,2,1,0
22:20:42.238,PurpleDash,4,3,2,1,0
22:20:42.286,PurpleThrewBall,4,2,2,1,0
22:20:42.633,PurpleThrewBall,4,1,2,1,0
22:20:43.208,BlueThrewBall,3,1,2,1,0
22:20:43.298,PurpleDash,3,1,2,1,0
22:20:43.636,PurpleThrewBall,3,0,2,1,0
22:20:43.638,HitBlue,3,0,1,1,0
22:20:43.640,BluePickedUpBall,4,0,1,1,0
22:20:43.745,BlueThrewBall,3,0,1,1,0
22:20:44.482,BlueThrewBall,2,0,1,1,0
22:20:44.645,PurpleDash,2,0,1,1,0
22:20:45.646,PurplePickedUpBall,2,1,1,1,0
22:20:45.738,PurpleThrewBall,2,0,1,1,0
22:20:45.810,PurpleDash,2,0,1,1,0
22:20:45.843,BlueThrewBall,1,0,1,1,0
22:20:46.584,BluePickedUpBall,2,0,1,1,0
22:20:46.970,PurpleDash,2,0,1,1,0
22:20:47.313,BlueThrewBall,1,0,1,1,0
22:20:47.815,PurplePickedUpBall,1,1,1,1,0
22:20:48.292,PurpleDash,1,1,1,1,0
22:20:49.355,PurpleThrewBall,1,0,1,1,0
22:20:49.472,HitBlue,1,0,0,1,0
22:20:49.480,GameEnd,0,0,0,1,0
22:20:49.551,PurpleDash,0,0,0,1,0
22:20:50.620,PurpleDash,0,0,0,1,0
22:20:51.476,WinScreenStart,0,0,0,1,0
22:20:51.647,PurplePickedUpBall,0,1,0,1,0
22:20:51.649,PurpleDash,0,1,0,1,0
22:20:52.282,PurplePickedUpBall,0,2,0,1,0
22:20:52.485,ResetScene,0,0,3,3,0
22:20:56.801,PurpleDash,0,0,3,3,0
22:20:57.436,PurplePickedUpBall,0,1,3,3,0
22:20:57.924,PurpleDash,0,1,3,3,0
22:20:58.668,BluePickedUpBall,1,1,3,3,0
22:20:59.042,PurpleDash,1,1,3,3,0
22:20:59.560,BluePickedUpBall,2,1,3,3,0
22:20:59.970,PurplePickedUpBall,2,2,3,3,0
22:21:00.179,PurpleDash,2,2,3,3,0
22:21:00.596,PurplePickedUpBall,2,3,3,3,0
22:21:01.228,PurpleDash,2,3,3,3,0
22:21:01.568,PurpleThrewBall,2,2,3,3,0
22:21:01.898,PurpleThrewBall,2,1,3,3,0
22:21:02.152,PurpleThrewBall,2,0,3,3,0
22:21:02.306,PurpleDash,2,0,3,3,0
22:21:03.331,PurplePickedUpBall,2,1,3,3,0
22:21:03.385,PurpleDash,2,1,3,3,0
22:21:03.832,PurpleThrewBall,2,0,3,3,0
22:21:04.429,PurpleDash,2,0,3,3,0
22:21:04.489,PurplePickedUpBall,2,1,3,3,0
22:21:05.564,PurpleDash,2,1,3,3,0
22:21:06.105,BluePickedUpBall,3,1,3,3,0
22:21:06.620,PurplePickedUpBall,3,2,3,3,0
22:21:06.623,PurpleDash,3,2,3,3,0
22:21:07.367,PurpleThrewBall,3,1,3,3,0
22:21:07.748,PurpleDash,3,1,3,3,0
22:21:07.750,BluePickedUpBall,4,1,3,3,0
22:21:08.834,PurpleDash,4,1,3,3,0
22:21:09.438,PurpleThrewBall,4,0,3,3,0
22:21:09.875,PurpleDash,4,0,3,3,0
22:21:09.928,PurplePickedUpBall,4,1,3,3,0
22:21:10.217,PurpleThrewBall,4,0,3,3,0
22:21:10.264,BlueThrewBall,3,0,3,3,0
22:21:10.486,HitPurple,3,0,3,2,0
22:21:11.144,PurpleDash,3,0,3,2,0
22:21:11.146,PurplePickedUpBall,3,1,3,2,0
22:21:11.631,BlueThrewBall,2,1,3,2,0
22:21:11.751,PurpleThrewBall,2,0,3,2,0
22:21:12.272,PurpleDash,2,0,3,2,0
22:21:12.563,PurplePickedUpBall,2,1,3,2,0
22:21:13.312,PurpleThrewBall,2,0,3,2,0
22:21:13.630,PurpleDash,2,0,3,2,0
22:21:13.681,BlueThrewBall,1,0,3,2,0
22:21:14.722,BlueThrewBall,0,0,3,2,0
22:21:14.731,PurplePickedUpBall,0,1,3,2,0
