,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
2,0.0,S,0,0,3,3,0.0
3,0.279,BluePickedUpBall,1,0,3,3,0.0
4,0.492,BluePickedUpBall,2,0,3,3,0.0
5,1.017,BluePickedUpBall,3,0,3,3,0.0
6,1.921,PurplePickedUpBall,3,1,3,3,0.0
7,2.718,PurplePickedUpBall,3,2,3,3,0.0
8,3.102,PurplePickedUpBall,3,3,3,3,0.0
9,3.979,PurplePickedUpBall,3,4,3,3,0.0
10,13.707,PurpleThrewBall,3,3,3,3,0.0
11,18.329,BluePickedUpBall,4,3,3,3,0.0
12,19.13,PurplePickedUpBall,4,4,3,3,0.0
13,23.563,BlueThrewBall,3,4,3,3,0.0
14,37.343,PurpleThrewBall,3,3,3,3,0.0
15,37.35,HitBlue,3,3,2,3,0.0
16,37.352,BluePickedUpBall,4,3,2,3,0.0
17,42.939,PurplePickedUpBall,4,4,2,3,0.0
18,45.771,PurpleThrewBall,4,3,2,3,0.0
19,45.778,HitBlue,4,3,1,3,0.0
20,49.49,PurpleThrewBall,4,2,1,3,0.0
21,49.497,HitBlue,4,2,0,3,0.0
22,49.507,GameEnd,0,2,0,3,0.0
23,49.673,PurpleThrewBall,0,1,0,3,0.0
24,52.787,WinScreenStart,0,1,0,3,0.0
25,53.886,ResetScene,0,0,3,3,0.0
26,60.73,BluePickedUpBall,1,0,3,3,0.0
27,61.231,BluePickedUpBall,2,0,3,3,0.0
28,61.458,BlueThrewBall,1,0,3,3,0.0
29,63.316,BluePickedUpBall,2,0,3,3,0.0
30,63.659,BluePickedUpBall,3,0,3,3,0.0
31,63.89,PurplePickedUpBall,3,1,3,3,0.0
32,67.296,PurpleThrewBall,3,0,3,3,0.0
33,68.755,BlueThrewBall,2,0,3,3,0.0
34,68.969,BluePickedUpBall,3,0,3,3,0.0
35,72.032,PurplePickedUpBall,3,1,3,3,0.0
36,84.584,PurpleThrewBall,3,0,3,3,0.0
37,86.442,BlueThrewBall,2,0,3,3,0.0
38,86.669,BluePickedUpBall,3,0,3,3,0.0
39,88.292,BlueThrewBall,2,0,3,3,0.0
40,88.297,HitPurple,2,0,3,2,0.0
41,88.299,PurplePickedUpBall,2,1,3,2,0.0
42,89.117,BlueThrewBall,1,1,3,2,0.0
43,89.125,HitPurple,1,1,3,1,0.0
44,89.225,PurplePickedUpBall,1,2,3,1,0.0
45,89.228,PurplePickedUpBall,1,3,3,1,0.0
46,89.337,PurplePickedUpBall,1,4,3,1,0.0
47,89.906,PurpleThrewBall,1,3,3,1,0.0
48,90.688,PurpleThrewBall,1,2,3,1,0.0
49,90.694,HitBlue,1,2,2,1,0.0
50,90.697,BluePickedUpBall,2,2,2,1,0.0
51,91.865,BluePickedUpBall,3,2,2,1,0.0
52,92.077,BluePickedUpBall,4,2,2,1,0.0
53,93.154,BlueThrewBall,3,2,2,1,0.0
54,101.165,PurplePickedUpBall,3,3,2,1,0.0
55,102.608,PurpleThrewBall,3,2,2,1,0.0
56,105.543,PurpleThrewBall,3,1,2,1,0.0
57,105.662,PurplePickedUpBall,3,2,2,1,0.0
58,105.67,HitBlue,3,2,1,1,0.0
59,105.67,BluePickedUpBall,4,2,1,1,0.0
60,105.881,PurpleThrewBall,4,1,1,1,0.0
61,106.051,HitBlue,4,1,0,1,0.0
62,106.056,GameEnd,0,1,0,1,0.0
63,109.37,WinScreenStart,0,1,0,1,0.0
64,110.889,ResetScene,0,0,3,3,0.0
65,116.052,BluePickedUpBall,1,0,3,3,0.0
66,116.917,BluePickedUpBall,2,0,3,3,0.0
67,117.526,PurplePickedUpBall,2,1,3,3,0.0
68,117.529,PurpleThrewBall,2,0,3,3,0.0
69,118.308,PurplePickedUpBall,2,1,3,3,0.0
70,118.316,BlueThrewBall,1,1,3,3,0.0
71,118.328,HitPurple,1,1,3,2,0.0
72,118.33,PurplePickedUpBall,1,2,3,2,0.0
73,118.688,PurplePickedUpBall,1,3,3,2,0.0
74,118.811,BluePickedUpBall,2,3,3,2,0.0
75,120.3,BluePickedUpBall,3,3,3,2,0.0
76,127.355,PurpleThrewBall,3,2,3,2,0.0
77,134.44,PurplePickedUpBall,3,3,3,2,0.0
78,135.607,PurpleThrewBall,3,2,3,2,0.0
79,136.299,PurpleThrewBall,3,1,3,2,0.0
80,141.642,PurpleThrewBall,3,0,3,2,0.0
81,141.644,HitBlue,3,0,2,2,0.0
82,143.398,PurplePickedUpBall,3,1,2,2,0.0
83,143.523,PurplePickedUpBall,3,2,2,2,0.0
84,143.731,PurplePickedUpBall,3,3,2,2,0.0
85,144.465,PurpleThrewBall,3,2,2,2,0.0
86,147.177,PurplePickedUpBall,3,3,2,2,0.0
