Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
10:40:19.791,(16.21922,-23.97696),174.0015,(15.15875,-69.16966),358.823
10:40:25.926,(16.75251,-23.46181),174.0015,(15.41406,-69.51392),6.857774
10:40:26.047,(17.77572,-22.73009),154.0065,(16.28519,-69.47316),354.1905
10:40:26.149,(18.25262,-22.94611),164.6705,(16.99354,-68.99332),346.9831
10:40:26.245,(18.43522,-24.53954),164.6705,(17.72902,-68.40479),336.1934
10:40:26.343,(18.52125,-25.48636),157.339,(18.31166,-67.76305),315.5159
10:40:26.445,(18.60073,-27.01618),180.6665,(18.79839,-66.88762),306.8006
10:40:26.545,(18.6446,-27.90742),171.3355,(19.07259,-66.07364),315.5783
10:40:26.641,(19.57858,-29.08116),152.6735,(19.46305,-65.16987),316.0605
10:40:26.738,(20.15784,-29.75403),141.343,(19.84108,-64.38536),328.7345
10:40:26.843,(20.231,-30.80377),161.338,(20.24685,-63.47171),342.6928
10:40:26.946,(20.07557,-31.7833),170.669,(20.64566,-62.68022),351.4311
10:40:27.062,(20.12462,-32.75483),172.002,(21.58658,-61.51463),359.4228
10:40:27.152,(20.66159,-33.5793),162.671,(22.67998,-60.24782),341.5989
10:40:27.250,(21.51075,-34.48842),145.342,(23.26699,-59.32114),324.9305
10:40:27.353,(22.34631,-34.78239),138.677,(23.65169,-58.5516),323.8641
10:40:27.451,(23.45727,-34.6372),124.014,(23.6952,-57.58408),338.8651
10:40:27.544,(24.44534,-34.26851),116.016,(23.66396,-56.71126),337.4936
10:40:27.649,(25.33243,-33.57278),102.686,(23.56267,-55.71085),326.2644
10:40:27.740,(26.06936,-32.7985),94.68802,(23.47454,-54.83875),311.9115
10:40:27.845,(26.77225,-32.56986),77.35902,(23.22516,-53.86724),320.4971
10:40:27.946,(27.01829,-32.19001),68.02802,(23.04647,-53.00071),322.515
10:40:28.050,(26.85859,-32.49002),53.36502,(22.85618,-52.00796),309.8947
10:40:28.145,(27.28917,-32.13054),42.03452,(22.58809,-50.20322),302.9114
10:40:28.244,(26.89843,-32.26126),25.37202,(22.32979,-48.1519),288.7027
10:40:28.336,(27.28949,-32.54342),37.36902,(22.19027,-47.04387),275.4068
10:40:28.438,(27.04035,-32.40858),20.04002,(21.62767,-46.48677),265.6584
10:40:28.571,(27.04472,-32.5536),12.04202,(20.79134,-46.60061),251.0789
10:40:28.696,(26.99146,-32.48949),350.0475,(20.03173,-47.25284),231.8056
10:40:28.705,(26.85709,-32.52221),2.044532,(19.63091,-48.02224),210.9319
10:40:28.809,(26.48482,-32.27475),4.044028,(19.28502,-48.90165),186.9222
10:40:28.898,(26.43584,-32.51764),352.7135,(18.91597,-49.69937),169.0155
10:40:28.992,(25.46704,-33.06971),351.3805,(18.85033,-50.6455),152.8016
10:40:29.095,(25.10739,-33.10648),0.7115244,(19.2467,-51.36993),131.7932
10:40:29.198,(23.05172,-33.1655),348.048,(20.11486,-51.65756),107.7836
10:40:29.283,(21.74196,-33.21547),340.7165,(21.3373,-50.51488),86.77522
10:40:29.461,(20.6448,-33.21915),338.717,(22.54827,-48.91606),62.76561
10:40:29.560,(19.65745,-33.15735),328.7195,(23.20562,-48.04815),41.75723
10:40:29.657,(18.50035,-33.0352),308.7245,(23.55459,-47.19835),17.74763
10:40:29.748,(17.68609,-33.19215),298.727,(23.43316,-46.3278),356.7393
10:40:29.841,(16.87945,-33.93109),286.73,(22.98231,-45.45838),332.7297
10:40:29.929,(16.40266,-34.69464),281.398,(22.74275,-44.61274),311.7214
10:40:30.021,(16.09814,-35.74141),270.0675,(22.57297,-43.61018),311.3654
10:40:30.110,(15.9113,-36.6191),261.403,(22.61629,-42.7355),300.1054
10:40:30.202,(15.54313,-37.77675),244.074,(22.51643,-41.72824),290.9395
10:40:30.301,(15.59817,-38.58631),234.743,(22.32913,-40.86071),288.228
10:40:30.407,(15.9918,-38.76271),218.747,(20.22823,-39.7299),274.4985
10:40:30.503,(16.41422,-39.11438),213.415,(18.88993,-39.07715),280.4979
10:40:30.606,(16.98961,-39.80035),202.751,(17.90624,-38.58863),259.3935
10:40:30.701,(17.68776,-40.26766),192.7535,(17.65162,-38.39589),238.3851
10:40:30.801,(18.4585,-40.6862),170.759,(18.53146,-38.7987),214.3754
10:40:30.901,(19.02566,-41.5414),159.4285,(19.33992,-39.11581),193.367
10:40:30.999,(19.60933,-42.48995),163.4274,(20.29322,-39.32835),175.5
10:40:31.093,(20.06761,-43.49898),156.7625,(21.03041,-39.36112),187.8053
10:40:31.215,(20.2652,-43.57452),157.6526,(21.01728,-39.08916),200.532
10:40:31.313,(20.24667,-43.48946),152.5976,(20.3068,-38.93729),205.0545
10:40:31.415,(20.22443,-43.424),152.4167,(18.61803,-39.63664),209.5641
10:40:31.511,(20.1869,-43.39259),152.5064,(17.27017,-40.40166),199.8142
10:40:31.608,(20.18308,-43.39841),152.507,(17.64757,-40.41343),200.9608
10:40:31.709,(20.1913,-43.39415),152.5084,(17.64933,-40.54568),198.2493
10:40:31.823,(20.1913,-43.39415),152.5084,(18.50812,-40.49354),179.608
10:40:31.976,(20.1913,-43.39415),152.5084,(19.29935,-40.64355),167.8727
10:40:32.112,(20.1913,-43.39415),152.5084,(20.09182,-40.86369),153.3923
10:40:32.121,(20.1913,-43.39415),152.5084,(20.73506,-40.69224),143.3115
10:40:32.223,(20.1913,-43.39415),152.5084,(21.67437,-40.39951),138.3735
10:40:32.352,(20.1913,-43.39415),152.5084,(22.49397,-40.27111),131.0261
10:40:32.381,(20.1913,-43.39415),152.5084,(23.28967,-40.39476),133.2327
10:40:32.520,(20.1913,-43.39415),152.5084,(23.78608,-41.06956),141.5253
10:40:32.583,(20.1913,-43.39415),152.5084,(24.15475,-41.82837),147.1781
10:40:32.693,(20.1913,-43.39415),152.5084,(24.28456,-42.8131),147.4664
10:40:32.827,(20.1913,-43.39415),152.5084,(24.32487,-43.81548),134.7601
10:40:32.880,(20.1913,-43.39415),152.5084,(24.36293,-44.66046),119.6928
10:40:32.991,(20.1913,-43.39415),152.5084,(24.62165,-45.22892),99.56124
10:40:33.138,(20.1913,-43.39415),152.5084,(25.4236,-43.15847),92.89272
10:40:33.182,(20.1913,-43.39415),152.5084,(25.92912,-43.04579),85.59144
10:40:33.298,(20.1913,-43.39415),152.5084,(26.64273,-43.73237),71.66205
10:40:33.449,(20.1913,-43.39415),152.5084,(27.46756,-44.34248),67.00574
