Timestamp,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
16:35:48.863,Init,0,3,3,0
16:35:48.863,ResetScene,0,0,3,3,0
16:35:51.645,S,0,0,3,3,0
16:35:53.836,PurplePickedUpBall,0,1,3,3,0
16:35:53.954,PurpleThrewBall,0,0,3,3,0
16:35:54.555,BluePickedUpBall,1,0,3,3,0
16:35:55.065,PurplePickedUpBall,1,1,3,3,0
16:35:57.187,PurpleThrewBall,1,0,3,3,0
16:35:57.404,BluePickedUpBall,2,0,3,3,0
16:35:57.762,BluePickedUpBall,3,0,3,3,0
16:36:01.964,PurplePickedUpBall,3,1,3,3,0
16:36:02.629,PurpleThrewBall,3,0,3,3,0
16:36:05.322,BlueThrewBall,2,0,3,3,0
16:36:10.765,PurplePickedUpBall,2,1,3,3,0
16:36:12.867,BlueThrewBall,1,1,3,3,0
16:36:16.374,BlueThrewBall,0,1,3,3,0
16:36:16.391,HitPurple,0,1,3,2,0
16:36:19.212,BluePickedUpBall,1,1,3,2,0
16:36:21.854,PurplePickedUpBall,1,2,3,2,0
16:36:22.021,PurpleThrewBall,1,1,3,2,0
16:36:22.409,PurpleThrewBall,1,0,3,2,0
16:36:22.483,BluePickedUpBall,2,0,3,2,0
16:36:31.979,BluePickedUpBall,3,0,3,2,0
16:36:32.283,BluePickedUpBall,4,0,3,2,0
16:36:36.619,BlueThrewBall,3,0,3,2,2
16:36:38.413,BlueThrewBall,2,0,3,2,0
16:36:39.420,BlueThrewBall,1,0,3,2,0
16:36:40.738,BluePickedUpBall,2,0,3,2,0
16:36:41.355,BlueThrewBall,1,0,3,2,0
16:36:41.360,HitPurple,1,0,3,1,0
16:36:42.868,BlueThrewBall,0,0,3,1,0
16:36:44.117,PurplePickedUpBall,0,1,3,1,0
16:36:44.402,PurpleThrewBall,0,0,3,1,0
16:36:44.410,HitBlue,0,0,2,1,0
16:36:46.877,BluePickedUpBall,1,0,2,1,0
16:36:47.364,PurplePickedUpBall,1,1,2,1,0
16:36:49.466,BluePickedUpBall,2,1,2,1,0
16:36:52.530,PurpleThrewBall,2,0,2,1,0
16:36:52.696,HitBlue,2,0,1,1,0
16:36:56.768,PurplePickedUpBall,2,1,1,1,0
16:36:57.256,BlueThrewBall,1,1,1,1,0
16:37:01.049,BluePickedUpBall,2,1,1,1,0
16:37:01.165,PurpleThrewBall,2,0,1,1,0
16:37:01.485,BluePickedUpBall,3,0,1,1,0
16:37:03.970,PurplePickedUpBall,3,1,1,1,0
16:37:05.249,PurpleThrewBall,3,0,1,1,0
16:37:05.256,HitBlue,3,0,0,1,0
16:37:05.318,GameEnd,0,0,0,1,0
16:37:06.827,PurplePickedUpBall,0,1,0,1,4
16:37:07.357,WinScreenStart,0,1,0,1,0
16:37:07.834,PurplePickedUpBall,0,2,0,1,0
16:37:09.010,PurpleThrewBall,0,1,0,1,0
16:37:09.838,PurpleThrewBall,0,0,0,1,0
16:37:10.022,PurplePickedUpBall,0,1,0,1,0
16:37:10.177,PurpleThrewBall,0,0,0,1,0
16:37:10.599,PurplePickedUpBall,0,1,0,1,0
16:37:11.190,PurpleThrewBall,0,0,0,1,0
16:37:12.931,PurplePickedUpBall,0,1,0,1,0
16:37:13.133,PurpleThrewBall,0,0,0,1,0
16:37:14.777,PurplePickedUpBall,0,1,0,1,0
16:37:15.244,PurpleThrewBall,0,0,0,1,0
16:37:16.424,ResetScene,0,0,3,3,0
16:37:24.062,BluePickedUpBall,1,0,3,3,0
16:37:25.680,BluePickedUpBall,2,0,3,3,0
16:37:27.126,BluePickedUpBall,3,0,3,3,0
16:37:27.267,PurplePickedUpBall,3,1,3,3,0
16:37:28.690,PurpleThrewBall,3,0,3,3,0
16:37:29.136,PurplePickedUpBall,3,1,3,3,0
16:37:29.171,BluePickedUpBall,4,1,3,3,0
16:37:35.174,PurpleThrewBall,4,0,3,3,0
16:37:35.901,PurplePickedUpBall,4,1,3,3,0
16:37:37.528,PurpleThrewBall,4,0,3,3,0
16:37:38.438,PurplePickedUpBall,4,1,3,3,0
16:37:38.557,PurpleThrewBall,4,0,3,3,0
16:37:38.617,HitBlue,4,0,2,3,0
16:37:39.660,PurplePickedUpBall,4,1,2,3,0
16:37:39.706,PurpleThrewBall,4,0,2,3,0
16:37:39.719,HitBlue,4,0,1,3,0
16:37:39.922,BlueThrewBall,3,0,1,3,0
16:37:42.880,PurplePickedUpBall,3,1,1,3,0
16:37:45.527,PurpleThrewBall,3,0,1,3,0
16:37:45.868,PurplePickedUpBall,3,1,1,3,0
16:37:45.959,PurpleThrewBall,3,0,1,3,0
16:37:46.058,HitBlue,3,0,0,3,0
16:37:46.064,GameEnd,0,0,0,3,0
16:37:46.676,PurplePickedUpBall,0,1,0,3,0
16:37:48.171,WinScreenStart,0,1,0,3,0
16:37:48.239,PurpleThrewBall,0,0,0,3,0
16:37:48.807,PurplePickedUpBall,0,1,0,3,0
16:37:54.352,PurpleThrewBall,0,0,0,3,0
16:37:56.753,PurplePickedUpBall,0,1,0,3,0
16:37:56.982,PurpleThrewBall,0,0,0,3,0
16:37:58.015,PurplePickedUpBall,0,1,0,3,0
16:38:00.565,PurpleThrewBall,0,0,0,3,0
16:38:01.230,ResetScene,0,0,3,3,0
16:38:05.858,PurplePickedUpBall,0,1,3,3,0
16:38:07.360,BluePickedUpBall,1,1,3,3,0
16:38:08.879,PurplePickedUpBall,1,2,3,3,0
16:38:09.648,PurpleThrewBall,1,1,3,3,0
16:38:09.996,BluePickedUpBall,2,1,3,3,0
16:38:12.867,BluePickedUpBall,3,1,3,3,0
16:38:14.005,PurpleThrewBall,3,0,3,3,0
16:38:14.165,HitBlue,3,0,2,3,0
16:38:14.497,PurplePickedUpBall,3,1,2,3,0
16:38:14.875,PurpleThrewBall,3,0,2,3,0
16:38:15.148,HitBlue,3,0,1,3,0
16:38:15.149,BluePickedUpBall,4,0,1,3,0
16:38:16.758,PurplePickedUpBall,4,1,1,3,0
16:38:17.596,PurpleThrewBall,4,0,1,3,0
16:38:17.603,HitBlue,4,0,0,3,0
16:38:17.616,GameEnd,0,0,0,3,0
16:38:17.618,PurplePickedUpBall,0,1,0,3,0
16:38:17.859,PurpleThrewBall,0,0,0,3,0
16:38:18.345,PurplePickedUpBall,0,1,0,3,0
16:38:18.356,PurpleThrewBall,0,0,0,3,0
16:38:19.498,PurplePickedUpBall,0,1,0,3,0
16:38:19.511,PurpleThrewBall,0,0,0,3,0
16:38:19.605,WinScreenStart,0,0,0,3,0
16:38:19.914,PurplePickedUpBall,0,1,0,3,0
16:38:27.690,PurpleThrewBall,0,0,0,3,0
16:38:29.548,PurplePickedUpBall,0,1,0,3,0
16:38:30.271,PurpleThrewBall,0,0,0,3,0
16:38:33.970,PurplePickedUpBall,0,1,0,3,0
16:38:35.730,ResetScene,0,0,3,3,0
16:38:40.563,PurplePickedUpBall,0,1,3,3,0
16:38:40.966,PurpleThrewBall,0,0,3,3,0
16:38:41.162,BluePickedUpBall,1,0,3,3,0
