,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
2,0.0,S,0,0,3,3,0.0
3,2.191,PurplePickedUpBall,0,1,3,3,0.0
4,2.309,PurpleThrewBall,0,0,3,3,0.0
5,2.91,BluePickedUpBall,1,0,3,3,0.0
6,3.42,PurplePickedUpBall,1,1,3,3,0.0
7,5.542,PurpleThrewBall,1,0,3,3,0.0
8,5.759,BluePickedUpBall,2,0,3,3,0.0
9,6.117,BluePickedUpBall,3,0,3,3,0.0
10,10.319,PurplePickedUpBall,3,1,3,3,0.0
11,10.984,PurpleThrewBall,3,0,3,3,0.0
12,13.677,BlueThrewBall,2,0,3,3,0.0
13,19.12,PurplePickedUpBall,2,1,3,3,0.0
14,21.222,BlueThrewBall,1,1,3,3,0.0
15,24.729,BlueThrewBall,0,1,3,3,0.0
16,24.746,HitPurple,0,1,3,2,0.0
17,27.567,BluePickedUpBall,1,1,3,2,0.0
18,30.209,PurplePickedUpBall,1,2,3,2,0.0
19,30.376,PurpleThrewBall,1,1,3,2,0.0
20,30.764,PurpleThrewBall,1,0,3,2,0.0
21,30.838,BluePickedUpBall,2,0,3,2,0.0
22,40.334,BluePickedUpBall,3,0,3,2,0.0
23,40.638,BluePickedUpBall,4,0,3,2,0.0
24,44.974,BlueThrewBall,3,0,3,2,2.0
25,46.768,BlueThrewBall,2,0,3,2,0.0
26,47.775,BlueThrewBall,1,0,3,2,0.0
27,49.093,BluePickedUpBall,2,0,3,2,0.0
28,49.71,BlueThrewBall,1,0,3,2,0.0
29,49.715,HitPurple,1,0,3,1,0.0
30,51.223,BlueThrewBall,0,0,3,1,0.0
31,52.472,PurplePickedUpBall,0,1,3,1,0.0
32,52.757,PurpleThrewBall,0,0,3,1,0.0
33,52.765,HitBlue,0,0,2,1,0.0
34,55.232,BluePickedUpBall,1,0,2,1,0.0
35,55.719,PurplePickedUpBall,1,1,2,1,0.0
36,57.821,BluePickedUpBall,2,1,2,1,0.0
37,60.885,PurpleThrewBall,2,0,2,1,0.0
38,61.051,HitBlue,2,0,1,1,0.0
39,65.123,PurplePickedUpBall,2,1,1,1,0.0
40,65.611,BlueThrewBall,1,1,1,1,0.0
41,69.404,BluePickedUpBall,2,1,1,1,0.0
42,69.52,PurpleThrewBall,2,0,1,1,0.0
43,69.84,BluePickedUpBall,3,0,1,1,0.0
44,72.325,PurplePickedUpBall,3,1,1,1,0.0
45,73.604,PurpleThrewBall,3,0,1,1,0.0
46,73.611,HitBlue,3,0,0,1,0.0
47,73.673,GameEnd,0,0,0,1,0.0
48,75.182,PurplePickedUpBall,0,1,0,1,4.0
49,75.712,WinScreenStart,0,1,0,1,0.0
50,76.189,PurplePickedUpBall,0,2,0,1,0.0
51,77.365,PurpleThrewBall,0,1,0,1,0.0
52,78.193,PurpleThrewBall,0,0,0,1,0.0
53,78.377,PurplePickedUpBall,0,1,0,1,0.0
54,78.532,PurpleThrewBall,0,0,0,1,0.0
55,78.954,PurplePickedUpBall,0,1,0,1,0.0
56,79.545,PurpleThrewBall,0,0,0,1,0.0
57,81.286,PurplePickedUpBall,0,1,0,1,0.0
58,81.488,PurpleThrewBall,0,0,0,1,0.0
59,83.132,PurplePickedUpBall,0,1,0,1,0.0
