Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
16:43:48.580,(16,8.66),180,(15.99944,-35.02813),358.7025
16:43:51.053,(16.24253,8.73475),252.875,(17.03141,-34.98358),2.81225
16:43:51.178,(17.10363,9.000135),252.875,(19.26752,-34.49605),350.6768
16:43:51.266,(17.44948,9.106751),252.875,(20.28585,-34.27403),335.3758
16:43:51.386,(17.61671,9.158333),246.125,(21.05912,-34.04888),333.3577
16:43:51.467,(17.63614,9.164365),246.125,(21.4438,-33.49514),313.5541
16:43:51.581,(17.63614,9.164421),246.125,(21.40595,-32.64163),306.2103
16:43:51.667,(17.63614,9.16447),246.125,(21.26042,-31.86148),316.8034
16:43:51.785,(17.63613,9.164531),243.625,(21.27227,-30.86374),313.7126
16:43:51.882,(17.63612,9.164578),231.875,(21.35978,-30.00138),324.5386
16:43:51.975,(17.63611,9.164634),231.2499,(21.55653,-29.04002),326.8214
16:43:52.064,(17.63611,9.164675),231.2499,(21.69974,-28.18753),336.7091
16:43:52.158,(17.63611,9.164721),231.2499,(22.05444,-27.15693),352.8613
16:43:52.258,(17.63611,9.164762),231.2499,(23.28507,-25.55428),342.1518
16:43:52.360,(17.63611,9.164818),231.2499,(23.75042,-24.50384),321.6862
16:43:52.455,(17.63611,9.164867),231.2499,(24.08162,-23.57285),313.5911
16:43:52.567,(17.63611,9.164912),231.2499,(24.23267,-22.72514),329.6032
16:43:52.651,(17.63611,9.164958),231.2499,(24.37052,-21.85314),332.9953
16:43:52.765,(17.43905,10.0413),231.2499,(24.41389,-20.8788),312.8819
16:43:52.853,(17.32293,10.55767),231.2499,(24.35351,-20.01377),304.4622
16:43:52.967,(17.25665,10.85235),231.2499,(24.23196,-19.00591),319.1963
16:43:53.068,(17.23704,10.93958),231.2499,(24.15361,-18.01546),315.1297
16:43:53.204,(17.23697,10.93995),231.2499,(24.00797,-17.06147),298.1842
16:43:53.277,(17.23697,10.94001),231.2499,(23.37487,-15.35676),282.3133
16:43:53.368,(17.23697,10.94005),231.2499,(22.54759,-13.82065),267.3742
16:43:53.460,(17.23697,10.94011),231.2499,(21.89884,-12.85014),243.3655
16:43:53.567,(17.23697,10.94016),231.2499,(21.47117,-13.14887),237.6471
16:43:53.662,(17.23697,10.94023),231.2499,(21.15876,-14.07753),234.7234
16:43:53.785,(17.23697,10.94029),231.2499,(21.00289,-15.05427),227.7139
16:43:53.866,(17.23697,10.94034),231.2499,(21.15723,-15.81835),208.0424
16:43:53.973,(17.23697,10.94039),231.2499,(21.33563,-16.77554),184.0328
16:43:54.072,(17.23696,10.94045),231.2499,(21.10428,-17.60575),175.4456
16:43:54.172,(17.23696,10.9405),231.2499,(20.70529,-18.50122),178.2153
16:43:54.276,(17.23696,10.94055),231.2499,(20.23931,-19.26091),170.7835
16:43:54.366,(17.23695,10.94061),231.2499,(19.98717,-20.2237),151.6548
16:43:54.463,(17.23694,10.94067),231.2499,(20.72209,-22.4774),144.0543
16:43:54.568,(17.23694,10.94072),231.2499,(21.1696,-23.84978),148.7042
16:43:54.666,(17.23694,10.94077),231.2499,(21.41593,-24.636),133.698
16:43:54.756,(17.23694,10.94083),231.2499,(21.68164,-25.37138),115.6535
16:43:54.861,(17.23694,10.94089),231.2499,(22.33751,-25.7791),97.47307
16:43:54.967,(17.23694,10.94094),231.2499,(23.03846,-25.52983),81.94878
16:43:55.060,(17.23694,10.94099),231.2499,(23.51835,-24.89594),57.94002
16:43:55.163,(17.23694,10.94104),231.2499,(23.76321,-24.06792),36.93161
16:43:55.256,(17.23694,10.9411),231.2499,(23.30469,-23.30754),12.92204
16:43:55.359,(17.23694,10.94115),231.2499,(22.61171,-22.83646),354.1101
16:43:55.454,(17.23694,10.94121),231.2499,(20.88931,-21.99863),339.4353
16:43:55.562,(17.23694,10.94126),231.2499,(19.30775,-21.23463),337.8972
16:43:55.661,(17.23694,10.94132),231.2499,(18.80815,-21.12641),329.2155
16:43:55.767,(17.23693,10.94138),231.2499,(18.96108,-21.08866),305.4968
16:43:55.860,(17.23693,10.94143),231.2499,(19.43497,-20.54008),300.2635
16:43:55.985,(17.23693,10.94149),231.2499,(19.76584,-19.63),280.4388
16:43:56.051,(17.23693,10.94153),231.2499,(19.7194,-18.88285),276.7912
16:43:56.164,(17.23693,10.94159),231.2499,(19.39653,-17.94578),262.7461
16:43:56.286,(17.23693,10.94164),229.8749,(18.77291,-17.24107),238.7365
16:43:56.383,(17.23693,10.94171),61.04759,(18.05863,-17.46331),214.7267
16:43:56.454,(17.23692,10.94175),187.8749,(17.80065,-18.12816),196.7194
16:43:56.592,(17.2369,10.94182),176.1268,(17.92338,-20.19266),181.4217
16:43:56.692,(17.23689,10.94187),166.1249,(18.1284,-20.08739),175.541
16:43:56.797,(17.23688,10.94193),165.2499,(18.22985,-19.61817),157.0885
16:43:56.867,(17.23688,10.94199),167.2498,(18.18593,-19.55869),162.7475
16:43:56.963,(17.23687,10.94205),175.3726,(18.29253,-19.65624),148.301
16:43:57.091,(17.23686,10.94211),190.9996,(18.95849,-19.38659),125.4381
16:43:57.165,(17.23685,10.94216),191.3748,(19.61029,-19.63021),114.5815
16:43:57.263,(17.23684,10.9422),190.2498,(20.16342,-20.17528),96.4564
16:43:57.379,(17.23684,10.94226),189.9998,(20.37282,-20.34864),74.66056
16:43:57.452,(17.23684,10.94231),189.9998,(20.69581,-19.86254),64.15483
16:43:57.572,(17.23684,10.94238),189.9998,(21.70234,-18.66593),49.2069
