Timestamp,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
12:58:00.945,Init,0,3,3,0
12:58:00.945,ResetScene,0,0,3,3,0
12:58:04.626,S,0,0,3,3,0
12:58:04.959,FinishCountDown,0,0,3,3,0
12:58:05.799,PurplePickedUpBall,0,1,3,3,0
12:58:06.191,BluePickedUpBall,1,1,3,3,0
12:58:06.533,PurpleThrewBall,1,0,3,3,0
12:58:07.165,PurplePickedUpBall,1,1,3,3,0
12:58:07.506,BlueThrewBall,0,1,3,3,0
12:58:07.779,PurplePickedUpBall,0,2,3,3,0
12:58:08.828,BluePickedUpBall,1,2,3,3,0
12:58:09.412,PurplePickedUpBall,1,3,3,3,0
12:58:09.464,BlueDash,1,3,3,3,0
12:58:10.672,BluePickedUpBall,2,3,3,3,0
12:58:10.871,PurpleThrewBall,2,2,3,3,0
12:58:11.086,HitBlue,2,2,2,3,0
12:58:11.361,BluePickedUpBall,3,2,2,3,0
12:58:11.933,BlueThrewBall,2,2,2,3,0
12:58:12.417,BlueThrewBall,1,2,2,3,0
12:58:13.496,BlueThrewBall,0,2,2,3,0
12:58:14.936,BlueDash,0,2,2,3,0
12:58:17.330,BluePickedUpBall,1,2,2,3,0
12:58:17.609,BluePickedUpBall,2,2,2,3,0
12:58:17.786,PurpleThrewBall,2,1,2,3,0
12:58:18.229,BlueThrewBall,1,1,2,3,0
12:58:19.134,BlueThrewBall,0,1,2,3,0
12:58:19.223,PurpleThrewBall,0,0,2,3,0
12:58:19.265,HitBlue,0,0,1,3,0
12:58:19.410,BlueDash,0,0,1,3,0
12:58:19.773,PurplePickedUpBall,0,1,1,3,0
12:58:20.977,BlueDash,0,1,1,3,0
12:58:21.727,PurplePickedUpBall,0,2,1,3,0
12:58:21.916,PurpleThrewBall,0,1,1,3,0
12:58:22.013,HitBlue,0,1,0,3,0
12:58:22.019,GameEnd,0,1,0,3,0
12:58:24.014,WinScreenStart,0,1,0,3,0
