,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
3,0.0,S,0,0,3,3,0.0
4,1.379,PurplePickedUpBall,0,1,3,3,0.0
5,1.41,PurplePickedUpBall,0,2,3,3,0.0
6,1.865,BluePickedUpBall,1,2,3,3,0.0
7,2.024,PurpleThrewBall,1,1,3,3,0.0
8,2.052,BluePickedUpBall,2,1,3,3,0.0
9,2.419,PurplePickedUpBall,2,2,3,3,0.0
10,3.116,PurplePickedUpBall,2,3,3,3,0.0
11,3.213,BlueThrewBall,1,3,3,3,0.0
12,3.383,PurplePickedUpBall,1,4,3,3,0.0
13,4.215,BlueThrewBall,0,4,3,3,0.0
14,6.638,BlueDash,0,4,3,3,0.0
15,6.8,BluePickedUpBall,1,4,3,3,0.0
16,8.333,BluePickedUpBall,2,4,3,3,0.0
17,8.923,BlueThrewBall,1,4,3,3,0.0
18,8.972,PurpleThrewBall,1,3,3,3,0.0
19,11.576,PurplePickedUpBall,1,4,3,3,0.0
20,11.691,BluePickedUpBall,2,4,3,3,0.0
21,13.156,BlueThrewBall,1,4,3,3,0.0
22,13.254,HitPurple,1,4,3,2,0.0
23,14.566,PurpleThrewBall,1,3,3,2,0.0
24,14.771,BluePickedUpBall,2,3,3,2,0.0
25,14.785,BlueThrewBall,1,3,3,2,0.0
26,15.864,BlueDash,1,3,3,2,0.0
27,15.881,BluePickedUpBall,2,3,3,2,0.0
28,16.455,BluePickedUpBall,3,3,3,2,0.0
29,17.112,PurplePickedUpBall,3,4,3,2,0.0
30,17.292,PurpleThrewBall,3,3,3,2,0.0
31,17.899,BlueThrewBall,2,3,3,2,0.0
32,18.07,PurpleThrewBall,2,2,3,2,0.0
33,20.764,PurpleThrewBall,2,1,3,2,0.0
34,20.878,HitBlue,2,1,2,2,0.0
35,21.021,BlueThrewBall,1,1,2,2,0.0
36,22.013,BlueThrewBall,0,1,2,2,0.0
37,22.115,PurpleThrewBall,0,0,2,2,0.0
38,23.814,PurplePickedUpBall,0,1,2,2,0.0
39,25.751,PurpleThrewBall,0,0,2,2,0.0
40,25.769,BlueDash,0,0,2,2,0.0
41,26.632,PurplePickedUpBall,0,1,2,2,0.0
42,29.27,BlueDash,0,1,2,2,0.0
43,29.422,BluePickedUpBall,1,1,2,2,0.0
44,30.661,BluePickedUpBall,2,1,2,2,0.0
45,31.656,PurplePickedUpBall,2,2,2,2,0.0
46,33.708,PurplePickedUpBall,2,3,2,2,0.0
47,37.026,BluePickedUpBall,3,3,2,2,0.0
48,37.843,BlueDash,3,3,2,2,0.0
49,37.844,BluePickedUpBall,4,3,2,2,0.0
50,38.696,BlueThrewBall,3,3,2,2,0.0
51,39.23,BlueThrewBall,2,3,2,2,0.0
52,39.671,BlueThrewBall,1,3,2,2,0.0
53,39.816,HitPurple,1,3,2,1,0.0
54,40.351,BlueThrewBall,0,3,2,1,0.0
55,42.59,PurpleThrewBall,0,2,2,1,0.0
56,42.675,BlueDash,0,2,2,1,0.0
57,44.433,BlueDash,0,2,2,1,0.0
58,46.106,BluePickedUpBall,1,2,2,1,0.0
59,48.563,PurpleThrewBall,1,1,2,1,0.0
60,48.636,BlueThrewBall,0,1,2,1,0.0
61,48.923,PurpleThrewBall,0,0,2,1,0.0
62,49.027,HitBlue,0,0,1,1,0.0
63,52.275,BluePickedUpBall,1,0,1,1,0.0
64,53.703,BluePickedUpBall,2,0,1,1,0.0
65,53.736,PurplePickedUpBall,2,1,1,1,0.0
66,54.423,BluePickedUpBall,3,1,1,1,0.0
67,56.408,BlueThrewBall,2,1,1,1,0.0
68,56.782,PurplePickedUpBall,2,2,1,1,0.0
69,56.932,BlueThrewBall,1,2,1,1,0.0
70,58.004,BlueThrewBall,0,2,1,1,0.0
71,58.288,HitPurple,0,2,1,0,0.0
72,58.292,GameEnd,0,0,1,0,0.0
73,60.297,WinScreenStart,0,0,1,0,0.0
74,75.328,ResetScene,0,0,3,3,0.0
75,79.36,FinishCountDown,0,0,3,3,0.0
76,82.252,BluePickedUpBall,1,0,3,3,0.0
77,83.224,BlueThrewBall,0,0,3,3,0.0
78,84.098,BluePickedUpBall,1,0,3,3,0.0
79,84.33,PurplePickedUpBall,1,1,3,3,0.0
80,86.363,BlueThrewBall,0,1,3,3,0.0
81,87.369,BluePickedUpBall,1,1,3,3,0.0
82,87.6,BluePickedUpBall,2,1,3,3,0.0
83,87.662,PurplePickedUpBall,2,2,3,3,0.0
84,88.471,BluePickedUpBall,3,2,3,3,0.0
85,89.398,BlueThrewBall,2,2,3,3,0.0
86,89.462,HitPurple,2,2,3,2,0.0
87,89.585,PurplePickedUpBall,2,3,3,2,0.0
