Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
12:59:01.098,(16,-24),180,(15.06547,-68.90604),7.998001
12:59:02.729,(16.02712,-23.67701),184.8,(15.46143,-68.75415),7.998001
12:59:02.833,(16.11097,-22.67834),184.8,(16.08341,-67.94011),25.99351
12:59:02.930,(16.1675,-22.00512),184.8,(16.57759,-67.16791),35.32451
12:59:03.031,(16.21042,-21.49403),184.8,(17.25746,-66.4944),55.98602
12:59:03.131,(16.20595,-21.90155),184.8,(18.20081,-66.15744),67.31651
12:59:03.233,(16.14491,-22.90923),184.8,(19.30458,-65.91405),49.32101
12:59:03.329,(16.0913,-23.78909),184.8,(20.31849,-65.6317),40.65651
12:59:03.431,(16.33557,-24.77848),184.8,(20.72295,-64.33849),21.32801
12:59:03.535,(16.89027,-25.65423),184.8,(20.91837,-63.22864),10.66401
12:59:03.632,(17.50557,-26.32666),184.8,(21.02455,-61.98709),11.3305
12:59:03.730,(18.18165,-26.93569),184.8,(21.0885,-61.06033),1.013279E-06
12:59:03.831,(18.97918,-27.58409),184.8,(21.06641,-59.92123),0.6665003
12:59:03.928,(19.42882,-28.24134),184.8,(21.10135,-58.87908),12.6635
12:59:04.035,(19.53789,-29.20273),184.8,(21.17299,-57.73337),13.33
12:59:04.131,(19.11785,-29.97988),184.8,(21.21241,-56.87758),1.999508
12:59:04.231,(18.27888,-30.51566),184.8,(21.04836,-55.94093),2.666013
12:59:04.333,(17.92072,-29.97734),184.8,(20.24466,-54.79848),14.66301
12:59:04.433,(18.24191,-29.02481),184.8,(19.57846,-53.90546),14.66301
12:59:04.535,(19.04173,-28.40629),184.8,(18.83334,-53.168),26.66001
12:59:04.634,(19.89024,-28.09583),184.8,(18.21103,-51.99553),3.999002
12:59:04.732,(20.78179,-27.92381),184.8,(17.76063,-51.09602),15.3295
12:59:04.835,(21.80998,-27.91116),184.8,(17.09076,-50.05743),15.996
12:59:04.932,(22.41322,-28.39357),184.8,(16.70227,-49.23788),26.66
12:59:05.035,(22.71801,-29.31155),184.8,(16.9107,-47.8956),48.6545
12:59:05.130,(22.35698,-30.12878),184.8,(17.08095,-46.98778),60.6515
12:59:05.233,(21.63285,-30.79914),184.8,(17.56351,-47.43701),56.6525
12:59:05.331,(20.79105,-31.12685),184.8,(18.40534,-47.66287),61.9845
12:59:05.432,(19.81481,-31.22553),184.8,(19.49438,-47.71235),43.98902
12:59:05.533,(19.95395,-30.51736),184.8,(20.43753,-48.17101),33.99152
12:59:05.631,(20.61792,-29.72218),184.8,(21.43109,-48.70172),13.33002
12:59:05.732,(21.38569,-29.25638),184.8,(22.38753,-48.81273),2.666018
12:59:05.832,(22.37121,-28.94597),184.8,(23.54583,-48.57929),3.332514
12:59:05.934,(23.39687,-28.84097),184.8,(24.55337,-48.29797),352.002
12:59:06.036,(24.29537,-28.96884),184.8,(25.22903,-47.57773),352.6685
12:59:06.136,(25.27688,-29.28139),184.8001,(25.50948,-46.50924),341.338
12:59:06.234,(25.60605,-29.88179),184.8001,(25.47833,-45.50642),342.0045
12:59:06.330,(24.96346,-30.48141),181.4386,(25.4009,-44.5246),354.0015
12:59:06.433,(24.02145,-30.90718),176.8001,(25.45101,-43.45767),332.007
12:59:06.530,(23.12839,-31.04332),176.8001,(25.11164,-42.22517),342.671
12:59:06.632,(22.09365,-30.97844),176.8001,(24.15631,-40.91937),342.671
12:59:06.732,(21.19687,-30.80366),176.8001,(24.45118,-42.92426),354.668
12:59:06.831,(20.30916,-30.46075),176.8001,(24.67502,-44.44628),355.3345
12:59:06.928,(20.70843,-29.65632),174.2004,(24.76453,-45.24535),344.004
12:59:07.029,(21.35803,-28.83979),173,(24.48972,-44.56919),344.6705
12:59:07.132,(21.98849,-28.19512),173,(24.46482,-43.61718),356.6675
12:59:07.232,(22.00998,-27.35617),173,(24.67629,-42.48589),358.0005
12:59:07.331,(19.83549,-27.22912),173,(24.71545,-41.43896),346.67
12:59:07.433,(16.24386,-27.67011),173,(24.91664,-40.2821),347.3365
12:59:07.533,(14.20312,-27.92068),173,(24.81985,-39.33617),336.6725
12:59:07.633,(12.68127,-28.10752),172.2004,(24.3662,-38.30453),320.01
12:59:07.728,(11.75791,-28.23116),144.6326,(23.758,-37.29523),314.678
12:59:07.834,(10.82762,-28.64947),130.0389,(23.16641,-36.3635),304.014
12:59:07.932,(10.36045,-29.27019),110.2118,(22.53676,-35.61158),298.682
12:59:08.035,(10.91511,-30.01631),100.6003,(21.08749,-34.93353),288.018
