,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
2,0.0,S,0,0,3,3,0.0
3,1.027,PurplePickedUpBall,0,1,3,3,0.0
4,1.138,BluePickedUpBall,1,1,3,3,0.0
5,1.146,PurpleDash,1,1,3,3,0.0
6,1.247,BluePickedUpBall,2,1,3,3,0.0
7,1.696,PurplePickedUpBall,2,2,3,3,0.0
8,1.812,PurplePickedUpBall,2,3,3,3,0.0
9,1.819,BlueThrewBall,1,3,3,3,0.0
10,2.04,PurplePickedUpBall,1,4,3,3,0.0
11,2.245,BluePickedUpBall,2,4,3,3,0.0
12,2.252,PurpleDash,2,4,3,3,0.0
13,2.358,BlueThrewBall,1,4,3,3,0.0
14,2.569,BluePickedUpBall,2,4,3,3,0.0
15,3.004,BlueThrewBall,1,4,3,3,0.0
16,3.437,PurpleDash,1,4,3,3,0.0
17,3.749,BlueThrewBall,0,4,3,3,0.0
18,4.579,PurpleDash,0,4,3,3,0.0
19,5.327,PurpleThrewBall,0,3,3,3,0.0
20,5.436,HitPurple,0,3,2,3,0.0
21,5.438,BluePickedUpBall,1,3,2,3,0.0
22,5.542,BlueThrewBall,0,3,2,3,0.0
23,5.871,PurpleDash,0,3,2,3,0.0
24,7.135,PurpleDash,0,3,2,3,0.0
25,7.228,BluePickedUpBall,1,3,2,3,0.0
26,7.765,BlueThrewBall,0,3,2,3,0.0
27,8.419,PurpleDash,0,3,2,3,0.0
28,8.711,BluePickedUpBall,1,3,2,3,0.0
29,9.039,PurpleThrewBall,1,2,2,3,0.0
30,9.049,HitPurple,1,2,1,3,0.0
31,9.263,BlueThrewBall,0,2,1,3,0.0
32,9.499,PurpleDash,0,2,1,3,0.0
33,9.605,BluePickedUpBall,1,2,1,3,0.0
34,9.809,PurpleThrewBall,1,1,1,3,0.0
35,9.92,BlueThrewBall,0,1,1,3,0.0
36,10.149,BluePickedUpBall,1,1,1,3,0.0
37,10.302,BlueThrewBall,0,1,1,3,0.0
38,10.305,HitPurple,0,1,1,2,0.0
39,10.69,PurpleDash,0,1,1,2,0.0
40,11.751,PurpleDash,0,1,1,2,0.0
41,12.267,BluePickedUpBall,1,1,1,2,0.0
42,12.387,BlueThrewBall,0,1,1,2,0.0
43,12.392,PurplePickedUpBall,0,2,1,2,0.0
44,12.87,PurpleDash,0,2,1,2,0.0
45,14.04,PurpleDash,0,2,1,2,0.0
46,15.075,PurpleDash,0,2,1,2,0.0
47,15.419,BluePickedUpBall,1,2,1,2,0.0
48,16.129,PurpleDash,1,2,1,2,0.0
49,16.354,BlueThrewBall,0,2,1,2,0.0
50,16.978,BluePickedUpBall,1,2,1,2,0.0
51,17.238,PurpleDash,1,2,1,2,0.0
52,17.621,BluePickedUpBall,2,2,1,2,0.0
53,17.819,BlueThrewBall,1,2,1,2,0.0
54,18.488,PurpleDash,1,2,1,2,0.0
55,19.348,BlueThrewBall,0,2,1,2,0.0
56,19.768,PurpleDash,0,2,1,2,0.0
57,20.86,PurpleDash,0,2,1,2,0.0
58,22.254,PurpleDash,0,2,1,2,0.0
59,23.641,PurpleDash,0,2,1,2,0.0
60,23.651,PurplePickedUpBall,0,3,1,2,0.0
61,24.651,PurpleDash,0,3,1,2,0.0
62,25.721,PurpleDash,0,3,1,2,0.0
63,26.895,PurpleDash,0,3,1,2,0.0
64,27.009,PurplePickedUpBall,0,4,1,2,0.0
65,27.636,PurpleThrewBall,0,3,1,2,0.0
66,27.751,BluePickedUpBall,1,3,1,2,0.0
67,27.955,PurpleDash,1,3,1,2,0.0
68,28.267,BluePickedUpBall,2,3,1,2,0.0
69,28.714,BlueThrewBall,1,3,1,2,0.0
70,29.129,PurpleDash,1,3,1,2,0.0
71,29.233,BluePickedUpBall,2,3,1,2,0.0
72,29.461,BlueThrewBall,1,3,1,2,0.0
73,29.782,BluePickedUpBall,2,3,1,2,0.0
74,30.125,BlueThrewBall,1,3,1,2,0.0
75,30.241,PurpleDash,1,3,1,2,0.0
76,31.255,PurpleDash,1,3,1,2,0.0
77,31.372,BluePickedUpBall,2,3,1,2,0.0
78,31.483,BlueThrewBall,1,3,1,2,0.0
79,32.097,BlueThrewBall,0,3,1,2,0.0
80,32.327,PurpleDash,0,3,1,2,0.0
81,33.427,PurpleDash,0,3,1,2,0.0
82,33.644,PurpleThrewBall,0,2,1,2,0.0
83,33.647,HitPurple,0,2,0,2,0.0
84,33.652,GameEnd,0,2,0,2,0.0
85,35.744,WinScreenStart,0,2,0,2,0.0
86,36.851,ResetScene,0,0,3,3,0.0
87,40.884,PurpleDash,0,0,3,3,0.0
88,42.173,BluePickedUpBall,1,0,3,3,0.0
89,42.321,BluePickedUpBall,2,0,3,3,0.0
90,42.339,PurpleDash,2,0,3,3,0.0
91,42.68,BluePickedUpBall,3,0,3,3,0.0
92,43.137,BlueThrewBall,2,0,3,3,0.0
93,43.494,PurpleDash,2,0,3,3,0.0
94,43.754,BlueThrewBall,1,0,3,3,0.0
95,44.476,BlueThrewBall,0,0,3,3,0.0
96,44.477,PurpleDash,0,0,3,3,0.0
97,44.82,PurplePickedUpBall,0,1,3,3,0.0
98,44.942,BluePickedUpBall,1,1,3,3,0.0
99,45.607,PurpleDash,1,1,3,3,0.0
100,46.045,BlueThrewBall,0,1,3,3,0.0
101,46.244,BluePickedUpBall,1,1,3,3,0.0
102,46.7,PurpleDash,1,1,3,3,0.0
103,46.922,BlueThrewBall,0,1,3,3,0.0
104,47.238,BluePickedUpBall,1,1,3,3,0.0
105,47.893,PurpleDash,1,1,3,3,0.0
106,49.07,PurpleDash,1,1,3,3,0.0
107,49.669,BlueThrewBall,0,1,3,3,0.0
108,50.147,PurpleDash,0,1,3,3,0.0
109,50.155,BluePickedUpBall,1,1,3,3,0.0
110,51.254,PurpleDash,1,1,3,3,0.0
111,51.465,BlueThrewBall,0,1,3,3,0.0
112,52.255,PurpleDash,0,1,3,3,0.0
113,53.345,PurpleDash,0,1,3,3,0.0
114,54.435,PurpleDash,0,1,3,3,0.0
115,55.546,PurpleDash,0,1,3,3,0.0
116,56.265,BluePickedUpBall,1,1,3,3,0.0
117,56.684,PurpleDash,1,1,3,3,0.0
118,56.685,BluePickedUpBall,2,1,3,3,0.0
119,56.781,BluePickedUpBall,3,1,3,3,0.0
120,57.628,BlueThrewBall,2,1,3,3,0.0
121,57.859,BlueThrewBall,1,1,3,3,0.0
122,58.3,PurpleDash,1,1,3,3,0.0
123,58.626,BluePickedUpBall,2,1,3,3,0.0
124,59.164,BlueThrewBall,1,1,3,3,0.0
125,59.383,PurpleDash,1,1,3,3,0.0
126,60.778,BlueThrewBall,0,1,3,3,0.0
127,60.779,PurpleDash,0,1,3,3,0.0
128,61.876,PurpleDash,0,1,3,3,0.0
129,62.941,PurpleDash,0,1,3,3,0.0
130,63.957,PurpleDash,0,1,3,3,0.0
131,65.054,PurpleDash,0,1,3,3,0.0
132,65.574,BluePickedUpBall,1,1,3,3,0.0
133,65.905,BlueThrewBall,0,1,3,3,0.0
134,66.104,PurpleDash,0,1,3,3,0.0
135,66.315,PurplePickedUpBall,0,2,3,3,0.0
136,66.952,PurplePickedUpBall,0,3,3,3,0.0
137,67.148,PurpleDash,0,3,3,3,0.0
138,68.394,PurpleDash,0,3,3,3,0.0
139,69.754,PurpleDash,0,3,3,3,0.0
140,70.849,PurpleDash,0,3,3,3,0.0
141,72.092,PurpleDash,0,3,3,3,0.0
142,73.105,PurpleDash,0,3,3,3,0.0
143,74.225,PurpleDash,0,3,3,3,0.0
144,74.428,PurpleThrewBall,0,2,3,3,0.0
145,74.534,HitPurple,0,2,2,3,0.0
146,74.844,PurpleThrewBall,0,1,2,3,0.0
147,75.276,PurpleDash,0,1,2,3,0.0
148,75.384,BluePickedUpBall,1,1,2,3,0.0
149,75.599,BlueThrewBall,0,1,2,3,0.0
150,76.695,PurpleDash,0,1,2,3,0.0
151,76.967,PurplePickedUpBall,0,2,2,3,0.0
152,77.725,PurpleDash,0,2,2,3,0.0
153,78.596,BluePickedUpBall,1,2,2,3,0.0
154,78.688,PurpleThrewBall,1,1,2,3,0.0
155,78.791,PurpleDash,1,1,2,3,0.0
156,79.792,BlueThrewBall,0,1,2,3,0.0
157,80.142,PurpleDash,0,1,2,3,0.0
158,81.356,PurpleDash,0,1,2,3,0.0
159,82.407,PurpleDash,0,1,2,3,0.0
160,83.448,PurpleDash,0,1,2,3,0.0
161,83.843,PurpleThrewBall,0,0,2,3,0.0
162,84.576,PurpleDash,0,0,2,3,0.0
163,85.633,PurpleDash,0,0,2,3,0.0
164,86.839,PurpleDash,0,0,2,3,0.0
165,87.747,PurplePickedUpBall,0,1,2,3,0.0
166,87.954,PurpleDash,0,1,2,3,0.0
167,89.103,PurpleDash,0,1,2,3,0.0
168,90.226,PurpleDash,0,1,2,3,0.0
169,91.334,PurpleDash,0,1,2,3,0.0
170,91.336,BluePickedUpBall,1,1,2,3,0.0
171,91.43,BluePickedUpBall,2,1,2,3,0.0
172,91.766,BlueThrewBall,1,1,2,3,0.0
173,92.195,PurpleThrewBall,1,0,2,3,0.0
174,92.411,PurpleDash,1,0,2,3,0.0
175,93.154,BlueThrewBall,0,0,2,3,0.0
176,93.471,PurpleDash,0,0,2,3,0.0
177,93.785,BluePickedUpBall,1,0,2,3,0.0
178,94.108,BlueThrewBall,0,0,2,3,0.0
179,94.749,BluePickedUpBall,1,0,2,3,0.0
180,94.942,PurpleDash,1,0,2,3,0.0
181,95.452,BlueThrewBall,0,0,2,3,0.0
182,96.078,PurpleDash,0,0,2,3,0.0
183,97.231,PurpleDash,0,0,2,3,0.0
184,98.316,BluePickedUpBall,1,0,2,3,0.0
185,98.324,PurpleDash,1,0,2,3,0.0
186,98.52,BlueThrewBall,0,0,2,3,0.0
187,99.072,PurplePickedUpBall,0,1,2,3,0.0
188,99.388,PurpleDash,0,1,2,3,0.0
189,100.212,BluePickedUpBall,1,1,2,3,0.0
190,100.222,BlueThrewBall,0,1,2,3,0.0
191,100.433,PurpleDash,0,1,2,3,0.0
192,100.53,BluePickedUpBall,1,1,2,3,0.0
193,100.969,BlueThrewBall,0,1,2,3,0.0
194,101.494,PurpleDash,0,1,2,3,0.0
195,102.007,PurplePickedUpBall,0,2,2,3,0.0
196,102.613,PurpleDash,0,2,2,3,0.0
197,103.625,PurpleDash,0,2,2,3,0.0
198,104.719,PurpleDash,0,2,2,3,0.0
199,104.907,PurpleThrewBall,0,1,2,3,0.0
200,104.909,HitPurple,0,1,1,3,0.0
201,104.909,PurplePickedUpBall,0,2,1,3,0.0
202,105.83,PurpleDash,0,2,1,3,0.0
203,107.776,PurpleDash,0,2,1,3,0.0
204,108.08,BluePickedUpBall,1,2,1,3,0.0
205,108.4,BluePickedUpBall,2,2,1,3,0.0
206,108.849,PurpleDash,2,2,1,3,0.0
207,109.91,PurpleDash,2,2,1,3,0.0
208,110.027,BlueThrewBall,1,2,1,3,0.0
209,111.335,BluePickedUpBall,2,2,1,3,0.0
210,111.557,PurpleDash,2,2,1,3,0.0
211,111.876,BlueThrewBall,1,2,1,3,0.0
212,112.102,BlueThrewBall,0,2,1,3,0.0
213,112.447,PurpleThrewBall,0,1,1,3,0.0
214,112.681,PurpleDash,0,1,1,3,0.0
215,112.924,BluePickedUpBall,1,1,1,3,0.0
216,113.173,BlueThrewBall,0,1,1,3,0.0
217,113.618,BluePickedUpBall,1,1,1,3,0.0
218,113.845,BluePickedUpBall,2,1,1,3,0.0
219,113.952,PurpleDash,2,1,1,3,0.0
220,114.417,BlueThrewBall,1,1,1,3,0.0
221,114.418,PurplePickedUpBall,1,2,1,3,0.0
222,114.758,BlueThrewBall,0,2,1,3,0.0
223,115.008,PurpleDash,0,2,1,3,0.0
224,115.35,BluePickedUpBall,1,2,1,3,0.0
225,116.112,BlueThrewBall,0,2,1,3,0.0
226,116.113,PurpleDash,0,2,1,3,0.0
227,116.445,PurplePickedUpBall,0,3,1,3,0.0
228,117.226,PurpleDash,0,3,1,3,0.0
229,118.098,BluePickedUpBall,1,3,1,3,0.0
230,118.197,BlueThrewBall,0,3,1,3,0.0
231,118.308,PurpleDash,0,3,1,3,0.0
232,119.321,BluePickedUpBall,1,3,1,3,0.0
233,119.556,PurpleDash,1,3,1,3,0.0
234,120.52,BluePickedUpBall,2,3,1,3,0.0
235,120.736,PurpleDash,2,3,1,3,0.0
236,121.06,BlueThrewBall,1,3,1,3,0.0
237,121.829,PurpleDash,1,3,1,3,0.0
238,121.936,BlueThrewBall,0,3,1,3,0.0
239,122.909,PurpleDash,0,3,1,3,0.0
240,123.996,PurpleDash,0,3,1,3,0.0
241,125.172,PurpleDash,0,3,1,3,0.0
242,126.243,PurpleDash,0,3,1,3,0.0
243,127.397,PurpleDash,0,3,1,3,0.0
244,127.398,PurpleThrewBall,0,2,1,3,0.0
245,127.41,HitPurple,0,2,0,3,0.0
246,127.412,GameEnd,0,2,0,3,0.0
247,129.491,WinScreenStart,0,2,0,3,0.0
248,130.525,ResetScene,0,0,3,3,0.0
249,134.566,PurpleDash,0,0,3,3,0.0
250,135.635,PurpleDash,0,0,3,3,4.0
251,136.428,BluePickedUpBall,1,0,3,3,0.0
252,136.861,PurpleDash,1,0,3,3,0.0
253,137.174,BlueThrewBall,0,0,3,3,0.0
254,137.281,BluePickedUpBall,1,0,3,3,0.0
255,138.074,PurpleDash,1,0,3,3,0.0
256,138.817,PurplePickedUpBall,1,1,3,3,0.0
257,139.136,BlueThrewBall,0,1,3,3,0.0
258,139.142,BluePickedUpBall,1,1,3,3,0.0
259,139.143,PurplePickedUpBall,1,2,3,3,0.0
260,139.231,PurpleDash,1,2,3,3,0.0
261,140.123,BluePickedUpBall,2,2,3,3,0.0
262,140.334,PurpleDash,2,2,3,3,0.0
263,140.594,BlueThrewBall,1,2,3,3,0.0
264,140.72,BluePickedUpBall,2,2,3,3,0.0
265,141.043,BluePickedUpBall,3,2,3,3,0.0
266,141.358,BluePickedUpBall,4,2,3,3,0.0
267,141.462,PurpleDash,4,2,3,3,0.0
268,141.67,PurplePickedUpBall,4,3,3,3,0.0
269,141.976,BlueThrewBall,3,3,3,3,0.0
270,142.615,PurpleDash,3,3,3,3,0.0
271,143.04,BlueThrewBall,2,3,3,3,0.0
272,143.65,PurpleDash,2,3,3,3,0.0
273,144.396,BlueThrewBall,1,3,3,3,0.0
274,144.72,BlueThrewBall,0,3,3,3,0.0
275,144.721,PurpleDash,0,3,3,3,0.0
276,144.932,BluePickedUpBall,1,3,3,3,0.0
277,145.566,BlueThrewBall,0,3,3,3,0.0
278,145.786,PurpleDash,0,3,3,3,0.0
279,146.84,PurpleDash,0,3,3,3,0.0
280,147.132,PurpleThrewBall,0,2,3,3,0.0
281,147.135,HitPurple,0,2,2,3,0.0
282,147.979,PurpleDash,0,2,2,3,0.0
283,148.182,BluePickedUpBall,1,2,2,3,0.0
284,148.282,BlueThrewBall,0,2,2,3,0.0
285,148.498,BluePickedUpBall,1,2,2,3,0.0
286,148.508,BluePickedUpBall,2,2,2,3,0.0
287,148.827,BlueThrewBall,1,2,2,3,0.0
288,149.147,PurpleDash,1,2,2,3,0.0
289,149.395,BlueThrewBall,0,2,2,3,0.0
290,149.742,PurplePickedUpBall,0,3,2,3,0.0
291,150.48,PurpleDash,0,3,2,3,0.0
