Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
11:48:50.731,(16.00431,-23.96095),177.6834,(14.84506,-69.12164),353.335
11:48:56.627,(16.06738,-23.39969),179.4449,(14.41149,-68.24786),350.0025
11:48:56.771,(16.67529,-22.95159),167.5974,(13.32744,-66.95587),355.3345
11:48:56.888,(17.41826,-22.98466),165.7675,(12.69972,-66.20766),348.003
11:48:57.010,(18.26597,-23.69973),153.5878,(11.85425,-65.61169),330.0074
11:48:57.019,(19.06823,-23.83083),132.8458,(11.12696,-65.0697),319.3434
11:48:57.136,(19.95504,-24.21282),121.8371,(10.33405,-64.3614),322.676
11:48:57.258,(20.57776,-24.74732),132.1482,(9.54542,-63.90664),313.345
11:48:57.387,(20.81953,-25.56219),133.5856,(9.354782,-63.69513),314.678
11:48:57.500,(20.23849,-24.84393),143.6806,(9.824442,-63.57758),322.0095
11:48:57.515,(19.43589,-24.44748),152.6366,(10.59024,-63.00381),322.676
11:48:57.633,(18.5326,-23.85309),150.9915,(11.40723,-62.18865),330.674
11:48:57.752,(17.77316,-23.17904),151.8485,(12.09468,-61.36781),312.6785
11:48:57.881,(17.75021,-23.28566),136.6541,(11.99338,-60.98803),303.3475
11:48:58.000,(18.173,-23.9963),117.8851,(10.70524,-60.84095),284.6855
11:48:58.106,(18.26286,-24.85192),103.3299,(9.867174,-60.82767),279.3535
11:48:58.122,(18.48501,-25.6548),115.0276,(9.231541,-60.84402),283.3525
11:48:58.240,(18.9172,-26.53868),107.9446,(9.420004,-61.88902),278.0205
11:48:58.349,(19.5803,-27.06921),85.58492,(9.519979,-62.92236),264.6905
11:48:58.462,(20.04379,-27.27344),71.53191,(9.429382,-63.81554),255.3595
11:48:58.572,(20.60172,-26.57079),74.692,(9.400045,-64.88795),242.696
11:48:58.680,(21.10927,-25.94117),71.73225,(9.345757,-65.77345),231.3655
11:48:58.805,(21.40274,-25.51614),58.52046,(9.333243,-66.8399),210.704
11:48:58.815,(22.36389,-26.37725),57.51211,(9.39745,-67.57282),204.7055
11:48:58.934,(24.22143,-27.57917),61.22652,(9.554921,-68.76612),185.377
11:48:59.051,(25.1006,-27.38134),59.77967,(9.903291,-69.39106),180.045
11:48:59.175,(25.89135,-27.29138),64.44395,(10.26822,-70.37173),185.377
11:48:59.291,(25.89576,-27.05751),61.73251,(10.55695,-71.27027),173.38
11:48:59.412,(25.19358,-26.62914),71.27898,(10.91767,-72.20928),152.7185
