Time: 21:21:30.960, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 21:21:46.577, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 21:21:59.734, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 21:22:11.725, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 21:22:48.584, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 21:23:02.081, Winner: Purple, Blue lives left: 0, Purple lives left: 1
Time: 21:23:37.874, Winner: Purple, Blue lives left: 0, Purple lives left: 1
Time: 21:23:50.089, Winner: Purple, Blue lives left: 0, Purple lives left: 1
Time: 21:24:37.022, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 21:24:54.778, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 21:25:20.538, Winner: Purple, Blue lives left: 0, Purple lives left: 3
Time: 21:25:40.769, Winner: Purple, Blue lives left: 0, Purple lives left: 3
Time: 21:25:53.925, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 21:26:09.657, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 21:26:32.147, Winner: Blue, Blue lives left: 2, Purple lives left: 0
Time: 21:26:47.002, Winner: Purple, Blue lives left: 0, Purple lives left: 1
Time: 21:27:29.510, Winner: Blue, Blue lives left: 3, Purple lives left: 0
Time: 21:27:42.257, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 21:27:54.676, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 21:29:45.416, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 21:30:12.931, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 21:30:29.765, Winner: Purple, Blue lives left: 0, Purple lives left: 1
Time: 21:30:45.398, Winner: Purple, Blue lives left: 0, Purple lives left: 3
Time: 21:30:57.946, Winner: Purple, Blue lives left: 0, Purple lives left: 1
Time: 21:31:50.926, Winner: Purple, Blue lives left: 0, Purple lives left: 1
