Time: 13:16:01.018, Winner: Blue, Blue lives left: 2, Purple lives left: 0
Time: 13:16:55.360, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 13:17:38.831, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 13:18:12.154, Winner: Blue, Blue lives left: 2, Purple lives left: 0
Time: 13:18:28.418, Winner: Blue, Blue lives left: 3, Purple lives left: 0
Time: 13:18:45.678, Winner: Blue, Blue lives left: 3, Purple lives left: 0
Time: 13:19:28.479, Winner: Blue, Blue lives left: 2, Purple lives left: 0
Time: 13:21:21.040, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 13:21:48.752, Winner: Blue, Blue lives left: 2, Purple lives left: 0
Time: 13:22:49.878, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 13:23:02.306, Winner: Purple, Blue lives left: 0, Purple lives left: 3
Time: 13:23:30.717, Winner: Purple, Blue lives left: 0, Purple lives left: 1
Time: 13:23:49.654, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 13:24:01.222, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 13:24:33.674, Winner: Blue, Blue lives left: 2, Purple lives left: 0
Time: 13:24:49.596, Winner: Purple, Blue lives left: 0, Purple lives left: 1
Time: 13:25:13.244, Winner: Blue, Blue lives left: 2, Purple lives left: 0
Time: 13:25:26.487, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 13:25:51.974, Winner: Blue, Blue lives left: 3, Purple lives left: 0
Time: 13:26:09.534, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 13:26:30.266, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 13:27:17.744, Winner: Blue, Blue lives left: 3, Purple lives left: 0
Time: 13:27:42.902, Winner: Blue, Blue lives left: 2, Purple lives left: 0
Time: 13:29:33.884, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 13:29:55.690, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 13:30:49.511, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 13:31:11.077, Winner: Blue, Blue lives left: 2, Purple lives left: 0
Time: 13:31:33.597, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 13:31:52.695, Winner: Purple, Blue lives left: 0, Purple lives left: 1
Time: 13:32:59.070, Winner: Blue, Blue lives left: 2, Purple lives left: 0
Time: 13:33:36.467, Winner: Purple, Blue lives left: 0, Purple lives left: 1
Time: 13:34:20.842, Winner: Blue, Blue lives left: 2, Purple lives left: 0
Time: 13:34:56.912, Winner: Purple, Blue lives left: 0, Purple lives left: 1
Time: 13:35:09.403, Winner: Blue, Blue lives left: 3, Purple lives left: 0
Time: 13:35:39.467, Winner: Purple, Blue lives left: 0, Purple lives left: 3
Time: 13:36:19.719, Winner: Purple, Blue lives left: 0, Purple lives left: 1
Time: 13:37:31.225, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 13:38:05.153, Winner: Blue, Blue lives left: 2, Purple lives left: 0
Time: 13:38:53.178, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 13:40:22.437, Winner: Blue, Blue lives left: 2, Purple lives left: 0
Time: 13:40:46.857, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 13:41:19.991, Winner: Blue, Blue lives left: 2, Purple lives left: 0
Time: 13:42:15.630, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 13:42:40.163, Winner: Purple, Blue lives left: 0, Purple lives left: 1
Time: 13:43:57.669, Winner: Blue, Blue lives left: 3, Purple lives left: 0
Time: 13:44:10.343, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 13:44:52.412, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 13:45:13.779, Winner: Blue, Blue lives left: 2, Purple lives left: 0
Time: 13:45:30.779, Winner: Blue, Blue lives left: 2, Purple lives left: 0
Time: 13:45:56.312, Winner: Blue, Blue lives left: 2, Purple lives left: 0
Time: 13:46:11.499, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 13:46:38.929, Winner: Purple, Blue lives left: 0, Purple lives left: 2
