Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
13:08:19.906,(16.02987,-24.02224),179.5597,(14.99191,-68.99557),350.669
13:08:28.624,(16.42345,-24.30935),181.3623,(14.6158,-69.01768),352.6685
13:08:28.728,(17.07335,-24.79159),183.9605,(13.6701,-68.72746),332.6735
13:08:28.825,(17.68262,-25.29529),181.4612,(12.90106,-68.50806),327.3415
13:08:28.946,(18.28343,-25.79158),181.2685,(11.90639,-68.23692),305.347
13:08:29.055,(18.74096,-26.21095),178.7962,(11.1605,-68.16185),300.015
13:08:29.153,(19.29609,-26.73876),178.072,(10.29643,-68.61421),286.685
13:08:29.242,(19.80922,-27.37633),184.8958,(9.680065,-69.18669),280.6865
13:08:29.334,(20.27298,-28.13206),179.1856,(9.49268,-69.44295),280.6865
13:08:29.422,(20.58248,-28.80429),179.4642,(9.402277,-70.32254),274.6879
13:08:29.513,(20.92708,-29.53428),182.0505,(9.352335,-71.34605),263.3574
13:08:29.606,(20.10151,-30.32637),183.977,(9.388819,-72.21819),257.3589
13:08:29.700,(19.54651,-30.63171),193.3916,(9.507557,-73.21927),245.3619
13:08:29.790,(19.69853,-31.14368),198.8751,(9.345977,-73.0222),234.0314
13:08:29.876,(20.30962,-31.62294),202.2335,(10.17636,-72.98066),240.6964
13:08:29.966,(20.98138,-32.00655),207.1003,(10.69181,-73.09016),230.0324
13:08:30.122,(21.74737,-32.52369),224.5155,(11.74952,-72.95842),218.0354
13:08:30.208,(21.97464,-32.52),233.136,(12.5866,-72.9863),212.0369
13:08:30.302,(22.33063,-32.78522),244.5477,(13.58729,-73.13002),200.7064
13:08:30.388,(22.69714,-33.02677),251.3767,(14.43938,-73.16728),193.3749
13:08:30.473,(23.13563,-33.53466),257.824,(15.13816,-73.15646),194.7079
13:08:30.633,(23.7267,-34.21482),267.9945,(15.99251,-73.21156),187.3764
13:08:30.709,(24.3122,-35.49836),288.2977,(16.85953,-73.19548),189.3759
13:08:30.795,(24.9171,-37.22436),303.9968,(17.46699,-73.20991),178.7119
13:08:30.875,(25.41848,-38.15961),321.3984,(18.24566,-73.18185),180.7114
13:08:31.032,(25.41788,-38.96755),343.4597,(18.80387,-73.11036),192.7084
13:08:31.121,(24.75744,-39.30946),3.261137,(19.94334,-73.10239),181.3779
13:08:31.197,(23.96396,-39.55619),10.78664,(20.8198,-73.09727),175.3793
13:08:31.281,(22.98617,-39.70604),25.92793,(21.83096,-73.05172),163.3824
13:08:31.436,(22.13411,-39.66271),36.48144,(22.69872,-72.92849),156.7174
13:08:31.525,(21.17783,-39.49803),38.7514,(23.67191,-72.67246),144.0539
13:08:31.605,(20.54022,-39.47453),51.70554,(24.51348,-72.42184),136.7224
13:08:31.688,(20.0752,-38.83701),65.76532,(25.45306,-72.04157),121.3929
13:08:31.768,(19.30559,-37.6285),73.97153,(26.13579,-71.7264),114.0614
13:08:31.952,(17.96793,-35.73051),81.18284,(27.11577,-71.15635),97.39888
13:08:32.054,(17.34075,-34.84048),90.24923,(27.84016,-70.66261),87.40137
13:08:32.161,(16.8508,-34.0571),107.7512,(28.62427,-70.0302),67.40638
13:08:32.169,(16.66476,-33.42797),114.9624,(29.19336,-69.53701),57.40889
13:08:32.335,(16.13504,-32.82406),115.4027,(29.9311,-68.68534),36.08089
13:08:32.426,(16.46097,-32.86976),118.2385,(29.99236,-67.94367),30.74887
13:08:32.515,(16.83055,-33.1768),124.9446,(28.97906,-67.06229),20.08487
13:08:32.604,(17.22335,-33.47709),128.608,(28.22374,-66.52204),14.75287
13:08:32.697,(17.76488,-33.76303),137.735,(27.04258,-66.02253),2.089365
13:08:32.782,(18.35307,-33.70525),142.6711,(26.06544,-65.70214),355.4244
13:08:32.871,(18.78165,-33.19697),143.7003,(25.13622,-65.43472),336.7624
13:08:32.967,(19.33249,-31.73),147.0892,(23.92226,-65.07757),327.4314
13:08:33.071,(20.10359,-29.76101),146.8265,(22.87919,-64.87441),310.7689
13:08:33.236,(20.57164,-28.5658),161.1112,(21.73279,-65.23969),300.7714
13:08:33.326,(21.12179,-27.86298),184.8979,(20.65888,-65.4969),301.4379
13:08:33.416,(21.86473,-27.90208),205.9063,(19.85625,-65.24385),311.4354
13:08:33.511,(22.32706,-28.77529),197.6338,(18.94382,-64.62051),313.4349
13:08:33.605,(22.80668,-29.28601),203.1468,(19.15938,-63.04993),322.7659
13:08:33.695,(23.31713,-30.07848),191.4393,(19.56683,-60.82293),305.4369
13:08:33.791,(23.74572,-30.58722),193.727,(19.80273,-59.53339),298.1053
13:08:33.912,(24.34261,-30.91971),207.0147,(19.91332,-58.69845),285.4418
13:08:34.036,(24.93417,-31.30105),216.7125,(19.52068,-57.2457),293.4398
13:08:34.132,(25.38125,-31.75706),227.3323,(18.84915,-55.63133),270.7788
13:08:34.215,(25.20425,-32.43281),238.3478,(18.18052,-56.00873),260.7813
13:08:34.307,(25.25635,-33.3022),246.4829,(17.8006,-57.01506),262.7808
13:08:34.402,(25.50068,-34.03495),255.7479,(17.2178,-57.83089),252.1168
13:08:34.497,(25.82089,-34.90219),271.0346,(16.60531,-58.71687),237.4539
13:08:34.585,(26.05339,-35.71198),283.8577,(16.27039,-59.55062),229.4559
13:08:34.673,(26.37656,-36.7293),292.1003,(16.25328,-60.53346),212.7934
13:08:34.838,(27.40028,-38.28379),293.5287,(16.37062,-61.67187),203.4623
13:08:34.930,(27.71038,-39.16335),293.6223,(16.47946,-62.76767),206.1283
13:08:35.018,(27.66395,-39.41113),298.3333,(16.51247,-63.55835),196.7973
13:08:35.163,(27.18884,-39.41372),314.4508,(17.07374,-63.66656),179.4684
13:08:35.172,(26.85904,-39.86194),325.3058,(17.46919,-63.18009),170.1374
13:08:35.270,(26.18003,-40.18149),331.6547,(18.48103,-63.41466),171.4704
13:08:35.433,(25.55689,-40.49248),342.6607,(18.93883,-63.76817),179.4684
