Timestamp,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
16:10:16.094,Init,0,3,3,0
16:10:16.094,ResetScene,0,0,3,3,0
16:10:18.891,S,0,0,3,3,0
16:10:19.872,PurplePickedUpBall,0,1,3,3,0
16:10:20.037,PurplePickedUpBall,0,2,3,3,0
16:10:20.379,PurplePickedUpBall,0,3,3,3,0
16:10:21.362,PurplePickedUpBall,0,4,3,3,0
16:10:21.412,BluePickedUpBall,1,4,3,3,0
16:10:21.867,BluePickedUpBall,2,4,3,3,0
16:10:22.401,BluePickedUpBall,3,4,3,3,0
16:10:22.633,PurpleThrewBall,3,3,3,3,0
16:10:22.901,PurpleThrewBall,3,2,3,3,0
16:10:23.698,PurplePickedUpBall,3,3,3,3,0
16:10:23.763,BluePickedUpBall,4,3,3,3,0
16:10:24.300,PurplePickedUpBall,4,4,3,3,0
16:10:24.433,PurpleThrewBall,4,3,3,3,0
16:10:25.033,PurpleThrewBall,4,2,3,3,0
16:10:26.529,PurplePickedUpBall,4,3,3,3,0
16:10:27.215,PurplePickedUpBall,4,4,3,3,0
16:10:28.163,PurpleThrewBall,4,3,3,3,0
16:10:28.431,PurpleThrewBall,4,2,3,3,0
16:10:28.879,PurplePickedUpBall,4,3,3,3,0
