,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
2,0.0,S,0,0,3,3,0.0
3,3.187,BluePickedUpBall,1,0,3,3,0.0
4,4.443,PurplePickedUpBall,1,1,3,3,0.0
5,5.905,BlueThrewBall,0,1,3,3,0.0
6,6.037,PurplePickedUpBall,0,2,3,3,0.0
7,6.639,BluePickedUpBall,1,2,3,3,0.0
8,7.403,PurpleThrewBall,1,1,3,3,0.0
9,7.687,BlueThrewBall,0,1,3,3,0.0
10,8.656,PurpleThrewBall,0,0,3,3,0.0
11,8.779,HitBlue,0,0,2,3,0.0
12,9.831,PurplePickedUpBall,0,1,2,3,0.0
13,10.09,PurpleThrewBall,0,0,2,3,0.0
14,10.192,HitBlue,0,0,1,3,0.0
15,11.782,BluePickedUpBall,1,0,1,3,0.0
16,12.251,PurplePickedUpBall,1,1,1,3,0.0
17,16.101,BlueThrewBall,0,1,1,3,0.0
18,16.356,HitPurple,0,1,1,2,0.0
19,16.452,PurplePickedUpBall,0,2,1,2,0.0
20,18.618,PurpleThrewBall,0,1,1,2,0.0
21,18.783,HitBlue,0,1,0,2,0.0
22,18.788,GameEnd,0,1,0,2,0.0
23,19.954,PurplePickedUpBall,0,2,0,2,0.0
24,20.09,PurpleThrewBall,0,1,0,2,0.0
25,20.795,WinScreenStart,0,1,0,2,0.0
26,21.304,PurpleThrewBall,0,0,0,2,0.0
27,21.804,ResetScene,0,0,3,3,0.0
28,27.864,BluePickedUpBall,1,0,3,3,0.0
29,28.271,PurplePickedUpBall,1,1,3,3,0.0
30,29.186,PurpleThrewBall,1,0,3,3,0.0
31,29.712,BlueThrewBall,0,0,3,3,0.0
32,30.279,BluePickedUpBall,1,0,3,3,0.0
33,30.425,PurplePickedUpBall,1,1,3,3,0.0
34,30.489,PurpleThrewBall,1,0,3,3,0.0
35,30.681,HitBlue,1,0,2,3,0.0
36,30.989,BlueThrewBall,0,0,2,3,0.0
37,32.066,PurplePickedUpBall,0,1,2,3,0.0
38,34.397,PurpleThrewBall,0,0,2,3,0.0
39,34.721,BluePickedUpBall,1,0,2,3,0.0
40,38.459,BluePickedUpBall,2,0,2,3,0.0
41,38.485,BluePickedUpBall,3,0,2,3,0.0
42,43.754,PurplePickedUpBall,3,1,2,3,2.0
43,44.156,BlueThrewBall,2,1,2,3,2.0
44,44.727,PurplePickedUpBall,2,2,2,3,0.0
45,46.835,PurpleThrewBall,2,1,2,3,0.0
46,46.946,BlueThrewBall,1,1,2,3,0.0
47,47.759,PurpleThrewBall,1,0,2,3,0.0
48,47.761,HitBlue,1,0,1,3,0.0
49,47.761,BluePickedUpBall,2,0,1,3,0.0
50,47.809,BlueThrewBall,1,0,1,3,0.0
51,49.956,BlueThrewBall,0,0,1,3,0.0
52,50.511,PurplePickedUpBall,0,1,1,3,0.0
53,51.562,BluePickedUpBall,1,1,1,3,0.0
54,52.65,PurplePickedUpBall,1,2,1,3,0.0
55,55.594,BlueThrewBall,0,2,1,3,0.0
56,57.052,PurpleThrewBall,0,1,1,3,0.0
57,58.401,PurplePickedUpBall,0,2,1,3,0.0
58,60.918,PurpleThrewBall,0,1,1,3,0.0
59,61.118,HitBlue,0,1,0,3,0.0
60,61.123,GameEnd,0,1,0,3,0.0
61,62.596,PurplePickedUpBall,0,2,0,3,0.0
62,63.115,WinScreenStart,0,2,0,3,0.0
63,63.925,PurpleThrewBall,0,1,0,3,0.0
64,64.141,ResetScene,0,0,3,3,0.0
65,68.968,PurplePickedUpBall,0,1,3,3,0.0
66,69.154,PurplePickedUpBall,0,2,3,3,0.0
67,70.452,PurpleThrewBall,0,1,3,3,0.0
68,70.769,PurpleThrewBall,0,0,3,3,0.0
69,70.944,BluePickedUpBall,1,0,3,3,0.0
70,71.298,BluePickedUpBall,2,0,3,3,0.0
71,72.763,BlueThrewBall,1,0,3,3,0.0
72,73.332,BlueThrewBall,0,0,3,3,0.0
73,73.715,PurplePickedUpBall,0,1,3,3,0.0
74,78.406,PurpleThrewBall,0,0,3,3,0.0
75,80.02,BluePickedUpBall,1,0,3,3,0.0
76,80.435,PurplePickedUpBall,1,1,3,3,0.0
77,80.831,PurplePickedUpBall,1,2,3,3,0.0
78,82.62,PurpleThrewBall,1,1,3,3,0.0
79,82.969,BlueThrewBall,0,1,3,3,0.0
80,84.821,PurplePickedUpBall,0,2,3,3,0.0
81,86.535,BluePickedUpBall,1,2,3,3,0.0
82,87.544,PurplePickedUpBall,1,3,3,3,0.0
83,88.798,PurpleThrewBall,1,2,3,3,0.0
84,89.14,HitBlue,1,2,2,3,0.0
85,90.281,PurpleThrewBall,1,1,2,3,0.0
86,90.961,PurpleThrewBall,1,0,2,3,0.0
87,91.024,BluePickedUpBall,2,0,2,3,0.0
88,91.163,HitBlue,2,0,1,3,0.0
89,91.788,BlueThrewBall,1,0,1,3,0.0
90,92.289,BlueThrewBall,0,0,1,3,0.0
91,93.617,BluePickedUpBall,1,0,1,3,0.0
92,94.746,BlueThrewBall,0,0,1,3,0.0
93,95.808,PurplePickedUpBall,0,1,1,3,0.0
94,97.701,PurpleThrewBall,0,0,1,3,0.0
95,99.46,BluePickedUpBall,1,0,1,3,0.0
96,100.272,BluePickedUpBall,2,0,1,3,0.0
97,102.671,PurplePickedUpBall,2,1,1,3,4.0
98,103.02,BluePickedUpBall,3,1,1,3,0.0
99,106.215,PurpleThrewBall,3,0,1,3,0.0
100,106.485,HitBlue,3,0,0,3,0.0
101,106.488,GameEnd,0,0,0,3,0.0
102,108.512,WinScreenStart,0,0,0,3,0.0
103,108.94,PurplePickedUpBall,0,1,0,3,0.0
104,109.162,PurpleThrewBall,0,0,0,3,0.0
105,109.528,ResetScene,0,0,3,3,0.0
106,116.847,BluePickedUpBall,1,0,3,3,0.0
107,118.916,PurplePickedUpBall,1,1,3,3,0.0
108,119.162,PurpleThrewBall,1,0,3,3,0.0
109,119.614,PurplePickedUpBall,1,1,3,3,0.0
110,119.717,PurpleThrewBall,1,0,3,3,0.0
111,120.027,HitBlue,1,0,2,3,0.0
112,120.526,BlueThrewBall,0,0,2,3,0.0
