Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
15:54:12.145,(16,-24),180,(14.92474,-69.16472),354.7343
15:54:15.776,(15.94151,-23.70242),166.8004,(14.81299,-68.83041),353.9329
15:54:15.876,(15.76704,-22.84117),165.5999,(14.07,-68.17325),338.4528
15:54:15.977,(15.67289,-22.37727),165.5999,(13.33483,-67.68463),337.5507
15:54:16.079,(15.62812,-22.15667),165.5999,(12.41091,-67.25374),327.3638
15:54:16.178,(15.61954,-22.11438),165.5999,(11.57308,-66.99281),323.1318
15:54:16.283,(15.80488,-22.83623),165.5999,(10.64727,-66.72406),329.6635
15:54:16.378,(16.02111,-23.67841),165.5999,(9.918297,-66.36),326.7755
15:54:16.477,(16.26822,-24.64091),165.5999,(9.282151,-66.24226),318.6442
15:54:16.578,(16.48443,-25.48309),165.5999,(9.365471,-66.61255),312.4458
15:54:16.680,(16.73153,-26.44558),165.5999,(10.53013,-64.95453),317.6444
15:54:16.774,(16.94775,-27.28777),165.5999,(11.46056,-63.57245),328.1083
15:54:16.890,(16.90304,-28.29687),165.5999,(12.16692,-62.52323),349.2576
15:54:16.974,(16.47454,-29.06411),165.5999,(12.83356,-61.86488),1.043693
15:54:17.079,(15.95136,-29.89353),165.5999,(13.73478,-61.28617),7.440458
15:54:17.174,(16.71085,-30.17717),165.5999,(14.65755,-60.86713),356.0413
15:54:17.278,(17.74485,-30.26522),165.5998,(15.76955,-60.57421),8.340718
15:54:17.375,(18.65186,-30.24812),165.5998,(16.74351,-60.45734),9.208278
15:54:17.477,(19.55419,-30.52082),165.5998,(17.56953,-59.89329),24.68277
15:54:17.574,(20.11619,-31.15767),165.5998,(17.97657,-59.43859),14.23467
15:54:17.678,(20.1964,-32.15405),165.5998,(17.11749,-58.95591),0.05135754
15:54:17.775,(19.88179,-33.00453),165.5998,(16.24818,-58.63337),358.5151
15:54:17.876,(19.34719,-33.94858),165.5998,(15.14162,-58.85726),347.7044
15:54:17.977,(18.82663,-34.70389),165.5998,(14.4706,-58.96712),4.151126
15:54:18.077,(18.15498,-35.5063),165.5998,(13.40859,-58.95554),11.87915
15:54:18.173,(17.53043,-36.17246),165.5998,(12.73822,-58.74703),21.61349
15:54:18.283,(16.79078,-36.90605),165.5997,(13.13694,-57.69775),36.43051
15:54:18.376,(16.1181,-37.51249),165.5997,(13.61685,-56.94312),39.34694
15:54:18.485,(15.27296,-37.91674),165.5997,(14.56751,-55.94689),34.84155
15:54:18.576,(14.50781,-37.70737),165.5997,(15.24221,-55.26542),39.74411
15:54:18.679,(13.88455,-37.55756),165.5997,(15.93362,-54.15994),33.25178
15:54:18.782,(13.46674,-37.45718),165.5997,(16.43925,-53.2153),16.08215
15:54:18.879,(13.40891,-37.38963),165.5997,(17.11172,-52.35095),11.67945
15:54:18.983,(14.39248,-37.09991),165.5996,(17.80073,-51.52505),17.20185
15:54:19.083,(15.27127,-36.85429),165.5996,(18.19691,-50.60207),9.427182
15:54:19.173,(16.14634,-36.61655),165.5996,(18.69063,-49.70279),14.3242
15:54:19.276,(17.14317,-36.35104),165.5995,(19.37205,-48.74423),28.51118
15:54:19.374,(17.91385,-36.14833),165.5995,(20.11994,-48.15205),31.38854
15:54:19.480,(17.08281,-36.29224),165.5996,(21.22797,-48.01637),26.85634
15:54:19.573,(16.17955,-36.33631),165.5995,(22.15969,-47.91704),29.7223
15:54:19.680,(15.12773,-36.27824),165.5996,(22.93409,-47.51952),4.528601
15:54:19.775,(14.22066,-36.17901),161.4003,(22.75982,-46.9995),353.4257
15:54:19.878,(13.19311,-36.12748),139.2662,(22.5499,-45.98278),349.5865
15:54:19.975,(12.31807,-36.35229),120.4403,(22.59203,-45.04198),354.4902
