Timestamp,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
21:58:34.063,Init,0,3,3,0
21:58:34.063,ResetScene,0,0,3,3,0
21:58:39.551,S,0,0,3,3,0
21:58:44.384,PurplePickedUpBall,0,1,3,3,0
21:58:50.819,PurpleThrewBall,0,0,3,3,0
21:58:57.967,PurplePickedUpBall,0,1,3,3,0
21:59:00.341,PurpleThrewBall,0,0,3,3,0
21:59:00.528,BluePickedUpBall,1,0,3,3,0
21:59:01.283,PurplePickedUpBall,1,1,3,3,0
21:59:03.034,PurpleThrewBall,1,0,3,3,0
21:59:03.722,PurplePickedUpBall,1,1,3,3,0
21:59:03.790,PurpleThrewBall,1,0,3,3,0
21:59:03.859,HitBlue,1,0,2,3,0
21:59:03.862,BluePickedUpBall,2,0,2,3,0
21:59:08.219,BlueThrewBall,1,0,2,3,0
21:59:08.260,PurplePickedUpBall,1,1,2,3,0
21:59:08.680,PurpleThrewBall,1,0,2,3,0
21:59:08.812,HitBlue,1,0,1,3,0
21:59:09.379,BlueThrewBall,0,0,1,3,0
21:59:11.589,BluePickedUpBall,1,0,1,3,2
21:59:12.513,BluePickedUpBall,2,0,1,3,2
21:59:15.139,BlueThrewBall,1,0,1,3,0
21:59:15.864,BlueThrewBall,0,0,1,3,0
21:59:18.571,PurplePickedUpBall,0,1,1,3,0
21:59:21.130,PurpleThrewBall,0,0,1,3,0
21:59:21.192,HitBlue,0,0,0,3,0
21:59:21.202,GameEnd,0,0,0,3,0
21:59:23.190,WinScreenStart,0,0,0,3,0
21:59:24.204,ResetScene,0,0,3,3,0
21:59:31.906,BluePickedUpBall,1,0,3,3,0
21:59:36.691,PurplePickedUpBall,1,1,3,3,0
21:59:37.725,PurplePickedUpBall,1,2,3,3,0
21:59:38.981,PurpleThrewBall,1,1,3,3,0
21:59:39.344,BluePickedUpBall,2,1,3,3,0
21:59:39.402,PurpleThrewBall,2,0,3,3,0
21:59:39.890,BluePickedUpBall,3,0,3,3,0
21:59:45.159,PurplePickedUpBall,3,1,3,3,0
21:59:46.138,PurpleThrewBall,3,0,3,3,0
21:59:46.253,BluePickedUpBall,4,0,3,3,0
21:59:46.705,BlueThrewBall,3,0,3,3,0
21:59:48.182,BlueThrewBall,2,0,3,3,0
21:59:48.456,PurplePickedUpBall,2,1,3,3,0
21:59:50.238,BlueThrewBall,1,1,3,3,0
21:59:50.433,PurpleThrewBall,1,0,3,3,0
21:59:51.033,BluePickedUpBall,2,0,3,3,0
21:59:51.282,BlueThrewBall,1,0,3,3,0
21:59:58.794,BlueThrewBall,0,0,3,3,0
22:00:08.889,PurplePickedUpBall,0,1,3,3,0
22:00:08.891,PurpleThrewBall,0,0,3,3,0
22:00:08.951,HitBlue,0,0,2,3,0
22:00:08.965,BluePickedUpBall,1,0,2,3,0
22:00:20.370,BlueThrewBall,0,0,2,3,0
