,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
2,0.0,S,0,0,3,3,0.0
3,1.072,PurplePickedUpBall,0,1,3,3,0.0
4,1.225,BluePickedUpBall,1,1,3,3,0.0
5,1.964,BlueThrewBall,0,1,3,3,0.0
6,1.994,PurpleThrewBall,0,0,3,3,0.0
7,3.113,BluePickedUpBall,1,0,3,3,0.0
8,3.151,BluePickedUpBall,2,0,3,3,0.0
9,3.752,BlueThrewBall,1,0,3,3,0.0
10,3.793,PurplePickedUpBall,1,1,3,3,0.0
11,4.263,PurplePickedUpBall,1,2,3,3,0.0
12,4.462,PurplePickedUpBall,1,3,3,3,0.0
13,4.794,BluePickedUpBall,2,3,3,3,0.0
14,4.86,PurpleThrewBall,2,2,3,3,0.0
15,5.809,BluePickedUpBall,3,2,3,3,0.0
16,6.195,BlueThrewBall,2,2,3,3,0.0
17,6.395,PurpleThrewBall,2,1,3,3,0.0
18,6.512,HitBlue,2,1,2,3,0.0
19,6.616,BlueThrewBall,1,1,2,3,0.0
20,6.736,PurplePickedUpBall,1,2,2,3,0.0
21,7.379,BlueThrewBall,0,2,2,3,0.0
22,7.884,PurplePickedUpBall,0,3,2,3,0.0
23,8.26,PurpleThrewBall,0,2,2,3,0.0
24,8.402,HitBlue,0,2,1,3,0.0
25,9.264,PurpleThrewBall,0,1,1,3,0.0
26,10.259,PurpleThrewBall,0,0,1,3,0.0
27,10.349,BluePickedUpBall,1,0,1,3,0.0
28,11.134,BluePickedUpBall,2,0,1,3,0.0
29,12.041,BlueThrewBall,1,0,1,3,0.0
30,12.96,BlueThrewBall,0,0,1,3,0.0
31,14.563,BluePickedUpBall,1,0,1,3,0.0
32,15.959,BlueThrewBall,0,0,1,3,0.0
33,17.307,PurplePickedUpBall,0,1,1,3,0.0
34,17.791,PurpleThrewBall,0,0,1,3,0.0
35,17.879,PurplePickedUpBall,0,1,1,3,0.0
36,18.173,BluePickedUpBall,1,1,1,3,0.0
37,19.126,PurplePickedUpBall,1,2,1,3,0.0
38,19.326,PurpleThrewBall,1,1,1,3,0.0
39,19.427,BluePickedUpBall,2,1,1,3,0.0
40,19.613,PurplePickedUpBall,2,2,1,3,0.0
41,19.638,BluePickedUpBall,3,2,1,3,0.0
42,21.01,BlueThrewBall,2,2,1,3,0.0
43,21.324,PurpleThrewBall,2,1,1,3,0.0
44,22.192,PurplePickedUpBall,2,2,1,3,0.0
45,23.324,PurpleThrewBall,2,1,1,3,0.0
46,23.797,BlueThrewBall,1,1,1,3,0.0
47,23.99,PurpleThrewBall,1,0,1,3,0.0
48,24.907,PurplePickedUpBall,1,1,1,3,0.0
49,24.932,BluePickedUpBall,2,1,1,3,0.0
50,25.094,BluePickedUpBall,3,1,1,3,0.0
51,25.659,BlueThrewBall,2,1,1,3,0.0
52,25.723,HitPurple,2,1,1,2,0.0
53,25.894,PurplePickedUpBall,2,2,1,2,0.0
54,25.924,PurpleThrewBall,2,1,1,2,0.0
55,26.147,PurplePickedUpBall,2,2,1,2,0.0
56,26.455,PurpleThrewBall,2,1,1,2,0.0
57,26.724,PurpleThrewBall,2,0,1,2,0.0
58,26.893,PurplePickedUpBall,2,1,1,2,0.0
59,26.987,PurpleThrewBall,2,0,1,2,0.0
60,27.359,BlueThrewBall,1,0,1,2,0.0
61,28.12,BluePickedUpBall,2,0,1,2,0.0
62,28.289,BlueThrewBall,1,0,1,2,0.0
63,28.79,PurplePickedUpBall,1,1,1,2,0.0
64,29.188,BlueThrewBall,0,1,1,2,0.0
65,29.256,HitPurple,0,1,1,1,0.0
66,29.854,PurpleThrewBall,0,0,1,1,0.0
67,31.396,BluePickedUpBall,1,0,1,1,0.0
68,33.409,PurplePickedUpBall,1,1,1,1,0.0
69,34.395,PurplePickedUpBall,1,2,1,1,0.0
70,34.479,BlueThrewBall,0,2,1,1,0.0
71,34.875,PurplePickedUpBall,0,3,1,1,0.0
72,36.277,PurplePickedUpBall,0,4,1,1,0.0
73,36.489,BluePickedUpBall,1,4,1,1,0.0
74,37.037,BluePickedUpBall,2,4,1,1,0.0
75,38.741,BlueThrewBall,1,4,1,1,0.0
76,39.253,PurpleThrewBall,1,3,1,1,0.0
77,39.301,PurplePickedUpBall,1,4,1,1,0.0
78,39.518,PurpleThrewBall,1,3,1,1,0.0
79,39.789,PurpleThrewBall,1,2,1,1,0.0
80,40.053,PurpleThrewBall,1,1,1,1,0.0
81,40.12,PurplePickedUpBall,1,2,1,1,0.0
82,41.22,BlueThrewBall,0,2,1,1,0.0
83,41.46,PurplePickedUpBall,0,3,1,1,0.0
84,41.585,PurpleThrewBall,0,2,1,1,0.0
85,41.62,PurplePickedUpBall,0,3,1,1,0.0
86,42.251,PurpleThrewBall,0,2,1,1,0.0
87,42.474,PurplePickedUpBall,0,3,1,1,0.0
88,42.92,PurpleThrewBall,0,2,1,1,0.0
89,42.941,HitBlue,0,2,0,1,0.0
90,42.947,GameEnd,0,2,0,1,0.0
91,43.221,PurplePickedUpBall,0,3,0,1,0.0
92,44.942,WinScreenStart,0,3,0,1,0.0
93,45.151,PurpleThrewBall,0,2,0,1,0.0
94,45.418,PurpleThrewBall,0,1,0,1,0.0
95,45.946,ResetScene,0,0,3,3,0.0
96,50.464,PurplePickedUpBall,0,1,3,3,0.0
97,50.764,BluePickedUpBall,1,1,3,3,0.0
98,50.809,BluePickedUpBall,2,1,3,3,0.0
99,51.008,PurplePickedUpBall,2,2,3,3,0.0
100,51.01,BluePickedUpBall,3,2,3,3,0.0
101,51.447,BluePickedUpBall,4,2,3,3,0.0
102,52.074,BlueThrewBall,3,2,3,3,0.0
103,52.298,PurpleThrewBall,3,1,3,3,0.0
104,52.381,PurplePickedUpBall,3,2,3,3,0.0
105,53.231,PurpleThrewBall,3,1,3,3,0.0
106,53.765,BluePickedUpBall,4,1,3,3,0.0
107,54.1,PurplePickedUpBall,4,2,3,3,0.0
108,54.329,PurplePickedUpBall,4,3,3,3,0.0
109,54.42,PurplePickedUpBall,4,4,3,3,0.0
110,54.499,BlueThrewBall,3,4,3,3,0.0
111,55.166,PurpleThrewBall,3,3,3,3,0.0
112,55.246,BlueThrewBall,2,3,3,3,0.0
113,55.566,PurpleThrewBall,2,2,3,3,0.0
114,55.685,HitBlue,2,2,2,3,0.0
115,56.163,PurpleThrewBall,2,1,2,3,0.0
116,56.432,PurpleThrewBall,2,0,2,3,0.0
117,56.484,BlueThrewBall,1,0,2,3,0.0
118,57.936,BlueThrewBall,0,0,2,3,0.0
119,58.95,BluePickedUpBall,1,0,2,3,0.0
120,59.94,BlueThrewBall,0,0,2,3,0.0
121,61.403,PurplePickedUpBall,0,1,2,3,0.0
122,61.697,BluePickedUpBall,1,1,2,3,0.0
123,61.871,PurplePickedUpBall,1,2,2,3,0.0
124,62.23,PurpleThrewBall,1,1,2,3,0.0
125,62.573,PurplePickedUpBall,1,2,2,3,0.0
126,63.202,BlueThrewBall,0,2,2,3,0.0
127,63.273,HitPurple,0,2,2,2,0.0
128,63.296,PurpleThrewBall,0,1,2,2,0.0
129,64.215,BluePickedUpBall,1,1,2,2,0.0
130,64.296,PurpleThrewBall,1,0,2,2,0.0
131,66.963,BlueThrewBall,0,0,2,2,0.0
132,69.695,BluePickedUpBall,1,0,2,2,0.0
133,70.909,BlueThrewBall,0,0,2,2,0.0
134,72.678,BluePickedUpBall,1,0,2,2,0.0
135,73.817,BluePickedUpBall,2,0,2,2,0.0
136,74.643,PurplePickedUpBall,2,1,2,2,0.0
137,74.88,BluePickedUpBall,3,1,2,2,0.0
138,75.361,PurpleThrewBall,3,0,2,2,0.0
139,75.461,HitBlue,3,0,1,2,0.0
140,75.841,PurplePickedUpBall,3,1,1,2,0.0
141,75.963,PurpleThrewBall,3,0,1,2,0.0
142,76.624,BlueThrewBall,2,0,1,2,0.0
143,77.399,BluePickedUpBall,3,0,1,2,0.0
144,77.694,BluePickedUpBall,4,0,1,2,0.0
145,78.694,BlueThrewBall,3,0,1,2,0.0
146,78.814,PurplePickedUpBall,3,1,1,2,0.0
147,79.497,PurplePickedUpBall,3,2,1,2,0.0
148,79.599,BlueThrewBall,2,2,1,2,0.0
149,80.096,PurpleThrewBall,2,1,1,2,0.0
150,80.824,PurpleThrewBall,2,0,1,2,0.0
151,81.544,PurplePickedUpBall,2,1,1,2,0.0
152,82.16,PurpleThrewBall,2,0,1,2,0.0
153,83.039,BlueThrewBall,1,0,1,2,0.0
154,85.826,BluePickedUpBall,2,0,1,2,0.0
155,88.439,BlueThrewBall,1,0,1,2,0.0
156,89.571,BlueThrewBall,0,0,1,2,0.0
157,91.173,PurplePickedUpBall,0,1,1,2,0.0
158,93.411,BluePickedUpBall,1,1,1,2,0.0
159,93.596,BluePickedUpBall,2,1,1,2,0.0
160,94.191,BluePickedUpBall,3,1,1,2,0.0
161,94.826,PurplePickedUpBall,3,2,1,2,0.0
162,95.292,PurpleThrewBall,3,1,1,2,0.0
163,95.307,PurplePickedUpBall,3,2,1,2,0.0
164,95.328,PurplePickedUpBall,3,3,1,2,0.0
165,95.36,PurplePickedUpBall,3,4,1,2,0.0
166,95.557,PurpleThrewBall,3,3,1,2,2.0
167,96.305,PurplePickedUpBall,3,4,1,2,0.0
168,96.688,PurpleThrewBall,3,3,1,2,0.0
169,97.058,PurplePickedUpBall,3,4,1,2,0.0
170,97.225,PurpleThrewBall,3,3,1,2,0.0
171,97.76,PurpleThrewBall,3,2,1,2,0.0
172,98.996,PurplePickedUpBall,3,3,1,2,0.0
173,99.323,BlueThrewBall,2,3,1,2,0.0
174,99.358,PurpleThrewBall,2,2,1,2,0.0
175,99.454,HitPurple,2,2,1,1,0.0
176,99.838,PurplePickedUpBall,2,3,1,1,0.0
177,100.129,BluePickedUpBall,3,3,1,1,0.0
178,100.224,PurpleThrewBall,3,2,1,1,0.0
179,100.621,PurpleThrewBall,3,1,1,1,0.0
180,100.66,BlueThrewBall,2,1,1,1,0.0
181,100.727,HitBlue,2,1,0,1,0.0
182,100.731,GameEnd,0,1,0,1,0.0
183,101.343,PurpleThrewBall,0,0,0,1,0.0
184,102.729,WinScreenStart,0,0,0,1,0.0
185,103.076,PurplePickedUpBall,0,1,0,1,0.0
