Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
13:43:25.382,(16,-24),180,(15.09844,-69.12617),353.4012
13:43:26.471,(16,-23.69672),180,(15.04106,-69.11098),355.9332
13:43:26.577,(16,-22.69458),180,(14.54354,-68.98413),343.796
13:43:26.670,(15.99999,-22.05865),180,(14.03887,-68.70641),338.2381
13:43:26.789,(15.99998,-21.68467),180,(13.3583,-68.28687),324.1221
13:43:26.875,(15.99996,-21.5907),180,(12.81685,-67.96313),318.5901
13:43:26.997,(15.99995,-21.58636),180,(12.16208,-67.64124),303.7937
13:43:27.067,(15.99994,-21.58631),180,(11.65869,-67.49686),299.5281
13:43:27.169,(15.99993,-21.58625),180,(11.0026,-67.50363),290.7303
13:43:27.268,(15.99992,-21.5862),180,(10.46512,-67.70885),287.8643
13:43:27.370,(15.99991,-21.58614),182.971,(9.848236,-68.03107),277.067
13:43:27.469,(15.9999,-21.58609),186.4,(9.386713,-68.42346),275.534
13:43:27.572,(15.99988,-21.58603),186,(9.19295,-68.92448),264.7366
13:43:27.669,(15.96221,-21.95672),185.8,(9.255063,-69.50333),263.2036
13:43:27.773,(15.86263,-22.93675),185.8,(9.267235,-70.13445),250.4068
13:43:27.867,(15.80158,-23.53764),185.8,(9.312628,-70.73412),250.2068
13:43:27.980,(15.76262,-23.92089),185.8,(9.46619,-71.5162),242.8086
13:43:28.066,(15.75317,-24.0138),185.8,(9.545561,-72.05252),239.2095
13:43:28.182,(15.66426,-24.88881),185.8,(9.577164,-72.81873),229.1454
13:43:28.276,(15.58461,-25.67269),185.8,(9.699404,-73.01051),226.2794
13:43:28.371,(15.53679,-26.14334),185.8,(9.521563,-73.04823),255.4054
13:43:28.466,(16.31005,-26.5098),185.8,(9.328042,-73.10562),250.54
13:43:28.577,(17.29939,-26.81474),185.8,(9.408196,-73.08165),261.0707
13:43:28.682,(18.17149,-27.02744),185.8,(9.27212,-73.17733),257.6049
13:43:28.781,(18.64192,-27.13963),185.8,(9.154467,-73.08749),266.1362
13:43:28.876,(18.82881,-27.18417),185.8,(9.20007,-73.2153),263.2702
13:43:28.982,(18.87565,-27.1953),185.8,(9.172989,-73.20299),272.4678
13:43:29.078,(18.87565,-27.19526),185.8,(9.148529,-73.24386),269.6019
13:43:29.177,(18.86309,-27.31879),185.8,(9.243807,-73.17583),256.0719
13:43:29.270,(18.77522,-28.1838),185.8,(9.333483,-73.13274),255.2054
13:43:29.380,(18.68414,-29.08025),185.8,(9.455111,-73.09743),245.1412
13:43:29.487,(18.02979,-29.39945),185.8,(9.400328,-73.06672),242.2752
13:43:29.570,(17.14504,-29.56822),185.8,(9.502586,-73.06834),230.7447
13:43:29.696,(16.10519,-29.6484),185.8,(9.51276,-73.04159),228.6119
13:43:29.779,(15.39812,-29.6776),185.8,(9.628174,-73.07602),217.0814
13:43:29.869,(15.00933,-29.69363),185.8,(9.824102,-73.07492),212.2159
13:43:29.983,(14.77483,-29.93141),185.8,(10.29294,-73.11779),204.8177
13:43:30.079,(14.6138,-30.78555),185.8,(10.70681,-73.12949),199.2858
13:43:30.178,(14.49542,-31.25478),185.8,(11.17643,-73.0993),209.7498
13:43:30.275,(14.53576,-30.69433),185.8,(11.59446,-73.08842),207.617
13:43:30.373,(14.56965,-30.31942),185.8,(12.08222,-73.13869),198.086
13:43:30.482,(14.59012,-30.09288),185.8,(12.65976,-73.17566),193.9538
13:43:30.582,(15.63802,-30.11782),185.8,(13.0815,-73.11098),206.4839
13:43:30.673,(16.57696,-30.08423),185.8,(13.60833,-73.11722),204.951
13:43:30.768,(17.50092,-30.05676),185.8,(14.15143,-73.08424),215.4151
13:43:30.879,(18.40963,-30.06635),185.8,(14.62863,-73.08453),215.2817
13:43:30.976,(18.88245,-30.07447),185.8,(15.01457,-73.10174),202.4183
13:43:31.081,(19.14167,-30.07891),185.8,(15.59143,-73.13243),201.6184
13:43:31.181,(19.20383,-30.07994),185.8,(16.23746,-73.1923),190.8211
13:43:31.277,(19.84514,-30.14505),185.8,(16.67722,-73.26614),179.424
13:43:31.369,(20.7528,-30.23722),185.8,(17.04811,-73.10397),151.6309
13:43:31.484,(21.78472,-30.34204),185.8,(17.59055,-73.07443),135.7683
13:43:31.583,(22.72433,-30.62786),185.8,(18.20987,-73.07),133.2356
13:43:31.679,(23.21818,-31.29382),185.8,(18.81318,-73.0396),118.7725
13:43:31.789,(23.5008,-32.23732),185.8,(19.54245,-72.50521),100.2438
13:43:31.869,(23.59805,-32.97437),185.8,(20.01829,-72.03426),85.18089
13:43:31.968,(23.63811,-33.96623),185.8,(20.59771,-71.55668),82.64822
13:43:32.081,(23.61728,-34.9594),185.8,(21.13491,-70.82677),88.11354
13:43:32.175,(23.57021,-35.82753),185.8,(21.57737,-70.07796),67.652
13:43:32.270,(23.5072,-36.6947),185.8,(21.90218,-69.29331),53.85548
13:43:32.381,(23.41253,-37.80858),185.8,(22.20232,-68.31983),28.60788
13:43:32.478,(23.33268,-38.67439),185.8,(22.46546,-67.57944),30.85685
13:43:32.573,(23.24935,-39.54387),185.8,(22.68312,-66.75291),23.0814
13:43:32.673,(23.15097,-40.5486),185.8,(22.9967,-66.18945),6.568456
13:43:32.771,(23.06381,-41.42765),185.8,(23.32591,-65.59554),9.435137
13:43:32.867,(22.97602,-42.30661),185.8,(23.84244,-65.07186),357.3744
13:43:32.979,(22.86258,-43.4367),185.6,(24.36746,-64.25764),356.0095
13:43:33.075,(22.77486,-44.31565),185.6,(24.55899,-63.45753),359.9826
13:43:33.170,(22.79495,-42.96148),185.6,(24.56506,-62.72452),359.5164
13:43:33.267,(22.8457,-41.44841),185.6,(24.70074,-62.01725),352.1183
