Timestamp,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
15:52:33.018,Init,0,3,3,0
15:52:33.018,ResetScene,0,0,3,3,0
15:52:37.465,S,0,0,3,3,0
15:52:38.772,BluePickedUpBall,1,0,3,3,0
15:52:39.221,BluePickedUpBall,2,0,3,3,0
15:52:39.763,BluePickedUpBall,3,0,3,3,0
15:52:40.477,PurplePickedUpBall,3,1,3,3,0
15:52:40.925,PurpleThrewBall,3,0,3,3,0
15:52:41.045,PurplePickedUpBall,3,1,3,3,0
15:52:41.133,HitBlue,3,1,2,3,0
15:52:48.518,PurpleThrewBall,3,0,2,3,0
15:52:48.584,HitBlue,3,0,1,3,0
15:52:49.922,BlueThrewBall,2,0,1,3,0
15:52:50.663,PurplePickedUpBall,2,1,1,3,0
15:52:52.289,BlueThrewBall,1,1,1,3,0
15:52:53.992,PurplePickedUpBall,1,2,1,3,0
15:52:54.781,BlueThrewBall,0,2,1,3,0
15:52:57.244,BluePickedUpBall,1,2,1,3,0
15:52:57.287,PurpleThrewBall,1,1,1,3,0
15:52:57.364,HitBlue,1,1,0,3,0
15:52:57.385,GameEnd,0,1,0,3,0
15:52:57.895,PurplePickedUpBall,0,2,0,3,0
15:52:57.975,PurpleThrewBall,0,1,0,3,0
15:52:59.367,WinScreenStart,0,1,0,3,0
15:52:59.616,PurplePickedUpBall,0,2,0,3,0
15:53:00.483,ResetScene,0,0,3,3,0
15:53:06.081,BluePickedUpBall,1,0,3,3,0
15:53:06.336,PurplePickedUpBall,1,1,3,3,0
15:53:06.375,PurpleThrewBall,1,0,3,3,0
15:53:07.464,BluePickedUpBall,2,0,3,3,0
15:53:10.787,PurplePickedUpBall,2,1,3,3,0
15:53:10.947,BluePickedUpBall,3,1,3,3,0
15:53:11.727,PurpleThrewBall,3,0,3,3,0
15:53:11.880,HitBlue,3,0,2,3,0
15:53:14.250,PurplePickedUpBall,3,1,2,3,0
15:53:14.362,BluePickedUpBall,4,1,2,3,0
15:53:18.581,PurpleThrewBall,4,0,2,3,0
15:53:22.224,PurplePickedUpBall,4,1,2,3,0
15:53:26.345,PurpleThrewBall,4,0,2,3,0
15:53:26.479,HitBlue,4,0,1,3,0
15:53:28.241,PurplePickedUpBall,4,1,1,3,0
15:53:29.173,BlueThrewBall,3,1,1,3,0
15:53:30.609,BlueThrewBall,2,1,1,3,0
15:53:30.772,HitPurple,2,1,1,2,0
15:53:30.959,BlueThrewBall,1,1,1,2,0
15:53:31.179,HitPurple,1,1,1,1,4
15:53:31.362,BlueThrewBall,0,1,1,1,0
15:53:31.478,PurpleThrewBall,0,0,1,1,0
15:53:31.675,HitBlue,0,0,0,1,0
15:53:31.684,GameEnd,0,0,0,1,0
15:53:31.732,PurplePickedUpBall,0,1,0,1,0
15:53:33.379,PurplePickedUpBall,0,2,0,1,0
15:53:33.717,WinScreenStart,0,2,0,1,0
15:53:34.743,ResetScene,0,0,3,3,0
15:53:41.793,BluePickedUpBall,1,0,3,3,0
15:53:41.915,PurplePickedUpBall,1,1,3,3,0
15:53:43.922,PurplePickedUpBall,1,2,3,3,0
15:53:44.868,PurpleThrewBall,1,1,3,3,0
15:53:45.098,BluePickedUpBall,2,1,3,3,0
15:53:45.310,PurpleThrewBall,2,0,3,3,0
15:53:46.713,PurplePickedUpBall,2,1,3,3,0
15:53:47.248,PurpleThrewBall,2,0,3,3,0
15:53:47.290,HitBlue,2,0,2,3,0
15:53:47.328,BluePickedUpBall,3,0,2,3,0
15:53:49.614,PurplePickedUpBall,3,1,2,3,0
15:53:49.659,BluePickedUpBall,4,1,2,3,0
15:53:49.997,PurpleThrewBall,4,0,2,3,0
15:53:50.009,HitBlue,4,0,1,3,0
15:53:54.011,PurplePickedUpBall,4,1,1,3,0
15:53:59.007,PurplePickedUpBall,4,2,1,3,0
15:53:59.128,PurpleThrewBall,4,1,1,3,0
15:53:59.492,PurpleThrewBall,4,0,1,3,0
15:53:59.662,BlueThrewBall,3,0,1,3,0
15:54:01.563,BlueThrewBall,2,0,1,3,0
15:54:02.784,PurplePickedUpBall,2,1,1,3,0
15:54:03.696,PurpleThrewBall,2,0,1,3,0
15:54:05.330,PurplePickedUpBall,2,1,1,3,0
15:54:05.572,BluePickedUpBall,3,1,1,3,0
15:54:06.060,BluePickedUpBall,4,1,1,3,0
15:54:07.264,BlueThrewBall,3,1,1,3,0
15:54:07.998,BlueThrewBall,2,1,1,3,0
15:54:09.393,BluePickedUpBall,3,1,1,3,0
15:54:09.834,PurpleThrewBall,3,0,1,3,0
15:54:09.841,HitBlue,3,0,0,3,0
15:54:09.851,GameEnd,0,0,0,3,0
15:54:09.909,PurplePickedUpBall,0,1,0,3,0
15:54:10.272,PurplePickedUpBall,0,2,0,3,0
15:54:11.780,PurpleThrewBall,0,1,0,3,0
15:54:11.871,WinScreenStart,0,1,0,3,0
15:54:12.179,PurpleThrewBall,0,0,0,3,0
