Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
14:47:18.667,(16,-24),181.8571,(15.10385,-68.99017),352.7346
14:47:20.841,(16.12452,-23.70075),202.5929,(15.09952,-69.03357),352.5993
14:47:20.936,(16.46214,-22.88942),202.5929,(14.77048,-68.65669),341.7868
14:47:21.041,(16.68171,-22.3617),202.5929,(14.21269,-68.36436),338.9526
14:47:21.143,(16.82338,-22.02128),202.5929,(13.62638,-68.03271),326.0998
14:47:21.233,(16.90542,-21.82416),202.5929,(13.06919,-67.85812),321.9008
14:47:21.325,(16.96133,-21.68982),202.5929,(12.48081,-67.65053),305.0383
14:47:21.445,(17.00376,-21.59225),202.5929,(11.82085,-67.37711),322.9005
14:47:21.542,(16.69049,-22.41088),202.5929,(11.16478,-67.2379),314.7692
14:47:21.712,(16.42723,-23.25221),202.5929,(10.57222,-67.23744),310.5703
14:47:21.745,(16.48929,-24.27796),202.5929,(9.846468,-67.23291),295.7739
14:47:21.846,(16.80632,-25.11725),202.5928,(9.220293,-67.25511),291.5748
14:47:21.925,(17.4291,-25.68613),119.4095,(9.263456,-67.42993),281.3774
14:47:22.043,(18.39587,-25.42883),102.8452,(9.558949,-67.41707),292.5745
14:47:22.119,(19.04863,-24.81312),98.99271,(9.763964,-67.12167),278.378
14:47:22.243,(19.59979,-23.93713),98.74265,(9.547144,-67.15308),274.2457
14:47:22.467,(20.00517,-22.98569),98.69274,(9.336329,-67.12666),304.1049
14:47:22.477,(20.24437,-22.24153),98.693,(9.346418,-66.8851),320.5008
14:47:22.561,(20.58422,-21.47466),108.3429,(9.346692,-66.72639),313.7025
14:47:22.659,(21.47617,-21.57376),108.9429,(9.362151,-66.86446),310.2366
14:47:22.776,(22.44683,-21.57376),108.9428,(9.327031,-67.14653),301.4388
14:47:22.891,(23.30741,-21.59775),113.7922,(9.579295,-67.06551),313.2359
