Timestamp,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
15:23:53.440,Init,0,3,3,0
15:23:53.440,ResetScene,0,0,3,3,0
15:23:57.539,S,0,0,3,3,0
15:23:58.215,BluePickedUpBall,1,0,3,3,0
15:23:58.776,BluePickedUpBall,2,0,3,3,0
15:23:59.043,BluePickedUpBall,3,0,3,3,0
15:23:59.313,BluePickedUpBall,4,0,3,3,0
15:23:59.548,PurplePickedUpBall,4,1,3,3,0
15:24:00.056,PurplePickedUpBall,4,2,3,3,0
15:24:00.428,PurplePickedUpBall,4,3,3,3,0
15:24:00.540,PurpleThrewBall,4,2,3,3,0
15:24:00.695,PurplePickedUpBall,4,3,3,3,0
15:24:01.142,BlueThrewBall,3,3,3,3,0
15:24:01.760,PurplePickedUpBall,3,4,3,3,0
15:24:02.405,BlueThrewBall,2,4,3,3,0
15:24:02.470,PurpleThrewBall,2,3,3,3,0
15:24:02.616,PurplePickedUpBall,2,4,3,3,0
15:24:03.075,PurpleThrewBall,2,3,3,3,0
15:24:03.094,PurplePickedUpBall,2,4,3,3,0
15:24:03.548,BlueThrewBall,1,4,3,3,0
15:24:04.909,BlueThrewBall,0,4,3,3,0
15:24:04.938,PurpleThrewBall,0,3,3,3,0
15:24:05.018,HitBlue,0,3,2,3,0
15:24:05.205,PurpleThrewBall,0,2,2,3,0
15:24:05.470,PurpleThrewBall,0,1,2,3,0
15:24:05.574,HitBlue,0,1,1,3,0
15:24:05.641,BluePickedUpBall,1,1,1,3,0
15:24:05.806,PurpleThrewBall,1,0,1,3,0
15:24:07.404,BlueThrewBall,0,0,1,3,0
15:24:08.654,BluePickedUpBall,1,0,1,3,0
15:24:09.192,PurplePickedUpBall,1,1,1,3,0
15:24:09.603,PurpleThrewBall,1,0,1,3,0
15:24:09.681,HitBlue,1,0,0,3,0
15:24:09.687,GameEnd,0,0,0,3,0
15:24:10.839,PurplePickedUpBall,0,1,0,3,0
15:24:11.293,PurpleThrewBall,0,0,0,3,0
15:24:11.682,WinScreenStart,0,0,0,3,0
15:24:12.684,ResetScene,0,0,3,3,0
15:24:17.678,BluePickedUpBall,1,0,3,3,0
15:24:18.258,BluePickedUpBall,2,0,3,3,0
15:24:18.980,BluePickedUpBall,3,0,3,3,0
15:24:19.617,BlueThrewBall,2,0,3,3,0
15:24:20.166,BlueThrewBall,1,0,3,3,0
15:24:21.750,BluePickedUpBall,2,0,3,3,0
15:24:22.416,BlueThrewBall,1,0,3,3,0
15:24:23.151,BlueThrewBall,0,0,3,3,0
15:24:23.363,PurplePickedUpBall,0,1,3,3,0
15:24:23.430,PurpleThrewBall,0,0,3,3,0
15:24:23.485,HitBlue,0,0,2,3,0
15:24:23.817,PurplePickedUpBall,0,1,2,3,0
15:24:25.077,PurplePickedUpBall,0,2,2,3,0
15:24:25.500,PurpleThrewBall,0,1,2,3,0
15:24:26.830,PurpleThrewBall,0,0,2,3,0
15:24:27.476,PurplePickedUpBall,0,1,2,3,0
15:24:27.499,PurpleThrewBall,0,0,2,3,0
15:24:27.544,HitBlue,0,0,1,3,0
15:24:27.616,BluePickedUpBall,1,0,1,3,0
15:24:28.016,PurplePickedUpBall,1,1,1,3,0
15:24:28.030,PurpleThrewBall,1,0,1,3,0
15:24:28.043,HitBlue,1,0,0,3,0
15:24:28.045,GameEnd,0,0,0,3,0
15:24:29.375,PurplePickedUpBall,0,1,0,3,0
15:24:30.046,WinScreenStart,0,1,0,3,0
15:24:30.751,PurplePickedUpBall,0,2,0,3,0
15:24:31.046,ResetScene,0,0,3,3,0
15:24:36.134,BluePickedUpBall,1,0,3,3,0
15:24:36.999,BluePickedUpBall,2,0,3,3,0
15:24:37.050,BluePickedUpBall,3,0,3,3,0
15:24:37.666,BluePickedUpBall,4,0,3,3,0
15:24:38.997,BlueThrewBall,3,0,3,3,0
15:24:40.132,BlueThrewBall,2,0,3,3,0
15:24:40.615,PurplePickedUpBall,2,1,3,3,0
15:24:40.797,BlueThrewBall,1,1,3,3,0
15:24:40.890,PurplePickedUpBall,1,2,3,3,0
15:24:41.131,PurpleThrewBall,1,1,3,3,0
15:24:41.183,BlueThrewBall,0,1,3,3,0
15:24:41.395,PurpleThrewBall,0,0,3,3,0
15:24:44.251,BluePickedUpBall,1,0,3,3,0
15:24:44.371,BluePickedUpBall,2,0,3,3,0
15:24:44.548,BlueThrewBall,1,0,3,3,0
15:24:45.012,BlueThrewBall,0,0,3,3,0
15:24:45.049,HitPurple,0,0,3,2,0
15:24:45.116,PurplePickedUpBall,0,1,3,2,0
15:24:45.127,PurpleThrewBall,0,0,3,2,0
15:24:45.148,BluePickedUpBall,1,0,3,2,0
15:24:45.652,PurplePickedUpBall,1,1,3,2,0
15:24:45.665,PurpleThrewBall,1,0,3,2,0
15:24:45.796,BluePickedUpBall,2,0,3,2,0
15:24:45.917,PurplePickedUpBall,2,1,3,2,0
15:24:45.929,PurpleThrewBall,2,0,3,2,0
15:24:46.155,BlueThrewBall,1,0,3,2,0
15:24:46.157,HitPurple,1,0,3,1,0
15:24:47.148,BluePickedUpBall,2,0,3,1,0
15:24:47.728,BlueThrewBall,1,0,3,1,0
15:24:48.515,BlueThrewBall,0,0,3,1,0
15:24:50.104,BluePickedUpBall,1,0,3,1,0
15:24:50.702,BlueThrewBall,0,0,3,1,0
15:24:51.169,PurplePickedUpBall,0,1,3,1,0
15:24:51.196,PurpleThrewBall,0,0,3,1,0
15:24:51.198,HitBlue,0,0,2,1,0
15:24:51.199,BluePickedUpBall,1,0,2,1,0
15:24:52.556,BlueThrewBall,0,0,2,1,0
15:24:52.574,HitPurple,0,0,2,0,0
15:24:52.577,GameEnd,0,0,2,0,0
15:24:53.100,BluePickedUpBall,1,0,2,0,0
15:24:54.060,BlueThrewBall,0,0,2,0,0
15:24:54.572,WinScreenStart,0,0,2,0,0
15:24:55.572,ResetScene,0,0,3,3,0
15:24:59.934,PurplePickedUpBall,0,1,3,3,0
15:25:00.308,BluePickedUpBall,1,1,3,3,0
