Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
13:34:11.512,(16,8.66),180,(15.99935,-35.02332),358.8911
13:34:13.419,(16.01678,9.037598),187.999,(17.0499,-34.28553),7.147233
13:34:13.519,(16.08061,9.895801),189.5,(18.42405,-33.11934),353.5648
13:34:13.612,(16.13359,10.4973),189.5,(19.2783,-32.39442),337.3752
13:34:13.718,(16.16505,10.85457),191.499,(19.83459,-31.79048),328.7064
13:34:13.826,(16.1761,10.98),197.5,(19.76137,-31.06434),308.0944
13:34:13.931,(16.17659,10.98556),197.5,(18.87053,-31.25574),291.916
13:34:14.019,(16.17658,10.98562),197,(18.38148,-31.8035),282.5722
13:34:14.119,(16.17657,10.98567),187.5238,(18.30007,-32.6664),268.1816
13:34:14.217,(16.17655,10.98572),187,(18.3245,-33.45958),280.1738
13:34:14.318,(16.17654,10.98577),117.3918,(18.19193,-34.23413),295.0709
13:34:14.425,(16.17652,10.98583),45.04744,(17.72265,-33.63029),307.7572
13:34:14.518,(16.17651,10.98588),18.62288,(17.54416,-32.54168),314.2132
13:34:14.616,(16.1765,10.98593),353.9998,(17.492,-30.94905),307.8472
13:34:14.724,(16.17648,10.98599),53.88465,(17.48978,-30.75645),303.1153
13:34:14.826,(16.17647,10.98605),313.3412,(17.47513,-30.67945),300.7641
13:34:14.924,(16.17645,10.98609),79.92448,(17.46198,-30.51706),317.3506
13:34:15.022,(16.17644,10.98615),104.4999,(17.65401,-29.64569),331.9417
13:34:15.119,(16.17642,10.9862),72.84318,(17.90272,-28.78689),315.6775
13:34:15.221,(16.17641,10.98626),347.1666,(18.09244,-27.81342),305.9213
13:34:15.317,(16.17639,10.9863),326.9999,(18.15592,-26.92634),318.8221
13:34:15.426,(16.17638,10.98637),326.4999,(18.09273,-25.95449),312.6441
13:34:15.517,(16.17636,10.98642),324.5009,(18.05148,-25.09421),298.1175
13:34:15.621,(16.17635,10.98648),32.70619,(18.09854,-23.16002),286.9716
13:34:15.723,(16.17634,10.98653),136.3332,(18.37226,-22.00494),284.0464
13:34:15.824,(16.17633,10.98659),168.4722,(18.5079,-21.32643),289.02
13:34:15.929,(16.17631,10.98665),182.4999,(18.74999,-20.86051),306.0564
13:34:16.021,(16.17631,10.98671),182.4999,(19.56874,-20.80152),303.3448
13:34:16.123,(16.17631,10.98676),181.0952,(20.09677,-20.23237),315.1749
13:34:16.219,(16.17629,10.98682),121.0059,(20.47626,-19.31121),315.4898
13:34:16.321,(16.17628,10.98687),103.9999,(20.67286,-18.45774),299.1206
13:34:16.423,(16.17626,10.98693),103.9999,(20.4997,-17.53374),280.9468
13:34:16.521,(16.17625,10.98699),103.9999,(20.16939,-16.71897),276.9712
13:34:16.611,(16.53157,10.87547),123.4731,(19.74043,-15.9594),255.9649
13:34:16.722,(17.42875,10.46489),141.9999,(18.76345,-15.46015),231.9551
13:34:16.821,(18.22646,9.879146),141.9999,(17.16677,-15.50271),210.0831
13:34:16.921,(18.86282,9.288212),141.9999,(16.28118,-15.53799),206.3264
13:34:17.014,(19.45807,8.655501),156.2846,(15.48918,-15.78657),185.774
13:34:17.143,(19.99471,7.716709),241.3967,(14.63386,-16.36707),159.078
13:34:17.219,(19.88054,7.049044),283.9523,(14.61545,-16.88551),138.0695
13:34:17.326,(19.77863,6.66948),284.4999,(15.25425,-17.03641),118.8777
13:34:17.414,(19.73064,6.490818),284.4999,(15.85595,-16.80523),97.86954
13:34:17.524,(19.71926,6.448486),245.0515,(16.68456,-16.24301),73.85996
13:34:17.615,(19.71926,6.448534),198.5982,(17.27824,-15.61702),52.85159
13:34:17.724,(19.71926,6.448584),139.5009,(17.86321,-14.84031),32.96181
13:34:17.818,(19.71926,6.448632),133.4999,(19.58425,-14.16268),26.46095
13:34:17.917,(19.71926,6.448676),133.0237,(20.85934,-13.66512),5.452526
13:34:18.022,(19.71926,6.448727),145.9037,(21.52203,-13.08053),341.443
13:34:18.122,(19.71926,6.44877),188.9969,(21.25569,-12.28224),326.5113
13:34:18.231,(19.71926,6.448824),215.999,(20.54439,-11.61235),317.6388
13:34:18.329,(19.18995,5.759032),217.4999,(19.67818,-11.16381),297.6444
13:34:18.419,(18.8524,5.319146),217.4999,(18.95376,-10.69341),287.3344
13:34:18.515,(18.70801,5.131011),217.4999,(18.28966,-10.29891),269.1641
13:34:18.618,(18.06866,5.479992),217.4999,(17.54941,-10.6013),254.7126
13:34:18.719,(17.46285,5.870663),216.0476,(16.98492,-11.14565),252.6004
13:34:18.820,(17.09752,6.106277),208.0009,(16.43883,-11.94979),235.405
13:34:18.917,(17.55178,5.902156),206.5,(16.09828,-14.03149),223.1585
13:34:19.020,(18.45241,5.468086),206.5,(15.85115,-15.78012),211.5598
13:34:19.126,(19.25313,5.074829),208,(15.72499,-16.71109),191.3298
13:34:19.229,(20.21416,4.587131),202.5714,(15.675,-17.66639),190.6549
13:34:19.327,(20.95251,4.206635),194.5,(15.58301,-18.53123),175.8365
13:34:19.417,(21.42248,3.964462),194.5,(15.61178,-19.50694),151.8268
13:34:19.529,(21.63194,3.856559),194.5,(15.46463,-20.45607),129.4436
13:34:19.621,(21.6751,3.834352),194.5,(15.33611,-21.28345),108.4352
13:34:19.724,(21.6751,3.834388),194.5,(15.24233,-21.21107),91.9194
13:34:19.820,(21.6751,3.834433),194.5,(15.3085,-20.31022),79.76025
13:34:19.925,(21.45737,2.992648),194.5,(15.67068,-18.91181),74.19986
13:34:20.023,(21.23963,2.150859),194.5,(16.25474,-16.96861),83.7896
13:34:20.123,(21.0219,1.30907),194.5,(16.62149,-15.74842),86.84613
13:34:20.235,(20.73126,0.3669968),194.5,(17.00031,-14.82165),102.6924
13:34:20.323,(20.08787,-0.1706182),194.5,(17.57692,-14.18075),88.94046
13:34:20.416,(19.14237,-0.3982655),194.5,(18.23363,-13.4624),82.68754
13:34:20.517,(18.25437,-0.4227427),194.5,(18.7932,-12.80424),82.3902
13:34:20.626,(17.26195,-0.3376127),194.5001,(19.1987,-11.94803),58.38311
13:34:20.726,(16.25398,-0.1750064),194.5001,(19.48103,-10.99216),54.19688
13:34:20.822,(15.38322,-0.001385517),194.5001,(19.64417,-10.20021),38.66275
13:34:20.926,(14.51865,0.1906257),194.5001,(19.55698,-9.297173),19.41165
13:34:21.021,(13.54119,0.3840971),146.6718,(20.11142,-7.564216),10.11
13:34:21.127,(12.7443,0.1761361),60.6479,(20.91383,-6.007153),352.6845
13:34:21.212,(12.76911,-0.5377444),302.2242,(21.43201,-5.001639),338.7422
13:34:21.324,(13.40897,0.05739222),252,(21.72636,-4.114836),314.7325
13:34:21.418,(13.64159,1.036425),252,(21.48443,-3.233626),290.7229
13:34:21.529,(13.29028,1.789705),252,(20.99368,-2.384395),280.1689
13:34:21.620,(12.898,2.562754),251.9999,(20.52808,-1.662067),275.5953
13:34:21.717,(12.36598,3.302592),252,(20.06427,-0.9455991),259.6445
13:34:21.824,(11.88294,4.170606),278.0941,(19.40974,-0.1713587),253.4
13:34:21.926,(11.81013,4.466945),123.8273,(18.74474,0.3785982),253.3457
13:34:22.020,(11.57057,3.576697),248.8709,(17.91096,0.9117686),255.1702
13:34:22.116,(11.37646,4.033104),56.77562,(17.2708,0.8249504),250.9291
13:34:22.212,(11.94758,3.569315),129.9999,(16.00078,0.9403756),259.3173
13:34:22.327,(11.83531,2.575565),129.9999,(14.86875,0.8770999),245.0529
13:34:22.420,(11.46158,1.650868),129.9998,(14.09491,0.3143924),231.9014
13:34:22.527,(11.02673,0.8760786),129.9998,(13.40668,-0.1823499),249.3591
13:34:22.619,(10.48613,0.04048054),94.50371,(12.58895,-0.5669728),273.3686
13:34:22.723,(10.14537,-0.7715045),85.02445,(12.14123,-0.470917),288.6602
13:34:22.821,(9.965505,-1.767101),66.19129,(12.4201,-0.9328473),264.6545
13:34:22.928,(9.593094,-3.33383),338.9998,(13.18738,-1.154383),240.6449
13:34:23.014,(9.321424,-4.438351),338.9998,(13.50121,-0.7785919),223.1857
13:34:23.127,(9.75143,-5.213382),338.9998,(13.26788,0.07335521),203.6666
13:34:23.223,(10.69819,-5.371511),338.9998,(13.81636,-0.3776163),200.726
13:34:23.322,(9.915665,-7.727068),358.3023,(14.46744,-2.396565),213.4206
13:34:23.412,(9.406952,-9.258394),91.46806,(14.87493,-3.767134),208.3515
13:34:23.516,(9.339096,-10.35109),115.4998,(14.581,-3.86646),190.813
13:34:23.613,(9.333164,-11.22905),130.214,(14.11707,-4.152062),171.2951
13:34:23.726,(9.302453,-12.3444),154.4998,(14.01527,-3.861337),152.9412
13:34:23.820,(9.302868,-13.16868),154.4998,(14.51621,-3.407812),131.9328
13:34:23.916,(9.32578,-13.9957),144.5742,(15.03277,-2.80852),111.3073
13:34:24.026,(9.335587,-14.60119),83.64762,(15.74278,-2.210034),100.7506
13:34:24.130,(9.588166,-15.45706),353.103,(16.47907,-1.573199),85.0637
13:34:24.221,(10.31492,-15.80368),312.0236,(17.07402,-0.9483343),71.41668
