Timestamp,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
15:02:52.359,Init,0,3,3,0
15:02:52.359,ResetScene,0,0,3,3,0
15:02:54.712,S,0,0,3,3,0
15:02:54.786,PurpleDash,0,0,3,3,0
15:02:55.511,PurplePickedUpBall,0,1,3,3,0
15:02:55.834,PurplePickedUpBall,0,2,3,3,0
15:02:55.918,PurpleDash,0,2,3,3,0
15:02:55.932,PurplePickedUpBall,0,3,3,3,0
15:02:56.987,PurpleDash,0,3,3,3,0
15:02:56.998,BluePickedUpBall,1,3,3,3,0
15:02:57.010,PurplePickedUpBall,1,4,3,3,0
15:02:57.115,PurpleThrewBall,1,3,3,3,0
15:02:57.717,PurpleThrewBall,1,2,3,3,0
15:02:58.118,BluePickedUpBall,2,2,3,3,0
15:02:58.189,PurpleDash,2,2,3,3,0
15:02:58.218,PurplePickedUpBall,2,3,3,3,0
15:02:58.943,BluePickedUpBall,3,3,3,3,0
15:02:59.318,PurpleDash,3,3,3,3,0
15:02:59.594,PurpleThrewBall,3,2,3,3,0
15:03:00.651,PurpleDash,3,2,3,3,0
15:03:00.750,PurplePickedUpBall,3,3,3,3,0
15:03:01.385,PurplePickedUpBall,3,4,3,3,0
15:03:01.987,PurpleDash,3,4,3,3,0
15:03:02.257,BlueThrewBall,2,4,3,3,0
15:03:02.449,PurpleThrewBall,2,3,3,3,0
15:03:03.182,PurpleDash,2,3,3,3,0
15:03:03.988,PurpleThrewBall,2,2,3,3,0
15:03:04.222,PurplePickedUpBall,2,3,3,3,0
15:03:04.251,PurpleThrewBall,2,2,3,3,0
15:03:04.252,PurpleDash,2,2,3,3,0
15:03:04.419,BlueThrewBall,1,2,3,3,0
15:03:04.919,BlueThrewBall,0,2,3,3,0
15:03:05.114,PurpleThrewBall,0,1,3,3,0
15:03:05.165,HitPurple,0,1,3,2,0
15:03:05.386,PurpleDash,0,1,3,2,0
15:03:05.494,PurplePickedUpBall,0,2,3,2,0
15:03:05.632,PurplePickedUpBall,0,3,3,2,0
15:03:06.266,PurplePickedUpBall,0,4,3,2,0
15:03:06.449,PurpleDash,0,4,3,2,0
15:03:07.114,PurpleThrewBall,0,3,3,2,3
15:03:07.594,PurpleDash,0,3,3,2,0
15:03:07.782,PurpleThrewBall,0,2,3,2,0
15:03:08.025,BluePickedUpBall,1,2,3,2,0
15:03:08.513,PurpleThrewBall,1,1,3,2,0
15:03:08.714,PurpleDash,1,1,3,2,0
15:03:09.014,PurplePickedUpBall,1,2,3,2,3
15:03:09.050,PurpleThrewBall,1,1,3,2,3
15:03:09.316,PurpleThrewBall,1,0,3,2,3
15:03:09.513,BluePickedUpBall,2,0,3,2,0
15:03:09.785,PurpleDash,2,0,3,2,0
15:03:09.950,BluePickedUpBall,3,0,3,2,0
15:03:10.847,PurpleDash,3,0,3,2,0
15:03:11.029,BluePickedUpBall,4,0,3,2,0
15:03:11.913,PurpleDash,4,0,3,2,0
15:03:13.250,PurpleDash,4,0,3,2,0
15:03:13.261,PurplePickedUpBall,4,1,3,2,0
15:03:13.457,BlueThrewBall,3,1,3,2,0
15:03:14.068,BlueThrewBall,2,1,3,2,0
15:03:14.209,PurplePickedUpBall,2,2,3,2,0
15:03:14.324,PurpleThrewBall,2,1,3,2,0
15:03:14.450,PurpleDash,2,1,3,2,0
15:03:15.290,PurplePickedUpBall,2,2,3,2,0
15:03:15.446,PurpleThrewBall,2,1,3,2,0
15:03:15.586,PurpleDash,2,1,3,2,0
15:03:16.052,PurpleThrewBall,2,0,3,2,0
15:03:16.908,PurpleDash,2,0,3,2,0
15:03:18.126,PurpleDash,2,0,3,2,0
15:03:19.181,PurpleDash,2,0,3,2,0
15:03:19.861,BluePickedUpBall,3,0,3,2,0
15:03:20.240,PurpleDash,3,0,3,2,0
15:03:20.446,BlueThrewBall,2,0,3,2,0
15:03:21.381,PurpleDash,2,0,3,2,0
15:03:21.642,PurplePickedUpBall,2,1,3,2,0
15:03:21.710,PurpleThrewBall,2,0,3,2,0
15:03:22.448,PurpleDash,2,0,3,2,0
15:03:22.829,BluePickedUpBall,3,0,3,2,0
15:03:23.077,PurplePickedUpBall,3,1,3,2,0
15:03:23.246,PurpleThrewBall,3,0,3,2,0
15:03:23.579,PurpleDash,3,0,3,2,0
15:03:24.717,PurpleDash,3,0,3,2,0
15:03:25.785,PurpleDash,3,0,3,2,0
15:03:26.373,PurplePickedUpBall,3,1,3,2,0
15:03:26.454,PurpleThrewBall,3,0,3,2,0
15:03:26.847,PurpleDash,3,0,3,2,0
15:03:27.919,PurpleDash,3,0,3,2,0
15:03:28.012,PurplePickedUpBall,3,1,3,2,0
15:03:28.043,PurpleThrewBall,3,0,3,2,0
15:03:28.132,HitBlue,3,0,2,2,0
15:03:28.134,BluePickedUpBall,4,0,2,2,0
15:03:28.151,BlueThrewBall,3,0,2,2,0
15:03:28.154,BluePickedUpBall,4,0,2,2,0
15:03:28.975,PurpleDash,4,0,2,2,0
15:03:30.046,BlueThrewBall,3,0,2,2,0
15:03:30.112,PurpleDash,3,0,2,2,0
15:03:31.175,PurpleDash,3,0,2,2,0
15:03:31.644,BlueThrewBall,2,0,2,2,0
15:03:32.311,PurpleDash,2,0,2,2,0
15:03:33.375,PurpleDash,2,0,2,2,0
15:03:33.491,BlueThrewBall,1,0,2,2,0
15:03:34.437,PurpleDash,1,0,2,2,0
15:03:34.984,BlueThrewBall,0,0,2,2,0
15:03:35.714,PurpleDash,0,0,2,2,0
15:03:36.846,PurpleDash,0,0,2,2,0
15:03:37.110,PurplePickedUpBall,0,1,2,2,0
15:03:37.586,PurplePickedUpBall,0,2,2,2,0
15:03:37.907,PurpleThrewBall,0,1,2,2,0
15:03:38.178,PurpleDash,0,1,2,2,0
15:03:38.321,PurpleThrewBall,0,0,2,2,0
15:03:39.048,PurplePickedUpBall,0,1,2,2,0
15:03:39.307,PurpleDash,0,1,2,2,0
15:03:39.570,PurpleThrewBall,0,0,2,2,0
15:03:40.380,PurpleDash,0,0,2,2,0
15:03:40.534,BluePickedUpBall,1,0,2,2,0
15:03:41.436,PurpleDash,1,0,2,2,0
15:03:41.464,PurplePickedUpBall,1,1,2,2,0
15:03:41.904,PurplePickedUpBall,1,2,2,2,0
15:03:42.508,PurpleThrewBall,1,1,2,2,0
15:03:42.508,PurpleDash,1,1,2,2,0
15:03:42.766,PurpleThrewBall,1,0,2,2,0
15:03:42.799,HitBlue,1,0,1,2,0
15:03:43.567,PurpleDash,1,0,1,2,0
15:03:44.415,BlueThrewBall,0,0,1,2,0
15:03:44.648,PurpleDash,0,0,1,2,0
15:03:45.031,BluePickedUpBall,1,0,1,2,0
15:03:45.772,PurpleDash,1,0,1,2,0
15:03:46.971,PurpleDash,1,0,1,2,0
15:03:47.727,PurplePickedUpBall,1,1,1,2,0
15:03:47.767,PurpleThrewBall,1,0,1,2,0
15:03:47.781,HitBlue,1,0,0,2,0
15:03:47.790,GameEnd,0,0,0,2,0
15:03:48.457,PurpleDash,0,0,0,2,0
15:03:48.491,PurplePickedUpBall,0,1,0,2,0
15:03:48.571,PurplePickedUpBall,0,2,0,2,0
15:03:48.652,PurplePickedUpBall,0,3,0,2,0
15:03:49.602,PurpleThrewBall,0,2,0,2,0
15:03:49.602,PurpleDash,0,2,0,2,0
15:03:49.780,WinScreenStart,0,2,0,2,0
15:03:50.791,ResetScene,0,0,3,3,0
15:03:55.043,PurpleDash,0,0,3,3,0
15:03:56.102,PurpleDash,0,0,3,3,0
15:03:56.484,PurplePickedUpBall,0,1,3,3,0
15:03:56.815,PurplePickedUpBall,0,2,3,3,0
15:03:57.084,BluePickedUpBall,1,2,3,3,0
15:03:57.174,PurpleDash,1,2,3,3,0
15:03:57.201,PurplePickedUpBall,1,3,3,3,0
15:03:57.686,PurplePickedUpBall,1,4,3,3,0
15:03:57.739,BluePickedUpBall,2,4,3,3,0
15:03:58.035,PurpleThrewBall,2,3,3,3,0
15:03:58.237,PurpleDash,2,3,3,3,0
15:03:58.795,BluePickedUpBall,3,3,3,3,0
15:03:59.305,PurpleDash,3,3,3,3,0
15:04:00.175,PurpleThrewBall,3,2,3,3,0
15:04:00.379,PurpleDash,3,2,3,3,0
15:04:01.318,BlueThrewBall,2,2,3,3,0
15:04:01.439,PurpleDash,2,2,3,3,0
15:04:01.921,PurpleThrewBall,2,1,3,3,0
15:04:02.170,PurpleThrewBall,2,0,3,3,0
15:04:02.254,PurplePickedUpBall,2,1,3,3,0
15:04:02.356,PurplePickedUpBall,2,2,3,3,0
15:04:02.442,PurpleThrewBall,2,1,3,3,0
15:04:02.495,HitBlue,2,1,2,3,0
15:04:02.634,PurpleDash,2,1,2,3,0
15:04:02.703,PurpleThrewBall,2,0,2,3,0
15:04:02.706,BluePickedUpBall,3,0,2,3,0
