,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
2,0.0,S,0,0,3,3,0.0
3,3.188,BluePickedUpBall,1,0,3,3,0.0
4,3.374,BlueThrewBall,0,0,3,3,0.0
5,4.817,PurplePickedUpBall,0,1,3,3,0.0
6,5.689,BluePickedUpBall,1,1,3,3,0.0
7,6.72,PurpleThrewBall,1,0,3,3,0.0
8,8.373,BluePickedUpBall,2,0,3,3,0.0
9,9.978,BlueThrewBall,1,0,3,3,0.0
10,10.079,HitPurple,1,0,3,2,0.0
11,10.575,BlueThrewBall,0,0,3,2,0.0
12,13.1,BluePickedUpBall,1,0,3,2,0.0
13,13.792,BluePickedUpBall,2,0,3,2,0.0
14,14.644,BluePickedUpBall,3,0,3,2,0.0
15,15.66,BluePickedUpBall,4,0,3,2,0.0
16,20.559,BlueThrewBall,3,0,3,2,0.0
17,20.645,HitPurple,3,0,3,1,0.0
18,21.192,BlueThrewBall,2,0,3,1,0.0
19,22.253,BlueThrewBall,1,0,3,1,0.0
20,22.506,HitPurple,1,0,3,0,0.0
21,22.51,GameEnd,1,0,3,0,0.0
22,24.612,WinScreenStart,1,0,3,0,0.0
23,25.678,ResetScene,0,0,3,3,0.0
24,32.229,BluePickedUpBall,1,0,3,3,4.0
25,32.644,BluePickedUpBall,2,0,3,3,4.0
26,37.495,BluePickedUpBall,3,0,3,3,0.0
27,38.272,BlueThrewBall,2,0,3,3,0.0
28,39.101,BlueThrewBall,1,0,3,3,0.0
29,40.932,BluePickedUpBall,2,0,3,3,0.0
30,41.42,PurplePickedUpBall,2,1,3,3,0.0
31,41.707,BluePickedUpBall,3,1,3,3,0.0
32,42.795,BluePickedUpBall,4,1,3,3,0.0
33,43.69,PurpleThrewBall,4,0,3,3,0.0
34,43.696,HitBlue,4,0,2,3,0.0
35,44.069,BlueThrewBall,3,0,2,3,0.0
36,46.229,PurplePickedUpBall,3,1,2,3,0.0
37,47.347,BlueThrewBall,2,1,2,3,0.0
38,47.426,PurpleThrewBall,2,0,2,3,0.0
39,47.609,HitBlue,2,0,1,3,0.0
40,47.814,BlueThrewBall,1,0,1,3,0.0
41,51.76,BluePickedUpBall,2,0,1,3,0.0
42,52.978,BluePickedUpBall,3,0,1,3,0.0
43,58.182,BlueThrewBall,2,0,1,3,0.0
44,58.184,HitPurple,2,0,1,2,0.0
45,58.184,BluePickedUpBall,3,0,1,2,0.0
46,58.589,BlueThrewBall,2,0,1,2,0.0
47,62.623,BlueThrewBall,1,0,1,2,0.0
48,64.617,BlueThrewBall,0,0,1,2,0.0
49,67.323,BluePickedUpBall,1,0,1,2,0.0
50,67.411,PurplePickedUpBall,1,1,1,2,0.0
51,72.926,BlueThrewBall,0,1,1,2,0.0
52,73.054,HitPurple,0,1,1,1,0.0
53,73.442,PurpleThrewBall,0,0,1,1,0.0
54,76.668,BluePickedUpBall,1,0,1,1,0.0
55,81.54,BlueThrewBall,0,0,1,1,0.0
56,83.73,BluePickedUpBall,1,0,1,1,0.0
57,86.377,BluePickedUpBall,2,0,1,1,0.0
58,87.214,BluePickedUpBall,3,0,1,1,0.0
59,93.349,BlueThrewBall,2,0,1,1,0.0
60,94.405,BlueThrewBall,1,0,1,1,0.0
61,95.577,BlueThrewBall,0,0,1,1,0.0
62,98.018,BluePickedUpBall,1,0,1,1,0.0
63,98.114,BluePickedUpBall,2,0,1,1,0.0
64,98.816,BlueThrewBall,1,0,1,1,0.0
65,98.904,HitPurple,1,0,1,0,0.0
66,98.907,GameEnd,1,0,1,0,0.0
67,100.938,WinScreenStart,1,0,1,0,0.0
68,101.997,ResetScene,0,0,3,3,0.0
69,108.102,BluePickedUpBall,1,0,3,3,4.0
70,108.964,BluePickedUpBall,2,0,3,3,4.0
71,110.197,BluePickedUpBall,3,0,3,3,0.0
72,111.568,BlueThrewBall,2,0,3,3,0.0
73,111.854,PurplePickedUpBall,2,1,3,3,0.0
74,113.911,BluePickedUpBall,3,1,3,3,0.0
75,114.725,PurpleThrewBall,3,0,3,3,0.0
76,114.734,HitBlue,3,0,2,3,0.0
77,117.031,BluePickedUpBall,4,0,2,3,0.0
78,118.443,BlueThrewBall,3,0,2,3,0.0
79,118.444,HitPurple,3,0,2,2,0.0
80,120.014,BlueThrewBall,2,0,2,2,0.0
81,123.623,BlueThrewBall,1,0,2,2,0.0
82,126.147,PurplePickedUpBall,1,1,2,2,0.0
83,127.638,PurpleThrewBall,1,0,2,2,0.0
84,127.641,HitBlue,1,0,1,2,0.0
85,128.036,BlueThrewBall,0,0,1,2,0.0
86,128.896,BluePickedUpBall,1,0,1,2,0.0
87,130.242,PurplePickedUpBall,1,1,1,2,0.0
88,131.221,PurpleThrewBall,1,0,1,2,0.0
89,133.535,BluePickedUpBall,2,0,1,2,0.0
90,136.667,BluePickedUpBall,3,0,1,2,0.0
91,138.137,BluePickedUpBall,4,0,1,2,0.0
92,138.689,PurplePickedUpBall,4,1,1,2,0.0
93,139.565,PurpleThrewBall,4,0,1,2,0.0
94,140.137,BlueThrewBall,3,0,1,2,0.0
95,141.523,BlueThrewBall,2,0,1,2,0.0
96,141.537,HitPurple,2,0,1,1,0.0
97,142.333,BlueThrewBall,1,0,1,1,0.0
98,142.557,HitPurple,1,0,1,0,0.0
99,142.559,GameEnd,1,0,1,0,0.0
100,144.638,WinScreenStart,1,0,1,0,0.0
101,145.729,ResetScene,0,0,3,3,0.0
102,151.599,BluePickedUpBall,1,0,3,3,4.0
103,151.917,BluePickedUpBall,2,0,3,3,4.0
104,153.597,BluePickedUpBall,3,0,3,3,0.0
105,155.632,BlueThrewBall,2,0,3,3,0.0
106,155.64,HitPurple,2,0,3,2,0.0
107,156.148,PurplePickedUpBall,2,1,3,2,0.0
108,156.154,BlueThrewBall,1,1,3,2,0.0
109,158.18,BluePickedUpBall,2,1,3,2,0.0
110,159.279,BluePickedUpBall,3,1,3,2,0.0
111,159.706,BluePickedUpBall,4,1,3,2,0.0
112,160.116,PurpleThrewBall,4,0,3,2,0.0
113,166.646,PurplePickedUpBall,4,1,3,2,0.0
114,167.26,PurpleThrewBall,4,0,3,2,0.0
115,167.269,HitBlue,4,0,2,2,0.0
116,167.615,BlueThrewBall,3,0,2,2,0.0
117,171.787,BlueThrewBall,2,0,2,2,0.0
118,173.023,BlueThrewBall,1,0,2,2,0.0
119,173.117,PurplePickedUpBall,1,1,2,2,0.0
