Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
21:12:46.830,(16,-24),180,(15.24873,-68.9731),7.265162
21:12:50.934,(16,-23.57084),180,(15.62617,-69.04991),6.132802
21:12:51.050,(16,-22.5815),180,(16.3044,-68.43408),17.60873
21:12:51.184,(15.99999,-21.99879),180,(16.83435,-67.69434),21.83538
21:12:51.193,(15.99998,-21.71011),179.5,(17.15801,-66.88707),36.0757
21:12:51.318,(15.99996,-21.5907),179.5,(17.25869,-65.87715),40.23034
21:12:51.471,(15.99994,-21.58636),179.55,(17.38688,-65.30423),49.02814
21:12:51.577,(15.99993,-21.5863),180.6,(17.08241,-65.17648),54.56009
21:12:51.677,(15.99992,-21.58625),181.05,(17.18988,-65.41396),68.6899
21:12:51.764,(15.99991,-21.5862),181.05,(17.45285,-65.57293),72.88887
21:12:51.855,(15.98396,-22.45554),181.05,(18.18034,-65.83692),68.35667
21:12:51.944,(16.03541,-23.32792),181.05,(18.97822,-65.56647),53.89362
21:12:52.034,(16.46256,-24.26358),181.05,(19.76217,-64.99551),30.05518
21:12:52.121,(17.06055,-24.93483),181.05,(20.2312,-64.30758),14.30357
21:12:52.220,(17.94901,-25.45796),181.05,(20.68117,-63.58276),13.78287
21:12:52.306,(18.80438,-25.74866),181.05,(20.96415,-63.07874),357.3274
21:12:52.401,(19.69209,-25.94753),181.05,(20.47685,-62.32501),15.62304
21:12:52.581,(20.71544,-26.10031),181.05,(20.06673,-61.38138),0.7771305
21:12:52.667,(21.74611,-26.20099),181.05,(19.8302,-60.44628),17.92215
21:12:52.763,(22.47032,-26.25548),181.05,(19.52345,-59.67943),23.47333
21:12:52.855,(22.98804,-26.29065),181.05,(18.72655,-58.95186),18.9472
21:12:52.947,(23.20017,-26.30505),181.05,(18.34381,-58.5263),24.49229
21:12:53.039,(23.26217,-26.30921),181.05,(19.14184,-58.33779),19.32542
21:12:53.135,(23.26217,-26.30918),181.05,(19.76442,-58.28064),6.340657
21:12:53.222,(23.26217,-26.30913),181.05,(21.30749,-58.37597),3.809162
21:12:53.310,(23.26217,-26.30909),181.05,(22.32271,-58.4488),355.8301
21:12:53.400,(23.24851,-27.05424),181.05,(22.8814,-58.30879),354.2977
21:12:53.571,(23.23138,-27.98839),181.05,(21.65833,-57.72702),6.295114
21:12:53.669,(23.22274,-28.45908),181.05,(20.11667,-56.9306),8.42529
21:12:53.769,(23.25451,-26.72551),181.05,(19.22396,-56.46945),13.79216
21:12:53.865,(23.27681,-25.50917),184.1991,(18.47547,-55.78249),30.60667
21:12:53.960,(23.2881,-24.89271),188.25,(18.37447,-55.70321),36.17806
21:12:54.059,(23.29486,-24.5244),188.7,(19.22065,-55.24345),31.68504
21:12:54.152,(23.29714,-24.39899),188.7,(19.9729,-54.85025),15.9068
21:12:54.253,(23.2974,-24.38522),188.7,(20.62656,-54.18933),357.047
21:12:54.349,(23.2974,-24.38518),188.7,(21.25866,-53.61631),7.643921
21:12:54.452,(23.2974,-24.38513),188.7,(22.09715,-53.33023),5.119179
