Timestamp,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
19:05:14.413,Init,0,3,3,0
19:05:14.413,ResetScene,0,0,3,3,0
19:08:52.677,S,0,0,3,3,0
19:08:55.249,PurplePickedUpBall,0,1,3,3,0
19:08:55.681,PurpleThrewBall,0,0,3,3,0
19:08:57.929,BluePickedUpBall,1,0,3,3,0
19:08:58.276,PurplePickedUpBall,1,1,3,3,0
19:08:58.370,BluePickedUpBall,2,1,3,3,0
19:08:59.020,PurplePickedUpBall,2,2,3,3,0
19:08:59.075,BlueThrewBall,1,2,3,3,0
19:08:59.633,PurplePickedUpBall,1,3,3,3,0
19:09:00.290,BlueThrewBall,0,3,3,3,0
19:09:00.407,PurpleThrewBall,0,2,3,3,0
19:09:00.883,BluePickedUpBall,1,2,3,3,0
19:09:01.633,BlueThrewBall,0,2,3,3,0
19:09:01.944,PurpleThrewBall,0,1,3,3,0
19:09:02.277,PurpleThrewBall,0,0,3,3,0
19:09:02.387,HitBlue,0,0,2,3,0
19:09:02.523,BluePickedUpBall,1,0,2,3,0
19:09:04.328,PurplePickedUpBall,1,1,2,3,0
19:09:05.566,PurplePickedUpBall,1,2,2,3,0
19:09:06.477,PurpleThrewBall,1,1,2,3,0
19:09:07.827,PurplePickedUpBall,1,2,2,3,0
19:09:09.011,PurpleThrewBall,1,1,2,3,0
19:09:10.476,PurpleThrewBall,1,0,2,3,0
19:09:11.902,PurplePickedUpBall,1,1,2,3,0
19:09:13.225,PurplePickedUpBall,1,2,2,3,0
19:09:13.560,BluePickedUpBall,2,2,2,3,0
19:09:13.608,PurpleThrewBall,2,1,2,3,0
19:09:15.232,BluePickedUpBall,3,1,2,3,0
19:09:16.670,PurpleThrewBall,3,0,2,3,0
19:09:18.877,PurplePickedUpBall,3,1,2,3,0
19:09:19.409,PurpleThrewBall,3,0,2,3,0
19:09:22.293,BlueThrewBall,2,0,2,3,0
19:09:22.876,BlueThrewBall,1,0,2,3,0
19:09:23.150,PurplePickedUpBall,1,1,2,3,0
19:09:23.868,PurpleThrewBall,1,0,2,3,0
19:09:24.001,BlueThrewBall,0,0,2,3,0
19:09:27.293,PurplePickedUpBall,0,1,2,3,0
19:09:28.736,PurpleThrewBall,0,0,2,3,0
19:09:30.448,PurplePickedUpBall,0,1,2,3,0
19:09:30.468,PurpleThrewBall,0,0,2,3,0
19:09:30.546,HitBlue,0,0,1,3,0
19:09:30.657,BluePickedUpBall,1,0,1,3,0
19:09:32.163,BlueThrewBall,0,0,1,3,0
