,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
2,0.0,S,0,0,3,3,0.0
3,2.572,PurplePickedUpBall,0,1,3,3,0.0
4,3.004,PurpleThrewBall,0,0,3,3,0.0
5,5.252,BluePickedUpBall,1,0,3,3,0.0
6,5.599,PurplePickedUpBall,1,1,3,3,0.0
7,5.693,BluePickedUpBall,2,1,3,3,0.0
8,6.343,PurplePickedUpBall,2,2,3,3,0.0
9,6.398,BlueThrewBall,1,2,3,3,0.0
10,6.956,PurplePickedUpBall,1,3,3,3,0.0
11,7.613,BlueThrewBall,0,3,3,3,0.0
12,7.73,PurpleThrewBall,0,2,3,3,0.0
13,8.206,BluePickedUpBall,1,2,3,3,0.0
14,8.956,BlueThrewBall,0,2,3,3,0.0
15,9.267,PurpleThrewBall,0,1,3,3,0.0
16,9.6,PurpleThrewBall,0,0,3,3,0.0
17,9.71,HitBlue,0,0,2,3,0.0
18,9.846,BluePickedUpBall,1,0,2,3,0.0
19,11.651,PurplePickedUpBall,1,1,2,3,0.0
20,12.889,PurplePickedUpBall,1,2,2,3,0.0
21,13.8,PurpleThrewBall,1,1,2,3,0.0
22,15.15,PurplePickedUpBall,1,2,2,3,0.0
23,16.334,PurpleThrewBall,1,1,2,3,0.0
24,17.799,PurpleThrewBall,1,0,2,3,0.0
25,19.225,PurplePickedUpBall,1,1,2,3,0.0
26,20.548,PurplePickedUpBall,1,2,2,3,0.0
27,20.883,BluePickedUpBall,2,2,2,3,0.0
28,20.931,PurpleThrewBall,2,1,2,3,0.0
29,22.555,BluePickedUpBall,3,1,2,3,0.0
30,23.993,PurpleThrewBall,3,0,2,3,0.0
31,26.2,PurplePickedUpBall,3,1,2,3,0.0
32,26.732,PurpleThrewBall,3,0,2,3,0.0
33,29.616,BlueThrewBall,2,0,2,3,0.0
34,30.199,BlueThrewBall,1,0,2,3,0.0
35,30.473,PurplePickedUpBall,1,1,2,3,0.0
36,31.191,PurpleThrewBall,1,0,2,3,0.0
37,31.324,BlueThrewBall,0,0,2,3,0.0
38,34.616,PurplePickedUpBall,0,1,2,3,0.0
39,36.059,PurpleThrewBall,0,0,2,3,0.0
40,37.771,PurplePickedUpBall,0,1,2,3,0.0
41,37.791,PurpleThrewBall,0,0,2,3,0.0
42,37.869,HitBlue,0,0,1,3,0.0
43,37.98,BluePickedUpBall,1,0,1,3,0.0
44,39.486,BlueThrewBall,0,0,1,3,0.0
45,39.533,HitPurple,0,0,1,2,0.0
46,42.824,BluePickedUpBall,1,0,1,2,0.0
47,43.734,BlueThrewBall,0,0,1,2,0.0
48,43.817,HitPurple,0,0,1,1,0.0
49,43.828,PurplePickedUpBall,0,1,1,1,0.0
50,45.185,PurpleThrewBall,0,0,1,1,0.0
51,46.266,PurplePickedUpBall,0,1,1,1,0.0
52,48.32,PurpleThrewBall,0,0,1,1,0.0
53,48.941,PurplePickedUpBall,0,1,1,1,0.0
54,49.059,PurpleThrewBall,0,0,1,1,0.0
55,50.793,PurplePickedUpBall,0,1,1,1,3.0
56,52.985,BluePickedUpBall,1,1,1,1,0.0
57,53.592,PurpleThrewBall,1,0,1,1,0.0
58,54.075,BluePickedUpBall,2,0,1,1,0.0
59,54.989,PurplePickedUpBall,2,1,1,1,0.0
60,57.342,PurplePickedUpBall,2,2,1,1,0.0
61,58.459,BlueThrewBall,1,2,1,1,0.0
62,58.582,PurpleThrewBall,1,1,1,1,0.0
63,59.385,PurpleThrewBall,1,0,1,1,0.0
64,61.722,PurplePickedUpBall,1,1,1,1,0.0
65,62.257,PurpleThrewBall,1,0,1,1,0.0
66,63.368,BlueThrewBall,0,0,1,1,0.0
67,63.59,HitPurple,0,0,1,0,0.0
68,63.601,GameEnd,0,0,1,0,0.0
69,65.591,WinScreenStart,0,0,1,0,0.0
70,71.984,BluePickedUpBall,1,0,1,0,0.0
71,72.633,BlueThrewBall,0,0,1,0,0.0
72,73.601,ResetScene,0,0,3,3,0.0
73,81.083,BluePickedUpBall,1,0,3,3,0.0
74,82.708,BluePickedUpBall,2,0,3,3,0.0
75,82.773,BlueThrewBall,1,0,3,3,0.0
76,83.011,PurplePickedUpBall,1,1,3,3,0.0
77,83.38,PurplePickedUpBall,1,2,3,3,0.0
78,83.87,PurpleThrewBall,1,1,3,3,0.0
79,84.143,BlueThrewBall,0,1,3,3,0.0
80,85.003,PurplePickedUpBall,0,2,3,3,0.0
81,85.338,PurpleThrewBall,0,1,3,3,0.0
82,85.664,PurpleThrewBall,0,0,3,3,0.0
83,88.165,PurplePickedUpBall,0,1,3,3,0.0
84,88.995,PurpleThrewBall,0,0,3,3,0.0
85,89.074,HitBlue,0,0,2,3,0.0
86,91.264,PurplePickedUpBall,0,1,2,3,0.0
87,91.6,PurpleThrewBall,0,0,2,3,0.0
88,91.602,HitBlue,0,0,1,3,0.0
89,93.457,BluePickedUpBall,1,0,1,3,0.0
90,94.862,BluePickedUpBall,2,0,1,3,0.0
91,95.611,PurplePickedUpBall,2,1,1,3,0.0
92,97.727,PurpleThrewBall,2,0,1,3,0.0
93,97.791,HitBlue,2,0,0,3,0.0
94,97.794,GameEnd,0,0,0,3,0.0
95,99.763,PurplePickedUpBall,0,1,0,3,0.0
96,99.795,WinScreenStart,0,1,0,3,0.0
97,100.129,PurpleThrewBall,0,0,0,3,0.0
98,100.252,PurplePickedUpBall,0,1,0,3,0.0
99,100.466,PurpleThrewBall,0,0,0,3,0.0
100,101.082,PurplePickedUpBall,0,1,0,3,0.0
101,101.645,PurplePickedUpBall,0,2,0,3,0.0
102,101.793,PurpleThrewBall,0,1,0,3,0.0
103,102.68,PurplePickedUpBall,0,2,0,3,0.0
104,104.127,PurplePickedUpBall,0,3,0,3,0.0
105,104.602,PurpleThrewBall,0,2,0,3,0.0
106,105.741,PurplePickedUpBall,0,3,0,3,0.0
107,106.461,PurpleThrewBall,0,2,0,3,0.0
108,109.191,PurpleThrewBall,0,1,0,3,0.0
109,110.651,PurplePickedUpBall,0,2,0,3,0.0
110,111.125,PurpleThrewBall,0,1,0,3,0.0
111,111.805,ResetScene,0,0,3,3,0.0
112,118.691,PurplePickedUpBall,0,1,3,3,0.0
113,119.045,BluePickedUpBall,1,1,3,3,0.0
114,119.625,PurplePickedUpBall,1,2,3,3,0.0
115,119.772,BluePickedUpBall,2,2,3,3,0.0
116,120.144,PurpleThrewBall,2,1,3,3,0.0
117,122.004,PurplePickedUpBall,2,2,3,3,0.0
118,122.385,PurplePickedUpBall,2,3,3,3,0.0
119,123.142,PurpleThrewBall,2,2,3,3,0.0
120,123.489,BlueThrewBall,1,2,3,3,0.0
121,123.619,HitPurple,1,2,3,2,0.0
122,123.67,PurplePickedUpBall,1,3,3,2,0.0
123,126.368,BluePickedUpBall,2,3,3,2,0.0
124,127.474,PurplePickedUpBall,2,4,3,2,0.0
125,127.609,PurpleThrewBall,2,3,3,2,0.0
126,127.668,BlueThrewBall,1,3,3,2,0.0
127,127.871,PurpleThrewBall,1,2,3,2,0.0
128,127.983,HitBlue,1,2,2,2,0.0
129,128.129,PurplePickedUpBall,1,3,2,2,0.0
130,128.143,PurpleThrewBall,1,2,2,2,0.0
131,128.211,BlueThrewBall,0,2,2,2,0.0
132,128.771,BluePickedUpBall,1,2,2,2,0.0
133,129.135,PurpleThrewBall,1,1,2,2,0.0
134,129.211,HitBlue,1,1,1,2,0.0
135,129.607,PurplePickedUpBall,1,2,1,2,0.0
136,129.747,PurplePickedUpBall,1,3,1,2,0.0
137,132.062,PurplePickedUpBall,1,4,1,2,0.0
