Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
20:22:08.572,(16,-24),180,(14.98687,-68.86305),351.4014
20:25:41.112,(16,-23.57084),180,(14.59373,-69.00162),356.6661
20:25:41.211,(16,-22.81796),180,(13.7875,-68.79105),344.4633
20:25:41.302,(15.99999,-22.34456),180,(13.03396,-68.47459),344.2429
20:25:41.418,(15.99998,-22.10596),180,(11.91939,-68.23834),336.1285
20:25:41.504,(15.99997,-22.07627),180,(11.17365,-68.20401),333.8129
20:25:41.613,(15.99995,-22.07622),180,(10.19927,-68.15672),323.6644
20:25:41.709,(15.99994,-22.07616),180,(9.239737,-68.3862),323.531
20:25:41.803,(15.99993,-22.07612),180,(9.397725,-68.86411),314.0001
20:25:41.908,(15.99993,-22.07606),180,(9.355353,-69.64656),309.8678
20:25:42.010,(15.99993,-22.07601),180,(9.818072,-69.20436),312.3339
20:25:42.107,(15.99993,-22.07595),180,(9.636077,-68.52357),306.8685
20:25:42.202,(15.99993,-22.07591),180,(9.486551,-67.86362),309.3345
20:25:42.303,(15.99992,-22.07586),180,(10.2097,-66.43695),321.798
20:25:42.408,(15.99991,-22.07581),180,(10.75524,-65.35379),311.6671
20:25:42.505,(15.9999,-21.70313),180,(11.29292,-64.52982),322.7976
20:25:42.607,(15.99989,-21.54847),180,(11.98418,-63.64365),331.9852
20:25:42.706,(15.99988,-21.45502),179.6987,(12.62846,-62.98118),342.2684
20:25:42.807,(16.00028,-21.47672),175.4369,(13.45134,-62.43795),334.6652
20:25:42.901,(15.99745,-21.53126),168.0448,(14.48199,-62.12701),341.44
20:25:43.010,(15.99744,-21.59198),157.4629,(15.91219,-61.80502),324.628
20:25:43.103,(15.99884,-21.61326),153.1298,(15.814,-61.63993),318.116
20:25:43.242,(16.14635,-21.90441),153.1297,(14.86151,-61.2536),319.9819
20:25:43.306,(16.38924,-22.38377),153.1298,(14.07154,-60.91053),315.1165
20:25:43.407,(16.67541,-22.94841),153.1298,(13.17476,-60.54766),326.9289
20:25:43.501,(16.93023,-23.45125),153.1298,(12.60022,-60.38261),338.0364
20:25:43.605,(17.17153,-23.92749),153.1297,(13.38209,-60.07612),355.2001
20:25:43.702,(17.26904,-24.11991),153.1297,(14.26459,-59.82838),5.013857
20:25:43.803,(17.29813,-24.17729),153.1297,(15.24102,-59.57695),12.87934
20:25:43.906,(17.29812,-24.17724),153.1297,(16.15949,-59.39151),1.484854
20:25:44.009,(16.96515,-23.52008),153.1297,(16.91319,-58.86137),3.953808
20:25:44.109,(16.14794,-23.15683),153.1298,(17.34189,-57.8596),10.09106
20:25:44.211,(15.24326,-23.1998),153.1298,(17.68607,-56.86459),18.30703
20:25:44.305,(14.42404,-23.33871),153.1298,(18.40059,-56.22763),23.21255
20:25:44.412,(13.88796,-23.43635),153.1298,(19.55531,-55.77483),18.72654
20:25:44.507,(13.66401,-23.47712),153.1298,(20.05646,-55.38262),5.631479
20:25:44.611,(14.27098,-23.13511),153.1298,(20.65575,-54.31536),17.13378
20:25:44.705,(15.07009,-22.71109),153.1298,(21.05365,-53.55234),6.70506
20:25:44.803,(15.99642,-22.22775),153.1298,(21.84338,-53.08545),12.86426
20:25:44.913,(16.89736,-21.76245),153.1298,(22.64565,-52.79999),19.04758
20:25:45.006,(17.51926,-21.65192),153.1298,(22.586,-51.61118),15.2734
20:25:45.122,(17.41998,-21.95158),153.1299,(22.4796,-50.555),16.11787
20:25:45.211,(16.67453,-22.45913),153.1299,(22.70577,-49.85269),33.04091
20:25:45.309,(15.78872,-23.00465),153.1298,(23.64647,-48.53175),17.22016
20:25:45.413,(14.9033,-23.48282),153.1298,(24.31102,-47.60065),34.69269
20:25:45.505,(14.29299,-23.39667),153.1298,(24.74206,-46.96299),23.62879
20:25:45.606,(13.82753,-23.35253),153.1298,(24.93351,-46.08772),1.796844
20:25:45.709,(13.87359,-23.93952),153.1299,(24.2761,-45.10696),347.2997
20:25:45.805,(14.12779,-24.69375),153.1299,(23.53788,-44.33076),342.1758
20:25:45.908,(14.47832,-25.5546),153.1299,(22.58575,-43.66833),333.5121
20:25:46.011,(14.80901,-26.29751),153.1298,(22.01675,-43.25779),334.6393
20:25:46.117,(15.22536,-27.14816),153.1299,(22.43638,-42.20652),333.5133
20:25:46.208,(15.97942,-27.59996),153.1299,(22.21887,-41.29078),316.644
20:25:46.311,(16.98793,-27.82733),153.1299,(22.05545,-40.22923),329.8271
20:25:46.413,(17.89298,-27.87422),153.1299,(22.17458,-39.42057),343.9479
20:25:46.505,(18.80146,-27.8324),153.1299,(22.83694,-38.70094),348.1492
20:25:46.604,(19.83597,-27.71255),153.1298,(23.44197,-37.87539),340.9599
20:25:46.710,(20.86762,-27.54333),153.1298,(23.23062,-36.996),337.2107
20:25:46.809,(21.75705,-27.36697),153.7281,(22.38717,-36.52359),327.926
20:25:46.904,(22.63766,-27.14037),158.6412,(21.39056,-36.30894),328.1227
20:25:47.015,(23.61871,-26.80492),165.3837,(20.19259,-36.24639),322.0245
20:25:47.106,(24.50012,-26.5909),171.9657,(19.30594,-36.05603),342.4296
20:25:47.203,(25.58751,-26.47252),181.8804,(18.35663,-35.48156),332.5571
20:25:47.304,(26.49317,-26.46773),193.4031,(17.79082,-34.83597),354.0959
20:25:47.410,(27.51917,-26.62397),206.9626,(17.34621,-33.86687),8.060778
20:25:47.501,(28.37688,-26.91223),221.9167,(16.75175,-32.83169),30.58601
20:25:47.607,(29.26218,-27.44444),241.0818,(15.88215,-32.86242),49.9627
20:25:47.710,(29.96635,-28.19091),260.0376,(15.79955,-32.41269),58.62931
20:25:47.807,(30.36643,-28.99855),276.5237,(15.96337,-33.29628),65.56731
20:25:47.905,(30.5282,-29.88269),292.3944,(16.29421,-33.8095),67.99203
20:25:48.007,(30.25633,-30.84952),305.1217,(17.28298,-33.18266),76.28544
20:25:48.103,(30.16475,-31.36116),310.8424,(18.10695,-33.07255),87.95986
20:25:48.207,(29.71796,-31.5561),310.8752,(18.87666,-33.12583),74.96442
20:25:48.301,(29.95558,-31.56022),310.8752,(19.18292,-32.26725),74.75953
20:25:48.411,(30.24486,-30.93606),304.0107,(19.64426,-31.56141),95.11543
20:25:48.510,(30.48819,-30.34668),289.0162,(20.36502,-31.17848),82.33118
20:25:48.623,(30.59595,-29.74899),271.2906,(20.83872,-30.21699),65.34429
20:25:48.702,(30.67465,-28.97532),257.7897,(21.09451,-29.49024),52.2641
20:25:48.808,(30.64605,-27.9375),250.2298,(21.56022,-29.16962),70.78961
20:25:48.903,(30.51037,-27.03688),250.2297,(22.71397,-29.74617),68.58612
20:25:49.002,(31.89281,-25.90321),250.2297,(23.54238,-30.08272),64.13139
20:25:49.104,(33.7805,-24.98737),250.2298,(24.13112,-29.49243),60.83483
20:25:49.213,(34.53884,-24.23006),250.2299,(24.27239,-28.4722),55.36516
20:25:49.309,(34.25476,-23.6306),250.2299,(24.38578,-27.80107),67.24566
20:25:49.407,(34.54615,-23.23697),250.2299,(23.51464,-26.19585),72.15588
20:25:49.509,(34.65311,-22.0314),250.23,(22.69315,-24.77401),78.82109
20:25:49.615,(34.35096,-21.59477),250.23,(22.16015,-23.79648),68.55417
20:25:49.702,(33.80011,-21.60709),250.23,(21.89989,-23.43236),78.28208
20:25:49.807,(33.2946,-21.65897),251.6622,(21.99202,-25.37146),87.36106
20:25:49.901,(32.86829,-21.74048),256.4647,(22.11983,-26.97386),92.632
20:25:50.007,(32.34955,-21.84835),263.615,(22.2174,-28.1966),105.0013
20:25:50.105,(29.79499,-22.02532),270.1219,(22.35119,-29.17668),111.8166
20:25:50.205,(26.45156,-22.22136),270.5724,(22.558,-30.27433),126.224
20:25:50.309,(24.3849,-22.34252),270.5725,(22.76837,-31.31471),129.6897
20:25:50.403,(23.24873,-22.40908),270.5724,(22.62941,-31.85938),121.8917
20:25:50.507,(22.4229,-22.9177),263.9734,(23.38035,-32.36863),124.9713
20:25:50.602,(22.00045,-23.69838),242.5426,(24.14579,-32.90449),112.4553
20:25:50.702,(21.88839,-24.47109),221.2558,(24.98245,-32.97224),87.34883
20:25:50.806,(20.93919,-24.35422),197.1937,(25.88146,-32.75503),52.11993
20:25:50.904,(20.05097,-24.15063),176.0508,(26.46227,-32.84645),45.75111
20:25:51.018,(19.06337,-24.0348),150.9856,(27.30264,-33.45385),28.03799
20:25:51.103,(18.27777,-24.16675),127.7933,(27.53193,-33.56342),5.981725
20:25:51.211,(17.37847,-24.6653),101.325,(26.42212,-32.92803),344.2687
20:25:51.307,(16.64534,-25.3821),75.95238,(25.79357,-32.50367),333.0558
20:25:51.413,(16.29012,-26.33766),62.01561,(24.60307,-33.16488),309.4376
20:25:51.511,(16.28559,-27.23848),60.48712,(23.86368,-33.68737),312.1626
20:25:51.603,(16.44594,-28.12519),60.48701,(23.25424,-33.89316),308.71
20:25:51.707,(16.76237,-29.11769),60.48684,(22.01723,-35.48872),318.5418
20:25:51.813,(16.06912,-28.32043),64.12978,(21.21925,-36.518),307.1078
20:25:51.903,(14.9242,-26.4902),64.12943,(20.71458,-37.02628),302.3515
20:25:52.005,(13.55495,-24.12665),57.56457,(19.95221,-37.69054),294.7741
20:25:52.109,(12.49725,-21.78551),32.5695,(19.09544,-38.18325),295.5911
20:25:52.209,(11.69361,-22.00442),284.4031,(18.24939,-38.31484),307.3786
20:25:52.310,(10.63133,-22.13357),163.1544,(17.23661,-38.44445),312.8277
20:25:52.403,(9.783989,-22.39917),57.27975,(16.21507,-38.38666),326.7188
20:25:52.514,(9.499827,-22.61324),351.1791,(15.56913,-38.22638),335.8717
20:25:52.604,(9.812169,-22.76859),357.7337,(15.19119,-37.56645),341.7226
20:25:52.705,(10.15126,-22.93652),5.224609,(15.35756,-36.52327),344.8308
20:25:52.803,(10.43315,-23.07537),11.77917,(15.19317,-35.74865),333.8331
20:25:52.902,(10.70199,-23.20699),18.33375,(14.31857,-35.34483),330.9632
20:25:53.009,(10.99416,-23.34902),25.8247,(12.98177,-35.05275),338.1765
20:25:53.112,(11.27118,-23.4825),33.31566,(12.00879,-34.88078),343.5761
20:25:53.207,(11.50187,-23.59267),39.87025,(11.91123,-34.39722),354.2431
20:25:53.316,(12.56318,-22.84579),47.06293,(11.2123,-33.81833),359.3577
20:25:53.410,(14.14971,-21.81143),65.21489,(11.15401,-33.22049),19.85579
20:25:53.501,(15.68311,-22.01639),128.1,(11.49127,-32.46198),17.52502
20:25:53.607,(17.41022,-22.2937),199.9616,(11.96329,-31.41998),29.64922
20:25:53.710,(19.02254,-22.63569),271.8272,(12.43929,-30.53398),41.82811
20:25:53.803,(20.2937,-22.92428),334.7097,(12.71731,-29.70737),30.82732
20:25:53.909,(21.64193,-23.16458),46.57556,(12.73647,-28.55541),31.32562
20:25:54.008,(22.81071,-23.31159),109.4582,(12.69551,-27.51529),33.10869
20:25:54.103,(23.99011,-23.47178),172.3409,(12.85133,-26.87778),44.84274
20:25:54.203,(25.28178,-23.72602),244.207,(13.98708,-27.27335),62.67552
20:25:54.304,(26.296,-23.97388),307.0898,(14.84466,-27.67581),72.10394
20:25:54.406,(27.33472,-24.19377),18.956,(15.73671,-28.13873),79.01134
20:25:54.501,(28.21606,-24.30811),81.83899,(16.39634,-28.79846),79.88216
20:25:54.603,(29.2541,-24.42202),153.7053,(16.96779,-29.6754),87.36118
20:25:54.712,(30.27833,-24.60443),225.5717,(17.50375,-30.57385),88.19554
20:25:54.809,(31.08473,-24.80998),288.4548,(17.97686,-30.1927),69.14414
20:25:54.911,(31.88509,-25.00685),0.3213664,(18.28788,-29.2319),66.6871
20:25:55.008,(32.81185,-25.13186),55.41841,(18.51515,-28.36991),57.50706
20:25:55.109,(34.34916,-25.46829),117.4482,(18.78408,-27.39211),59.70443
20:25:55.205,(33.78134,-25.80801),180.3317,(18.84082,-26.55679),53.66072
20:25:55.301,(33.24166,-26.19922),243.2153,(19.00509,-25.67357),51.3876
20:25:55.408,(32.5825,-26.65987),315.0823,(19.05808,-24.72368),41.15796
20:25:55.503,(31.9798,-26.99775),17.966,(19.125,-23.84787),37.38865
20:25:55.605,(31.35061,-27.28862),89.83315,(18.99829,-22.86915),18.52681
20:25:55.710,(30.83873,-27.56097),161.7004,(18.54019,-22.01899),1.072901
20:25:55.809,(30.44081,-27.85249),224.5843,(17.98155,-21.61897),332.6871
20:25:55.905,(29.95087,-28.22607),296.4517,(16.92667,-21.66158),327.9333
20:25:56.013,(29.40936,-28.54534),8.319189,(15.88587,-21.64564),315.8029
20:25:56.105,(28.96272,-28.74043),71.20329,(15.00505,-21.64473),312.0876
20:25:56.204,(28.59915,-28.9026),134.0874,(14.20716,-21.82886),305.9026
20:25:56.310,(28.26116,-29.13578),205.9551,(13.29058,-22.22096),301.1038
20:25:56.413,(27.95468,-29.39587),268.8394,(12.51024,-22.61738),288.1069
20:25:56.509,(27.54086,-29.67915),340.7073,(11.6374,-23.09469),274.9102
20:25:56.607,(27.16731,-29.85048),43.59171,(11.09498,-23.86672),275.7767
20:25:56.709,(26.81769,-29.97901),115.4596,(10.65938,-24.90717),263.9129
20:25:56.809,(26.59302,-30.11061),178.344,(10.39461,-25.79771),264.1129
20:25:56.903,(26.38311,-30.3031),241.2285,(10.00894,-26.57319),250.3163
20:25:57.008,(26.11684,-30.42869),295.3184,(9.608124,-27.46132),227.7885
20:25:57.101,(25.91275,-30.32973),313.8623,(9.525795,-28.32457),213.3255
20:25:57.209,(25.68517,-30.20285),335.0248,(9.534269,-29.30023),190.798
20:25:57.311,(25.49449,-30.06685),356.1161,(9.986723,-30.39165),174.9355
20:25:57.405,(25.32535,-29.96539),14.56195,(10.4149,-31.28393),149.142
20:25:57.503,(25.15231,-29.85818),33.08244,(10.87727,-32.01078),133.3461
20:25:57.606,(24.96942,-29.7282),54.18701,(11.63275,-32.6722),130.1474
20:25:57.705,(24.8094,-29.59708),75.61232,(12.59145,-33.4577),112.952
20:25:57.803,(24.68382,-29.48778),94.34058,(13.33352,-34.06783),107.8199
20:25:57.906,(24.55205,-29.37005),115.7431,(14.19396,-34.56414),90.65055
20:25:58.007,(24.44838,-29.27405),134.4702,(14.99354,-34.65443),64.87472
20:25:58.108,(24.34208,-29.17457),155.8726,(15.98073,-34.50694),62.96553
20:25:58.206,(24.25747,-29.09764),174.5998,(16.59166,-34.16778),39.44486
20:25:58.301,(24.17826,-29.03067),193.3269,(17.09818,-34.00228),36.02373
20:25:58.411,(24.09131,-28.96586),214.7294,(18.05279,-34.51326),44.86423
20:25:58.510,(24.00505,-28.91206),236.1319,(18.75604,-34.72291),42.48944
20:25:58.603,(23.92808,-28.87208),254.8591,(19.77131,-35.78373),48.362
20:25:58.701,(23.84858,-28.83651),273.5864,(20.55409,-36.64895),37.91406
20:25:58.807,(23.75417,-28.79836),294.989,(20.8647,-37.17511),20.05956
20:25:58.901,(23.66883,-28.76467),313.7162,(20.03833,-36.86265),17.11959
20:25:59.002,(23.56962,-28.72326),335.1189,(19.12967,-36.27916),5.639443
20:25:59.100,(23.48314,-28.68296),353.8462,(18.38262,-35.7159),1.388176
20:25:59.212,(23.37565,-28.62446),17.92426,(17.72099,-34.79642),11.92789
20:25:59.300,(23.30828,-28.58138),33.9763,(17.31338,-34.21794),21.6179
20:25:59.405,(23.22602,-28.5199),55.37907,(16.50138,-33.36776),26.08563
20:25:59.505,(23.15434,-28.45583),76.78186,(16.04007,-32.86536),37.90599
20:25:59.603,(23.10122,-28.39988),95.50933,(16.56027,-32.76204),62.89505
20:25:59.706,(23.0515,-28.3388),116.9122,(17.80776,-33.40241),69.04486
20:25:59.807,(23.01683,-28.29014),135.6397,(18.50187,-33.70769),65.96706
20:25:59.913,(22.98542,-28.24224),157.0426,(19.21635,-34.16536),66.82556
20:26:00.007,(22.963,-28.20835),175.7702,(19.86386,-34.83146),68.3688
20:26:00.108,(22.94023,-28.17941),197.1731,(19.99784,-34.73331),56.53627
20:26:00.208,(22.92026,-28.16227),215.9007,(19.9401,-33.75889),36.76678
20:26:00.311,(22.89473,-28.15071),237.3037,(19.88793,-32.79404),31.42969
20:26:00.411,(24.95062,-26.9436),255.0623,(19.58728,-32.00918),21.88898
20:26:00.512,(27.56241,-25.41114),276.4654,(19.15804,-31.07848),18.40025
20:26:00.613,(30.02959,-23.95873),297.8684,(19.22284,-30.2254),22.89636
20:26:00.711,(32.07605,-22.74782),316.5961,(19.24939,-29.37806),36.00005
20:26:00.803,(34.01034,-21.81393),348.4179,(18.9833,-28.54928),26.42017
20:26:00.917,(34.54074,-21.81921),340.0622,(18.52908,-27.43255),22.28786
20:26:01.008,(34.29388,-22.08305),314.0168,(18.3516,-26.77319),29.41943
20:26:01.108,(34.01541,-22.35834),284.2507,(17.24732,-25.93835),29.95262
20:26:01.202,(33.77116,-22.58256),258.2053,(16.62677,-25.40404),31.08566
20:26:01.301,(33.5256,-22.79785),232.1599,(16.16463,-24.68502),29.55271
20:26:01.412,(33.21123,-23.07062),198.673,(15.45818,-23.81416),22.15455
20:26:01.507,(32.97303,-23.28445),172.6276,(15.00463,-23.20204),39.2836
20:26:01.612,(32.71488,-23.53216),142.8614,(15.25726,-22.80548),45.81531
20:26:01.700,(32.53536,-23.71889),120.5368,(15.03374,-22.12841),44.21571
20:26:01.807,(32.31882,-23.96445),90.77059,(14.61255,-21.58276),32.7519
20:26:01.907,(32.12974,-24.19908),61.00435,(14.78884,-21.70244),50.61409
20:26:02.007,(31.98483,-24.38932),34.9589,(15.05925,-21.60983),39.75015
20:26:02.106,(31.83705,-24.58428),5.19264,(14.47407,-21.71571),38.28384
20:26:02.208,(31.71692,-24.73339),339.1472,(13.73737,-21.57083),25.42039
20:26:02.308,(31.58202,-24.88077),309.3809,(12.86252,-21.61677),23.95409
20:26:02.407,(31.4605,-24.9937),283.3354,(12.08414,-21.51926),10.42414
20:26:02.509,(31.31384,-25.11176),253.5691,(11.51031,-21.75128),21.62135
20:26:02.614,(31.15884,-25.22668),223.8027,(12.79696,-22.79242),25.48705
20:26:02.701,(31.03939,-25.31556),201.478,(13.58232,-23.39285),36.55095
20:26:02.800,(30.88137,-25.44169),171.7116,(14.43957,-24.00954),57.74566
20:26:02.904,(30.73232,-25.57752),141.9453,(15.38041,-24.60435),70.22086
20:26:03.003,(30.61521,-25.70203),115.8997,(15.95672,-25.37112),91.61443
20:26:03.108,(30.50113,-25.84514),86.13328,(16.60797,-25.91853),84.69595
20:26:03.212,(30.40924,-25.98133),56.36688,(16.92761,-27.09832),96.96236
20:26:03.303,(30.34479,-26.08864),30.32125,(17.29292,-27.84947),82.67417
20:26:03.403,(30.29069,-26.18088),4.275588,(17.88362,-28.02718),74.71736
20:26:03.504,(30.23423,-26.26602),334.5091,(18.70876,-27.58361),69.91081
20:26:03.606,(30.18298,-26.32414),308.4634,(19.39203,-27.08441),61.02564
20:26:03.710,(30.11606,-26.37686),278.6968,(20.19075,-26.54314),76.19495
20:26:03.805,(30.04745,-26.41711),252.6511,(20.97951,-26.18011),60.63504
20:26:03.908,(29.95794,-26.46427),222.8844,(21.76261,-25.56572),56.47051
20:26:04.008,(29.87322,-26.51215),196.8386,(22.2297,-25.06592),64.26857
20:26:04.100,(29.7875,-26.56946),170.7928,(23.16857,-25.13414),78.01594
20:26:04.207,(29.69558,-26.64701),141.0261,(23.94443,-24.94572),66.50681
20:26:04.308,(29.61738,-26.73414),111.2594,(24.89255,-24.45014),80.32862
20:26:04.405,(29.56413,-26.813),85.21355,(25.45914,-23.84683),70.78669
20:26:04.507,(29.52155,-26.89866),55.44685,(25.81847,-22.96838),71.31988
20:26:04.614,(29.49546,-26.97202),25.68013,(26.22133,-22.04643),58.52305
20:26:04.709,(29.481,-27.02175),359.6342,(26.40373,-21.72867),56.32358
20:26:04.813,(29.46639,-27.06053),329.8675,(26.38614,-21.67929),45.52629
20:26:04.905,(29.44896,-27.08047),303.8215,(25.96771,-21.72416),42.66034
20:26:05.011,(29.41801,-27.09264),274.0547,(25.39969,-21.64569),29.86353
20:26:05.106,(29.37907,-27.10018),248.0088,(24.66825,-21.63634),27.66408
20:26:05.205,(29.32984,-27.11089),221.9628,(23.88267,-21.58129),17.46663
20:26:05.302,(29.26522,-27.13309),192.196,(22.87119,-21.54513),12.06202
20:26:05.403,(29.20704,-27.16424),166.15,(22.14447,-21.53389),10.57777
20:26:05.506,(29.14628,-27.21321),136.3831,(21.39775,-21.54599),351.872
20:26:05.605,(29.10371,-27.26474),110.3371,(20.51666,-21.76857),330.1616
20:26:05.702,(29.07134,-27.32719),80.57024,(19.53088,-21.91136),310.5864
20:26:09.836,(16,-23.75434),180,(15.08511,-68.94701),349.5099
20:26:09.939,(16,-23.02761),180,(14.61321,-67.73105),348.6996
20:26:10.037,(16,-22.59172),180,(14.22305,-67.00801),337.8149
20:26:10.133,(15.99999,-22.33124),180,(13.48388,-66.36009),335.6342
20:26:10.238,(15.99998,-22.29095),180,(12.75538,-65.86754),324.7416
20:26:10.333,(15.99996,-22.29089),180,(11.84738,-65.47318),319.9428
20:26:10.435,(15.99995,-22.2934),180,(11.04509,-65.15846),305.7464
20:26:10.538,(15.99994,-22.3292),180,(10.09241,-64.96954),304.9466
20:26:10.640,(15.99993,-22.34356),180,(9.33125,-65.19398),297.4818
20:26:10.736,(15.99993,-22.34351),180,(9.354104,-65.493),291.9498
20:26:10.836,(15.99993,-22.35654),180,(9.312713,-66.14879),281.0859
20:26:10.939,(15.99993,-22.85271),180,(9.235168,-67.16461),278.2866
20:26:11.040,(15.99993,-23.71993),180,(9.219332,-68.11749),268.8223
20:26:11.134,(15.99992,-24.38272),180,(9.349279,-68.99356),267.9558
20:26:11.234,(15.99992,-25.15688),180,(9.258883,-69.83127),255.0924
20:26:11.332,(15.99991,-25.81924),180,(9.261738,-70.85364),253.6261
20:26:11.433,(15.99989,-26.11067),180,(9.301451,-71.74866),243.4286
20:26:11.533,(15.97417,-25.72625),170.9778,(9.323536,-72.75967),235.6125
20:26:11.635,(15.93903,-25.05462),156.1195,(9.329504,-73.13563),212.6582
20:26:11.734,(16.07184,-24.96466),144.3011,(9.591436,-73.06724),203.1407
20:26:11.839,(16.81145,-25.17292),144.2586,(10.70488,-72.99761),192.9658
20:26:11.935,(17.61882,-25.14713),144.2586,(11.44687,-73.12501),180.9022
20:26:12.036,(18.27359,-25.31791),144.2585,(12.28756,-73.12817),157.7747
20:26:12.134,(18.92274,-25.73637),144.9669,(13.36298,-72.94103),146.9023
20:26:12.237,(19.43912,-26.21171),148.9004,(14.19976,-72.64587),129.0388
20:26:12.340,(20.00119,-26.88641),156.9374,(15.20003,-71.97973),120.5066
20:26:12.445,(20.47788,-27.64218),165.1837,(16.02778,-71.28031),104.7697
20:26:12.533,(20.91246,-28.30515),170.4727,(16.75345,-70.62168),94.31602
20:26:12.647,(21.76091,-28.88317),175.5691,(17.60454,-69.81693),72.33705
20:26:12.735,(22.59681,-29.23729),179.8142,(18.32622,-69.08717),58.67019
20:26:12.832,(23.45292,-29.52317),183.4142,(18.99956,-68.42034),56.00974
20:26:12.935,(24.45656,-29.82017),187.4309,(19.83768,-67.77192),43.48671
20:26:13.034,(25.3482,-30.0038),191.0208,(20.25834,-67.14639),21.51327
20:26:13.132,(26.36518,-30.21888),194.9681,(19.6441,-66.05255),10.18847
20:26:13.232,(27.2327,-30.47024),197.3389,(18.98648,-65.08759),11.34766
20:26:13.331,(28.12832,-30.56142),197.3683,(18.77983,-64.14547),7.908457
20:26:13.430,(27.90618,-30.25481),197.3683,(19.20401,-63.40723),14.96499
20:26:13.535,(26.98061,-29.79116),197.3683,(19.70939,-62.46902),21.02604
20:26:13.639,(26.02074,-29.39881),197.3683,(20.13507,-61.81541),15.22838
20:26:13.735,(25.16288,-29.09125),197.3684,(21.02269,-61.55041),19.43276
20:26:13.837,(24.30016,-28.80646),197.3684,(21.73494,-61.20754),18.3252
