Timestamp,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
17:27:10.638,Init,0,3,3,0
17:27:10.638,ResetScene,0,0,3,3,0
17:27:16.575,S,0,0,3,3,0
17:27:17.264,PurplePickedUpBall,0,1,3,3,0
17:27:20.556,BluePickedUpBall,1,1,3,3,0
17:27:22.019,BlueThrewBall,0,1,3,3,0
17:27:22.546,PurpleThrewBall,0,0,3,3,0
17:27:22.991,PurplePickedUpBall,0,1,3,3,0
17:27:23.015,PurpleThrewBall,0,0,3,3,0
17:27:24.121,BluePickedUpBall,1,0,3,3,0
17:27:24.392,PurplePickedUpBall,1,1,3,3,0
17:27:25.397,PurpleThrewBall,1,0,3,3,0
17:27:26.169,BluePickedUpBall,2,0,3,3,0
17:27:26.510,BluePickedUpBall,3,0,3,3,0
17:27:28.366,PurplePickedUpBall,3,1,3,3,0
17:27:28.682,PurpleThrewBall,3,0,3,3,0
17:27:29.116,BluePickedUpBall,4,0,3,3,0
17:27:29.916,PurplePickedUpBall,4,1,3,3,0
17:27:30.650,PurpleThrewBall,4,0,3,3,0
17:27:30.828,HitBlue,4,0,2,3,0
17:27:43.875,PurplePickedUpBall,4,1,2,3,0
17:27:44.251,PurplePickedUpBall,4,2,2,3,0
17:27:45.465,PurplePickedUpBall,4,3,2,3,0
17:27:46.045,PurpleThrewBall,4,2,2,3,0
17:27:47.238,PurpleThrewBall,4,1,2,3,0
17:27:47.535,PurpleThrewBall,4,0,2,3,0
17:27:49.524,PurplePickedUpBall,4,1,2,3,0
17:27:51.607,PurplePickedUpBall,4,2,2,3,0
17:27:54.112,PurpleThrewBall,4,1,2,3,0
17:27:54.156,HitBlue,4,1,1,3,0
17:27:55.135,BlueThrewBall,3,1,1,3,0
17:27:55.295,PurplePickedUpBall,3,2,1,3,0
17:27:56.307,BluePickedUpBall,4,2,1,3,0
17:28:01.303,PurpleThrewBall,4,1,1,3,0
17:28:01.666,HitBlue,4,1,0,3,0
17:28:01.681,GameEnd,0,1,0,3,0
17:28:03.722,WinScreenStart,0,1,0,3,0
17:28:06.053,PurpleThrewBall,0,0,0,3,0
17:28:06.196,PurplePickedUpBall,0,1,0,3,0
17:28:07.097,PurpleThrewBall,0,0,0,3,0
17:28:07.264,PurplePickedUpBall,0,1,0,3,0
17:28:07.475,PurpleThrewBall,0,0,0,3,0
17:28:08.308,PurplePickedUpBall,0,1,0,3,0
17:28:08.340,PurpleThrewBall,0,0,0,3,0
17:28:10.319,PurplePickedUpBall,0,1,0,3,0
17:28:11.264,PurpleThrewBall,0,0,0,3,0
17:28:11.477,PurplePickedUpBall,0,1,0,3,0
17:28:13.802,PurplePickedUpBall,0,2,0,3,0
17:28:13.878,PurpleThrewBall,0,1,0,3,0
17:28:14.152,PurpleThrewBall,0,0,0,3,0
17:28:14.409,PurplePickedUpBall,0,1,0,3,0
17:28:14.528,PurpleThrewBall,0,0,0,3,0
17:28:14.902,PurplePickedUpBall,0,1,0,3,0
17:28:14.924,PurplePickedUpBall,0,2,0,3,0
17:28:15.396,PurpleThrewBall,0,1,0,3,0
17:28:18.840,PurplePickedUpBall,0,2,0,3,0
17:28:18.952,PurpleThrewBall,0,1,0,3,0
17:28:19.747,ResetScene,0,0,3,3,0
17:28:24.692,PurplePickedUpBall,0,1,3,3,0
17:28:24.793,PurplePickedUpBall,0,2,3,3,0
17:28:25.056,PurplePickedUpBall,0,3,3,3,0
17:28:25.720,PurpleThrewBall,0,2,3,3,0
17:28:26.099,PurpleThrewBall,0,1,3,3,0
17:28:26.174,BluePickedUpBall,1,1,3,3,0
17:28:26.493,PurpleThrewBall,1,0,3,3,0
17:28:26.699,HitBlue,1,0,2,3,0
17:28:26.809,BluePickedUpBall,2,0,2,3,0
17:28:27.383,BluePickedUpBall,3,0,2,3,0
17:28:27.385,PurplePickedUpBall,3,1,2,3,0
17:28:31.685,PurplePickedUpBall,3,2,2,3,0
17:28:34.795,PurpleThrewBall,3,1,2,3,0
17:28:35.123,PurpleThrewBall,3,0,2,3,0
17:28:36.188,PurplePickedUpBall,3,1,2,3,0
17:28:37.019,PurpleThrewBall,3,0,2,3,0
17:28:37.054,HitBlue,3,0,1,3,0
17:28:37.071,BluePickedUpBall,4,0,1,3,0
17:28:39.369,PurplePickedUpBall,4,1,1,3,0
17:28:42.276,PurpleThrewBall,4,0,1,3,0
17:28:43.956,PurplePickedUpBall,4,1,1,3,0
17:28:44.443,PurpleThrewBall,4,0,1,3,0
17:28:47.716,PurplePickedUpBall,4,1,1,3,0
17:28:50.180,BlueThrewBall,3,1,1,3,0
17:28:51.621,BlueThrewBall,2,1,1,3,0
17:28:54.285,BlueThrewBall,1,1,1,3,0
17:28:54.465,PurpleThrewBall,1,0,1,3,0
17:28:54.548,HitBlue,1,0,0,3,0
17:28:54.554,GameEnd,0,0,0,3,0
17:28:55.488,PurplePickedUpBall,0,1,0,3,0
17:28:56.335,PurpleThrewBall,0,0,0,3,0
17:28:56.549,WinScreenStart,0,0,0,3,0
17:28:59.935,PurplePickedUpBall,0,1,0,3,0
