Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
17:24:03.616,(16,8.66),180,(15.99944,-35.02813),358.7025
17:24:05.014,(16.18108,8.991798),208.625,(17.3346,-34.91748),5.633136
17:24:05.074,(16.59761,9.755018),208.625,(19.07839,-34.53729),352.2932
17:24:05.215,(17.03457,10.55568),208.625,(20.28585,-34.27404),335.937
17:24:05.355,(17.28341,11.01169),208.625,(21.08545,-34.00949),330.5494
17:24:05.499,(17.38535,11.19856),208.625,(21.65956,-33.39597),316.4085
17:24:05.603,(17.41515,11.25322),209.125,(22.09392,-32.522),317.1696
17:24:05.646,(17.41515,11.25327),209.125,(22.3375,-31.83878),333.3066
17:24:05.695,(17.41514,11.25334),209.5,(22.77531,-30.9486),336.2114
17:24:05.809,(17.41513,11.2534),214.3743,(23.29111,-30.09744),348.9562
17:24:05.902,(17.41512,11.25345),215.625,(23.76105,-29.37435),357.4912
17:24:06.018,(17.41512,11.25351),215.625,(24.36048,-28.61594),357.9995
17:24:06.095,(17.41512,11.25357),215.625,(25.12489,-27.79018),351.8807
17:24:06.248,(17.41512,11.25363),215.625,(26.78476,-25.79663),327.8725
17:24:06.356,(17.41512,11.25369),212.125,(27.80558,-24.5706),303.8627
17:24:06.398,(17.41511,11.25375),206.5,(27.77894,-24.39499),282.8544
17:24:06.615,(17.41511,11.2538),206.5,(27.01407,-24.78162),290.6405
17:24:06.677,(17.41511,11.25385),204.7501,(26.14692,-24.86037),276.2759
17:24:06.709,(17.41511,11.2539),204.75,(25.30531,-25.01436),255.6604
17:24:06.806,(17.41509,11.25396),204.125,(24.34378,-25.08384),240.813
17:24:06.901,(18.20176,10.9017),204.125,(23.37485,-25.28765),249.6729
17:24:07.031,(19.01106,10.53927),204.125,(22.53532,-25.39145),248.327
17:24:07.079,(19.81314,10.18013),204.125,(21.73966,-25.47294),233.2985
17:24:07.227,(20.73581,9.767151),204.125,(19.93138,-25.91427),214.0066
17:24:07.316,(21.65561,9.341466),204.1251,(18.0211,-26.36413),205.1118
