Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
13:35:24.152,(16,8.66),180,(15.99944,-35.02813),358.7025
13:38:37.346,(15.99999,8.660019),180,(17.03141,-34.98358),2.81225
13:38:37.455,(15.99998,8.660064),180,(19.07839,-34.5373),352.2082
13:38:37.557,(15.99996,8.660112),180,(20.28585,-34.27404),336.4072
13:38:37.662,(15.99995,8.660152),180,(20.9959,-34.0401),330.691
13:38:37.750,(15.99994,8.660192),180,(21.48668,-33.44984),311.6583
13:38:37.863,(15.99992,8.660232),180,(21.62302,-32.5755),293.2685
13:38:37.956,(15.99991,8.66028),180,(21.43164,-31.74254),299.0706
13:38:38.061,(15.9999,8.660318),180,(21.25883,-31.19754),296.1795
13:38:38.148,(15.99988,8.660356),180,(21.4158,-30.37619),309.1227
13:38:38.258,(15.99987,8.660406),180,(21.54462,-29.42441),324.9639
13:38:38.349,(15.99986,8.660442),180,(21.73388,-28.5567),332.8738
13:38:38.466,(15.99984,8.660489),177.1497,(22.1848,-27.4038),349.873
13:38:38.559,(15.99983,8.66054),149.3087,(23.1359,-25.64224),326.086
13:38:38.662,(15.99982,8.660588),125.1614,(23.50165,-24.72609),294.619
13:38:38.751,(15.65384,8.798944),105.9711,(23.59027,-23.87432),268.4664
13:38:38.855,(14.87991,9.093153),105.2152,(23.23213,-23.00396),274.941
13:38:38.957,(14.47359,9.247159),105.2152,(22.62405,-22.19238),265.7039
13:38:39.066,(14.32053,9.30519),107.0751,(22.03973,-21.55032),247.613
13:38:39.156,(14.2911,9.316387),121.9381,(21.3062,-20.89262),241.5654
13:38:39.261,(14.29108,9.316433),138.7381,(20.57981,-20.39673),261.8009
13:38:39.351,(14.29107,9.316474),150.2358,(19.85548,-19.91133),262.043
13:38:39.455,(14.29105,9.316527),150.2619,(19.0488,-19.44052),249.5052
13:38:39.550,(14.29103,9.316582),150.2619,(17.75916,-18.63829),235.3359
13:38:39.659,(14.29102,9.316638),150.2619,(16.05449,-17.48039),222.492
13:38:39.757,(14.29279,9.313561),150.2619,(15.05233,-16.80218),203.4379
13:38:39.870,(14.43971,9.056395),150.2619,(14.41562,-16.61198),189.2766
13:38:39.955,(14.80337,8.419845),150.2619,(13.72356,-16.84738),177.1576
13:38:40.059,(15.17497,7.769375),150.2619,(13.30543,-17.3361),159.4694
13:38:40.158,(15.5922,7.039055),150.2619,(13.77603,-17.05041),135.4601
13:38:40.259,(15.41485,7.349507),150.2619,(14.54407,-16.76592),114.4519
13:38:40.349,(15.12434,7.858123),150.2619,(15.39125,-16.70644),100.1603
13:38:40.454,(14.95384,8.156639),150.2619,(16.37951,-16.71806),84.56652
13:38:40.554,(14.89615,8.257651),150.2619,(17.36102,-16.79761),69.25578
13:38:40.663,(14.8943,8.260921),150.2619,(18.32346,-16.39492),51.92611
13:38:40.748,(15.21785,8.445802),150.2619,(19.66352,-14.89704),40.67109
13:38:40.857,(16.09164,8.945008),150.2619,(20.33035,-14.16602),45.59532
13:38:40.949,(16.84498,9.375415),150.2618,(20.9834,-13.61742),24.58989
13:38:41.057,(17.73407,9.883364),150.2617,(21.61676,-12.888),0.580314
13:38:41.149,(18.44675,10.29056),150.2617,(21.90935,-12.09006),343.0642
13:38:41.266,(18.94252,10.54591),150.3619,(22.19486,-11.17932),344.2413
13:38:41.355,(19.45171,10.25329),153.0689,(22.56869,-10.26641),321.5628
13:38:41.456,(19.94232,9.640658),156.1173,(22.77426,-9.419933),334.2372
13:38:41.556,(20.43404,8.84906),160.5486,(22.8101,-8.471525),321.5826
13:38:41.660,(20.79505,8.138485),164.8596,(22.82029,-7.609674),316.4739
13:38:41.750,(21.01316,7.701952),169.3157,(23.04184,-6.030676),330.406
13:38:41.867,(21.27589,6.783895),174.4121,(23.42567,-3.99477),336.5889
13:38:41.954,(21.45991,5.861217),179.5085,(23.65196,-2.790866),346.1797
13:38:42.064,(21.55625,5.072658),182.1092,(23.74663,-1.934546),332.3849
13:38:42.154,(21.61229,4.163416),182.1092,(23.84316,-0.9733647),339.0588
13:38:42.265,(21.62929,3.434898),182.1092,(23.9141,-0.1445712),324.3425
13:38:42.354,(21.03336,5.156623),182.1092,(24.00483,0.8447308),324.0527
13:38:42.457,(20.63869,6.59117),181.9327,(23.98799,1.661748),309.2483
13:38:42.546,(20.68965,7.41234),181.8268,(23.58522,2.37091),305.9045
13:38:42.665,(21.35559,7.829249),181.5855,(23.12968,3.247263),326.2885
13:38:42.750,(21.65692,7.673463),180.1504,(22.71739,3.963465),331.7372
13:38:42.861,(21.81926,7.502393),167.8001,(20.79815,2.644659),352.1375
13:38:42.956,(22.19488,7.584139),162.1931,(19.8377,1.809813),10.31017
13:38:43.061,(23.02105,7.828528),162.1872,(19.1752,1.458685),21.17751
13:38:43.155,(23.89235,8.093871),162.1873,(18.76003,1.119866),45.18581
13:38:43.260,(24.32123,8.224847),162.1873,(19.16546,0.9230855),30.89366
13:38:43.350,(24.53428,8.289932),162.1873,(19.4327,1.585411),19.66904
13:38:43.461,(24.60061,8.310225),162.3915,(19.84797,2.446905),33.79935
13:38:43.550,(24.60195,8.302735),173.7537,(20.17257,3.158965),28.96877
13:38:43.659,(24.60284,8.12032),192.9537,(19.99707,3.991322),43.26004
13:38:43.759,(24.46894,7.823476),212.1537,(19.6942,4.752405),53.14897
13:38:43.858,(23.61697,8.017066),228.9537,(20.1821,4.497288),68.53654
13:38:43.957,(22.72618,8.489046),248.1537,(21.99737,3.026961),54.13078
13:38:44.059,(22.11531,9.096084),264.9536,(22.96776,2.240995),41.52256
13:38:44.150,(21.68662,9.863025),281.7534,(23.67425,1.758424),29.89298
13:38:44.265,(21.48233,10.84549),300.9533,(24.47856,1.571659),16.16262
13:38:44.355,(21.62326,11.81816),319.5857,(24.61451,1.869371),1.508811
13:38:44.466,(22.3072,12.26213),322.3634,(24.60134,1.668761),342.9411
13:38:44.550,(23.05373,12.28101),322.3633,(24.22305,1.061072),327.7777
13:38:44.655,(23.86046,12.23463),322.3633,(23.68853,0.3257753),331.6825
13:38:44.748,(23.30585,11.44294),322.3633,(23.12103,-0.173953),347.6846
13:38:44.855,(22.64501,10.68574),322.3632,(22.50214,-0.6761833),353.2415
13:38:44.954,(21.91712,9.984234),322.3631,(22.07787,0.6698065),352.228
13:38:45.059,(21.25375,9.398877),322.3632,(22.09423,2.427451),7.34445
13:38:45.153,(20.4878,8.758728),322.3632,(22.11025,3.685809),3.292362
13:38:45.259,(19.70746,8.095114),322.3632,(22.35931,4.597651),339.2828
13:38:45.352,(19.05805,7.493373),322.0016,(22.29143,5.366031),318.1144
13:38:45.452,(18.44444,6.86937),318.7019,(21.73035,5.714195),295.479
13:38:45.553,(17.7707,6.106091),314.8524,(20.78941,5.643563),269.5375
13:38:45.661,(17.14835,5.306982),311.5112,(20.15028,5.19391),262.8624
13:38:45.749,(16.44974,4.626548),309.1515,(19.56797,4.811691),261.9688
13:38:45.855,(14.64111,3.901619),307.9977,(18.78845,4.348312),267.3646
13:38:45.950,(13.70499,3.548901),307.7505,(18.04685,4.263244),263.9542
13:38:46.056,(12.97699,2.980361),307.4681,(17.32805,4.621248),254.6468
13:38:46.149,(12.32048,2.509023),307.2209,(16.89061,5.962177),252.4428
13:38:46.256,(11.63733,1.370171),307.0739,(16.84207,8.024765),233.9844
13:38:46.349,(11.20644,0.6192959),307.0739,(16.81537,9.159282),212.976
13:38:46.452,(10.70915,-0.2723076),309.6006,(16.5791,10.03591),190.1783
13:38:46.549,(10.24119,-1.024148),323.6736,(16.21082,10.39983),176.0637
13:38:46.656,(9.594816,-1.776824),342.8736,(15.46801,10.9194),175.13
13:38:46.760,(9.348503,-2.363672),2.073522,(14.53897,11.19405),173.4854
13:38:46.855,(10.1305,-2.772114),13.46607,(13.77746,11.31438),182.4412
13:38:46.951,(11.03838,-3.201841),14.63773,(12.79725,11.20021),159.064
13:38:47.054,(11.83601,-3.579927),14.63773,(12.21468,10.83162),143.6757
13:38:47.148,(12.63517,-3.963934),14.63772,(12.83347,10.31729),146.5511
13:38:47.254,(13.52914,-4.408533),14.6377,(14.86733,9.280534),152.5494
13:38:47.353,(13.83307,-4.959516),14.63774,(16.44178,8.491157),129.7664
13:38:47.453,(13.40963,-5.572348),14.63775,(17.26599,8.043037),111.2391
13:38:47.547,(13.04819,-6.323018),14.63776,(17.92102,7.452428),105.367
13:38:47.654,(12.71879,-7.154267),14.63769,(18.53192,6.716761),104.1512
13:38:47.752,(12.43381,-8.004586),14.63768,(19.23337,6.123943),92.45564
13:38:47.858,(12.17629,-8.857385),14.63771,(19.97256,5.492424),75.39115
