Time: 14:02:20.089, Winner: Purple, Blue lives left: 0, Purple lives left: 3
Time: 14:02:55.508, Winner: Purple, Blue lives left: 0, Purple lives left: 3
Time: 14:03:29.024, Winner: Purple, Blue lives left: 0, Purple lives left: 3
Time: 14:04:16.849, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 14:05:01.344, Winner: Purple, Blue lives left: 0, Purple lives left: 3
Time: 14:05:43.782, Winner: Purple, Blue lives left: 0, Purple lives left: 1
Time: 14:06:33.781, Winner: Purple, Blue lives left: 0, Purple lives left: 1
Time: 14:07:19.124, Winner: Purple, Blue lives left: 0, Purple lives left: 1
Time: 14:07:44.965, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 14:08:30.027, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 14:09:46.649, Winner: Purple, Blue lives left: 0, Purple lives left: 1
Time: 14:10:36.534, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 14:11:21.276, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 14:11:46.365, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 14:12:47.943, Winner: Purple, Blue lives left: 0, Purple lives left: 3
Time: 14:13:38.091, Winner: Purple, Blue lives left: 0, Purple lives left: 3
Time: 14:14:24.125, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 14:14:47.358, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 14:15:20.275, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 14:15:52.674, Winner: Purple, Blue lives left: 0, Purple lives left: 3
Time: 14:16:38.137, Winner: Purple, Blue lives left: 0, Purple lives left: 2
Time: 14:17:03.750, Winner: Purple, Blue lives left: 0, Purple lives left: 3
Time: 14:17:29.852, Winner: Purple, Blue lives left: 0, Purple lives left: 3
Time: 14:17:52.430, Winner: Purple, Blue lives left: 0, Purple lives left: 3
Time: 14:18:25.486, Winner: Purple, Blue lives left: 0, Purple lives left: 3
Time: 14:19:07.975, Winner: Purple, Blue lives left: 0, Purple lives left: 3
Time: 14:20:10.262, Winner: Blue, Blue lives left: 1, Purple lives left: 0
Time: 14:21:20.417, Winner: Purple, Blue lives left: 0, Purple lives left: 1
