,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
1504,0.0,ResetScene,0,0,3,3,0.0
1505,4.024,FinishCountDown,0,0,3,3,0.0
1506,4.036,PurpleDash,0,0,3,3,0.0
1507,5.139,PurpleDash,0,0,3,3,0.0
1508,6.215,PurpleDash,0,0,3,3,0.0
1509,7.023,BluePickedUpBall,1,0,3,3,0.0
1510,7.239,BluePickedUpBall,2,0,3,3,0.0
1511,7.346,PurpleDash,2,0,3,3,0.0
1512,8.185,BluePickedUpBall,3,0,3,3,0.0
1513,8.193,PurplePickedUpBall,3,1,3,3,0.0
1514,8.422,PurpleDash,3,1,3,3,0.0
1515,8.458,PurplePickedUpBall,3,2,3,3,0.0
1516,9.077,PurpleThrewBall,3,1,3,3,0.0
1517,9.478,PurpleDash,3,1,3,3,0.0
1518,9.676,PurpleThrewBall,3,0,3,3,0.0
1519,10.607,PurpleDash,3,0,3,3,0.0
1520,11.417,BlueThrewBall,2,0,3,3,0.0
1521,11.521,HitPurple,2,0,3,2,0.0
1522,11.671,PurpleDash,2,0,3,2,0.0
1523,11.997,BluePickedUpBall,3,0,3,2,0.0
1524,12.502,BlueThrewBall,2,0,3,2,0.0
1525,12.52,HitPurple,2,0,3,1,0.0
1526,12.873,PurpleDash,2,0,3,1,0.0
1527,13.084,PurplePickedUpBall,2,1,3,1,0.0
1528,13.669,PurpleThrewBall,2,0,3,1,0.0
1529,13.672,HitBlue,2,0,2,1,0.0
1530,13.936,PurpleDash,2,0,2,1,0.0
1531,14.744,PurplePickedUpBall,2,1,2,1,0.0
1532,14.87,PurpleThrewBall,2,0,2,1,0.0
1533,14.922,HitBlue,2,0,1,1,0.0
1534,14.952,BluePickedUpBall,3,0,1,1,0.0
1535,15.005,PurpleDash,3,0,1,1,0.0
1536,16.335,PurpleDash,3,0,1,1,0.0
1537,16.338,PurplePickedUpBall,3,1,1,1,0.0
1538,16.402,PurpleThrewBall,3,0,1,1,0.0
1539,16.431,BlueThrewBall,2,0,1,1,0.0
1540,17.206,BlueThrewBall,1,0,1,1,0.0
1541,17.468,PurpleDash,1,0,1,1,0.0
1542,18.479,BlueThrewBall,0,0,1,1,0.0
1543,18.544,PurpleDash,0,0,1,1,0.0
1544,18.595,PurplePickedUpBall,0,1,1,1,0.0
1545,19.6,PurpleDash,0,1,1,1,0.0
1546,19.668,PurpleThrewBall,0,0,1,1,0.0
1547,19.694,HitBlue,0,0,0,1,0.0
