Timestamp,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
10:35:53.748,Init,0,3,3,0
10:35:53.748,ResetScene,0,0,3,3,0
10:35:57.760,FinishCountDown,0,0,3,3,0
10:36:46.798,S,0,0,3,3,0
10:36:47.667,PurplePickedUpBall,0,1,3,3,0
10:36:47.962,PurplePickedUpBall,0,2,3,3,0
10:36:48.242,BluePickedUpBall,1,2,3,3,0
10:36:48.734,BluePickedUpBall,2,2,3,3,0
10:36:49.696,PurplePickedUpBall,2,3,3,3,0
10:36:49.741,PurpleThrewBall,2,2,3,3,0
10:36:50.134,PurplePickedUpBall,2,3,3,3,0
10:36:51.417,PurplePickedUpBall,2,4,3,3,0
10:36:51.894,PurpleThrewBall,2,3,3,3,0
10:36:51.936,HitBlue,2,3,2,3,0
10:36:51.992,BlueThrewBall,1,3,2,3,0
10:36:54.229,BlueThrewBall,0,3,2,3,0
10:36:54.534,PurplePickedUpBall,0,4,2,3,0
10:36:55.026,BlueDash,0,4,2,3,0
10:36:56.883,BlueDash,0,4,2,3,0
10:36:58.401,BlueDash,0,4,2,3,0
10:36:59.790,PurpleThrewBall,0,3,2,3,0
10:37:01.358,PurplePickedUpBall,0,4,2,3,0
10:37:01.768,PurpleThrewBall,0,3,2,3,0
10:37:01.771,HitBlue,0,3,1,3,0
10:37:01.772,BluePickedUpBall,1,3,1,3,0
10:37:01.998,BlueDash,1,3,1,3,0
10:37:05.688,BluePickedUpBall,2,3,1,3,0
10:37:05.704,BluePickedUpBall,3,3,1,3,0
10:37:05.955,PurplePickedUpBall,3,4,1,3,0
10:37:06.436,PurpleThrewBall,3,3,1,3,0
10:37:06.464,HitBlue,3,3,0,3,0
10:37:06.472,GameEnd,0,3,0,3,0
10:37:08.467,WinScreenStart,0,3,0,3,0
10:37:19.477,ResetScene,0,0,3,3,0
10:37:23.491,FinishCountDown,0,0,3,3,0
10:37:24.451,PurplePickedUpBall,0,1,3,3,0
10:37:25.466,PurpleThrewBall,0,0,3,3,0
10:37:25.491,PurplePickedUpBall,0,1,3,3,0
10:37:25.668,PurplePickedUpBall,0,2,3,3,0
10:37:26.095,PurpleThrewBall,0,1,3,3,0
10:37:26.264,BluePickedUpBall,1,1,3,3,0
10:37:27.423,PurplePickedUpBall,1,2,3,3,0
10:37:27.543,BlueDash,1,2,3,3,0
10:37:28.584,PurplePickedUpBall,1,3,3,3,0
10:37:30.473,BluePickedUpBall,2,3,3,3,0
10:37:32.446,PurplePickedUpBall,2,4,3,3,0
10:37:32.541,BlueThrewBall,1,4,3,3,0
10:37:32.640,HitPurple,1,4,3,2,0
10:37:32.714,PurpleThrewBall,1,3,3,2,0
10:37:33.601,PurpleThrewBall,1,2,3,2,0
10:37:34.373,BluePickedUpBall,2,2,3,2,0
10:37:34.503,BlueThrewBall,1,2,3,2,0
10:37:34.850,PurplePickedUpBall,1,3,3,2,0
10:37:38.516,BluePickedUpBall,2,3,3,2,0
10:37:39.012,PurplePickedUpBall,2,4,3,2,0
10:37:39.996,BluePickedUpBall,3,4,3,2,0
10:37:44.776,BluePickedUpBall,4,4,3,2,0
10:37:46.124,BlueThrewBall,3,4,3,2,0
10:37:46.195,HitPurple,3,4,3,1,0
10:37:46.938,PurpleThrewBall,3,3,3,1,0
10:37:47.564,PurpleThrewBall,3,2,3,1,0
10:37:47.659,HitBlue,3,2,2,1,0
10:37:47.716,BluePickedUpBall,4,2,2,1,0
10:37:47.856,PurpleThrewBall,4,1,2,1,0
10:37:47.925,HitBlue,4,1,1,1,0
10:37:48.182,BlueThrewBall,3,1,1,1,0
10:37:48.778,PurpleThrewBall,3,0,1,1,0
10:37:48.964,PurplePickedUpBall,3,1,1,1,0
10:37:49.933,PurpleThrewBall,3,0,1,1,0
10:37:50.008,HitBlue,3,0,0,1,0
10:37:50.012,GameEnd,0,0,0,1,0
10:37:52.013,WinScreenStart,0,0,0,1,0
10:38:03.021,ResetScene,0,0,3,3,0
10:38:07.038,FinishCountDown,0,0,3,3,0
10:38:08.032,BluePickedUpBall,1,0,3,3,0
10:38:08.404,PurplePickedUpBall,1,1,3,3,0
10:38:08.442,PurplePickedUpBall,1,2,3,3,0
10:38:08.605,PurplePickedUpBall,1,3,3,3,0
10:38:08.977,BluePickedUpBall,2,3,3,3,0
10:38:09.504,PurplePickedUpBall,2,4,3,3,0
10:38:09.592,PurpleThrewBall,2,3,3,3,0
10:38:09.792,PurplePickedUpBall,2,4,3,3,0
10:38:10.462,BluePickedUpBall,3,4,3,3,0
10:38:11.105,PurpleThrewBall,3,3,3,3,0
10:38:11.228,BlueDash,3,3,3,3,0
10:38:13.604,PurplePickedUpBall,3,4,3,3,0
10:38:13.861,BlueThrewBall,2,4,3,3,0
10:38:14.151,PurpleThrewBall,2,3,3,3,0
10:38:14.510,BlueThrewBall,1,3,3,3,0
10:38:14.605,HitPurple,1,3,3,2,0
10:38:14.742,PurplePickedUpBall,1,4,3,2,0
10:38:14.815,PurpleThrewBall,1,3,3,2,0
10:38:15.322,PurplePickedUpBall,1,4,3,2,0
10:38:16.202,BlueThrewBall,0,4,3,2,0
10:38:16.291,HitPurple,0,4,3,1,0
10:38:16.419,BluePickedUpBall,1,4,3,1,0
10:38:17.026,PurpleThrewBall,1,3,3,1,0
10:38:17.099,BlueThrewBall,0,3,3,1,0
10:38:18.365,PurplePickedUpBall,0,4,3,1,0
10:38:18.535,BluePickedUpBall,1,4,3,1,0
10:38:20.001,PurpleThrewBall,1,3,3,1,0
10:38:20.077,HitBlue,1,3,2,1,0
10:38:21.164,BlueThrewBall,0,3,2,1,0
10:38:21.271,HitPurple,0,3,2,0,0
10:38:21.275,GameEnd,0,0,2,0,0
10:38:22.678,BlueDash,0,0,2,0,0
10:38:23.270,WinScreenStart,0,0,2,0,0
10:38:37.278,ResetScene,0,0,3,3,0
10:38:41.299,FinishCountDown,0,0,3,3,0
10:38:42.341,PurplePickedUpBall,0,1,3,3,0
10:38:42.768,BluePickedUpBall,1,1,3,3,0
10:38:44.224,BluePickedUpBall,2,1,3,3,0
10:38:44.741,BlueDash,2,1,3,3,0
