,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
3,0.0,S,0,0,3,3,0.0
4,0.869,PurplePickedUpBall,0,1,3,3,0.0
5,1.164,PurplePickedUpBall,0,2,3,3,0.0
6,1.444,BluePickedUpBall,1,2,3,3,0.0
7,1.936,BluePickedUpBall,2,2,3,3,0.0
8,2.898,PurplePickedUpBall,2,3,3,3,0.0
9,2.943,PurpleThrewBall,2,2,3,3,0.0
10,3.336,PurplePickedUpBall,2,3,3,3,0.0
11,4.619,PurplePickedUpBall,2,4,3,3,0.0
12,5.096,PurpleThrewBall,2,3,3,3,0.0
13,5.138,HitBlue,2,3,2,3,0.0
14,5.194,BlueThrewBall,1,3,2,3,0.0
15,7.431,BlueThrewBall,0,3,2,3,0.0
16,7.736,PurplePickedUpBall,0,4,2,3,0.0
17,8.228,BlueDash,0,4,2,3,0.0
18,10.085,BlueDash,0,4,2,3,0.0
19,11.603,BlueDash,0,4,2,3,0.0
20,12.992,PurpleThrewBall,0,3,2,3,0.0
21,14.56,PurplePickedUpBall,0,4,2,3,0.0
22,14.97,PurpleThrewBall,0,3,2,3,0.0
23,14.973,HitBlue,0,3,1,3,0.0
24,14.974,BluePickedUpBall,1,3,1,3,0.0
25,15.2,BlueDash,1,3,1,3,0.0
26,18.89,BluePickedUpBall,2,3,1,3,0.0
27,18.906,BluePickedUpBall,3,3,1,3,0.0
28,19.157,PurplePickedUpBall,3,4,1,3,0.0
29,19.638,PurpleThrewBall,3,3,1,3,0.0
30,19.666,HitBlue,3,3,0,3,0.0
31,19.674,GameEnd,0,3,0,3,0.0
32,21.669,WinScreenStart,0,3,0,3,0.0
33,32.679,ResetScene,0,0,3,3,0.0
34,36.693,FinishCountDown,0,0,3,3,0.0
35,37.653,PurplePickedUpBall,0,1,3,3,0.0
36,38.668,PurpleThrewBall,0,0,3,3,0.0
37,38.693,PurplePickedUpBall,0,1,3,3,0.0
38,38.87,PurplePickedUpBall,0,2,3,3,0.0
39,39.297,PurpleThrewBall,0,1,3,3,0.0
40,39.466,BluePickedUpBall,1,1,3,3,0.0
41,40.625,PurplePickedUpBall,1,2,3,3,0.0
42,40.745,BlueDash,1,2,3,3,0.0
43,41.786,PurplePickedUpBall,1,3,3,3,0.0
44,43.675,BluePickedUpBall,2,3,3,3,0.0
45,45.648,PurplePickedUpBall,2,4,3,3,0.0
46,45.743,BlueThrewBall,1,4,3,3,0.0
47,45.842,HitPurple,1,4,3,2,0.0
48,45.916,PurpleThrewBall,1,3,3,2,0.0
49,46.803,PurpleThrewBall,1,2,3,2,0.0
50,47.575,BluePickedUpBall,2,2,3,2,0.0
51,47.705,BlueThrewBall,1,2,3,2,0.0
52,48.052,PurplePickedUpBall,1,3,3,2,0.0
53,51.718,BluePickedUpBall,2,3,3,2,0.0
54,52.214,PurplePickedUpBall,2,4,3,2,0.0
55,53.198,BluePickedUpBall,3,4,3,2,0.0
56,57.978,BluePickedUpBall,4,4,3,2,0.0
57,59.326,BlueThrewBall,3,4,3,2,0.0
58,59.397,HitPurple,3,4,3,1,0.0
59,60.14,PurpleThrewBall,3,3,3,1,0.0
60,60.766,PurpleThrewBall,3,2,3,1,0.0
61,60.861,HitBlue,3,2,2,1,0.0
62,60.918,BluePickedUpBall,4,2,2,1,0.0
63,61.058,PurpleThrewBall,4,1,2,1,0.0
64,61.127,HitBlue,4,1,1,1,0.0
65,61.384,BlueThrewBall,3,1,1,1,0.0
66,61.98,PurpleThrewBall,3,0,1,1,0.0
67,62.166,PurplePickedUpBall,3,1,1,1,0.0
68,63.135,PurpleThrewBall,3,0,1,1,0.0
69,63.21,HitBlue,3,0,0,1,0.0
70,63.214,GameEnd,0,0,0,1,0.0
71,65.215,WinScreenStart,0,0,0,1,0.0
72,76.223,ResetScene,0,0,3,3,0.0
73,80.24,FinishCountDown,0,0,3,3,0.0
74,81.234,BluePickedUpBall,1,0,3,3,0.0
75,81.606,PurplePickedUpBall,1,1,3,3,0.0
76,81.644,PurplePickedUpBall,1,2,3,3,0.0
77,81.807,PurplePickedUpBall,1,3,3,3,0.0
78,82.179,BluePickedUpBall,2,3,3,3,0.0
79,82.706,PurplePickedUpBall,2,4,3,3,0.0
80,82.794,PurpleThrewBall,2,3,3,3,0.0
81,82.994,PurplePickedUpBall,2,4,3,3,0.0
82,83.664,BluePickedUpBall,3,4,3,3,0.0
83,84.307,PurpleThrewBall,3,3,3,3,0.0
84,84.43,BlueDash,3,3,3,3,0.0
85,86.806,PurplePickedUpBall,3,4,3,3,0.0
86,87.063,BlueThrewBall,2,4,3,3,0.0
87,87.353,PurpleThrewBall,2,3,3,3,0.0
88,87.712,BlueThrewBall,1,3,3,3,0.0
89,87.807,HitPurple,1,3,3,2,0.0
90,87.944,PurplePickedUpBall,1,4,3,2,0.0
91,88.017,PurpleThrewBall,1,3,3,2,0.0
92,88.524,PurplePickedUpBall,1,4,3,2,0.0
93,89.404,BlueThrewBall,0,4,3,2,0.0
94,89.493,HitPurple,0,4,3,1,0.0
95,89.621,BluePickedUpBall,1,4,3,1,0.0
96,90.228,PurpleThrewBall,1,3,3,1,0.0
97,90.301,BlueThrewBall,0,3,3,1,0.0
98,91.567,PurplePickedUpBall,0,4,3,1,0.0
99,91.737,BluePickedUpBall,1,4,3,1,0.0
100,93.203,PurpleThrewBall,1,3,3,1,0.0
101,93.279,HitBlue,1,3,2,1,0.0
102,94.366,BlueThrewBall,0,3,2,1,0.0
103,94.473,HitPurple,0,3,2,0,0.0
104,94.477,GameEnd,0,0,2,0,0.0
105,95.88,BlueDash,0,0,2,0,0.0
106,96.472,WinScreenStart,0,0,2,0,0.0
107,110.48,ResetScene,0,0,3,3,0.0
108,114.501,FinishCountDown,0,0,3,3,0.0
109,115.543,PurplePickedUpBall,0,1,3,3,0.0
110,115.97,BluePickedUpBall,1,1,3,3,0.0
111,117.426,BluePickedUpBall,2,1,3,3,0.0
112,117.943,BlueDash,2,1,3,3,0.0
113,119.43,BlueDash,2,1,3,3,0.0
114,120.627,BlueThrewBall,1,1,3,3,0.0
115,121.006,PurplePickedUpBall,1,2,3,3,0.0
116,121.287,PurpleThrewBall,1,1,3,3,0.0
117,121.316,HitBlue,1,1,2,3,0.0
118,121.342,BlueThrewBall,0,1,2,3,0.0
119,122.492,BluePickedUpBall,1,1,2,3,0.0
120,123.604,BlueDash,1,1,2,3,0.0
121,124.564,PurplePickedUpBall,1,2,2,3,0.0
122,125.207,BlueDash,1,2,2,3,0.0
123,126.192,BluePickedUpBall,2,2,2,3,0.0
124,126.242,BluePickedUpBall,3,2,2,3,0.0
125,129.109,PurplePickedUpBall,3,3,2,3,0.0
126,129.788,PurplePickedUpBall,3,4,2,3,0.0
127,134.603,BlueThrewBall,2,4,2,3,0.0
128,137.913,PurpleThrewBall,2,3,2,3,0.0
129,138.122,HitBlue,2,3,1,3,0.0
130,138.199,PurpleThrewBall,2,2,1,3,0.0
131,138.44,HitBlue,2,2,0,3,0.0
132,138.443,GameEnd,0,2,0,3,0.0
133,140.446,WinScreenStart,0,2,0,3,0.0
134,156.468,ResetScene,0,0,3,3,0.0
135,160.481,FinishCountDown,0,0,3,3,0.0
136,161.749,PurplePickedUpBall,0,1,3,3,0.0
137,162.038,BluePickedUpBall,1,1,3,3,0.0
138,162.058,PurplePickedUpBall,1,2,3,3,0.0
139,163.278,PurplePickedUpBall,1,3,3,3,0.0
140,163.695,PurplePickedUpBall,1,4,3,3,0.0
141,163.785,BluePickedUpBall,2,4,3,3,0.0
142,166.695,PurpleThrewBall,2,3,3,3,0.0
143,167.091,PurpleThrewBall,2,2,3,3,0.0
144,167.909,PurpleThrewBall,2,1,3,3,0.0
145,167.911,HitBlue,2,1,2,3,0.0
146,167.922,BluePickedUpBall,3,1,2,3,0.0
147,168.545,PurpleThrewBall,3,0,2,3,0.0
148,168.606,HitBlue,3,0,1,3,0.0
149,168.837,BlueDash,3,0,1,3,0.0
150,169.793,PurplePickedUpBall,3,1,1,3,0.0
151,170.374,BlueThrewBall,2,1,1,3,0.0
152,170.774,BlueThrewBall,1,1,1,3,0.0
153,171.042,PurplePickedUpBall,1,2,1,3,0.0
154,172.083,BluePickedUpBall,2,2,1,3,0.0
155,172.121,PurplePickedUpBall,2,3,1,3,0.0
156,173.826,BlueThrewBall,1,3,1,3,0.0
