User,Win ratio FSM (user),Win ratio RL (user),Hit ratio FSM (user),Hit ratio RL (user),Precision FSM (user),Precision RL (user),Pick-up time FSM (user),Pick-up time RL (user),Throw time FSM (user),Throw time RL (user),Ball hold FSM (user),Ball hold RL (user),Throw distance FSM (user),Throw distance RL (user),Throw angle FSM (user),Throw angle RL (user),Rotation change FSM (user),Rotation change RL (user),Opponent observation FSM (user),Opponent observation RL (user),Approach FSM (user),Approach RL (user),Retreat FSM (user),Retreat RL (user),Aggressive movements FSM (user),Aggressive movements RL (user),Defensive movements FSM (user),Defensive movements RL (user),Hiding FSM (user),Hiding RL (user),Court half favor FSM (user),Court half favor RL (user),Middle court favor FSM (user),Middle court favor RL (user),Agent distance FSM,Agent distance RL,Game duration FSM,Game duration RL,Number of games FSM,Number of games RL,Result FSM,Result RL
21,0.0,25.0,19.231,31.25,22.727,37.037,7.337,4.953,4.955,7.464,0.463,0.955,8.676,8.869,74.087,93.087,26.185,24.78,7.519,10.432,46.667,48.961,37.111,27.258,52.049,34.68,20.492,7.071,6.815,3.038,63.222,58.114,42.185,34.972,16.492,16.479,24.909,22.784,6,7,0-7,2-6
21.25,0.0,25.0,19.231,27.586,22.727,44.444,5.376,5.056,4.772,3.807,0.627,0.404,9.661,8.218,51.407,88.281,24.8,25.713,7.294,5.382,42.306,44.94,34.682,29.071,52.88,51.37,13.089,15.753,3.482,3.726,50.494,56.164,34.635,44.434,15.66,13.783,21.219,16.182,7,8,0-7,2-6
21.5,14.286,25.0,23.077,33.333,40.0,47.619,6.994,8.009,12.89,7.746,0.586,0.552,7.763,8.571,77.274,88.217,20.07,18.804,7.39,5.207,40.359,41.209,38.522,35.101,48.947,50.0,19.474,14.646,10.057,3.279,59.685,56.573,38.916,49.02,14.924,14.878,21.694,28.78,7,8,1-6,2-6
21.75,0.0,12.5,20.0,25.806,17.647,33.333,5.352,5.623,7.103,6.228,0.692,0.657,8.9,10.818,63.07,68.248,20.46,24.746,12.18,11.962,39.226,36.317,38.555,35.184,56.77,31.339,10.689,23.647,9.015,4.261,43.318,47.459,42.359,43.432,14.452,15.447,27.85,22.243,8,8,0-8,1-7
22.0,12.5,0.0,23.333,16.0,31.818,25.0,3.695,5.685,4.245,3.069,0.705,0.535,8.32,9.394,36.098,66.571,21.646,28.449,9.928,9.554,36.628,36.118,32.29,40.788,54.717,32.721,17.358,25.0,7.379,3.942,59.973,57.112,50.984,34.362,14.972,16.52,16.327,19.204,7,6,1-7,0-7
22.25,22.222,0.0,40.0,20.0,40.0,18.75,3.981,5.556,2.932,5.592,0.526,0.668,9.167,10.975,51.73,74.621,23.088,25.065,9.677,10.251,43.893,33.146,33.273,33.333,54.328,21.271,16.418,15.159,3.769,8.567,32.947,47.699,60.783,41.152,17.613,14.723,22.012,24.056,9,8,2-7,0-8
22.5,25.0,42.857,23.333,41.379,17.949,34.286,3.95,5.565,3.203,7.552,0.653,1.012,10.117,8.372,46.425,83.501,27.119,28.302,8.217,4.599,39.609,53.457,34.598,36.975,58.156,35.885,10.993,19.617,4.274,10.247,39.352,49.63,47.237,35.463,18.898,18.444,24.437,36.286,8,7,2-6,3-4
22.75,11.111,0.0,30.556,20.0,28.947,26.087,4.259,6.253,3.499,9.194,0.509,0.588,9.652,13.844,80.792,56.812,34.206,19.925,5.357,10.844,44.286,30.094,37.857,41.651,60.674,12.012,7.303,38.138,4.087,2.927,56.19,78.424,38.095,34.934,15.604,16.009,20.127,23.197,9,8,1-8,0-8
23.0,0.0,14.286,10.0,28.571,23.077,26.667,8.524,4.334,11.745,4.304,0.417,0.66,8.199,9.924,58.787,74.457,18.091,15.24,9.864,10.745,25.519,39.726,48.842,33.604,37.543,40.426,40.956,17.021,4.952,10.188,81.43,69.092,32.468,37.029,17.099,18.07,19.321,25.395,8,6,0-9,1-6
23.25,0.0,28.571,15.625,39.286,15.152,27.5,5.646,5.39,2.376,4.855,0.293,0.681,10.524,10.001,67.072,86.97,21.521,19.231,15.102,12.821,38.59,48.915,39.555,32.84,27.711,49.309,22.691,14.055,6.382,6.114,71.058,47.337,36.364,46.943,16.535,17.224,21.733,33.597,9,7,0-9,2-5
23.5,0.0,0.0,3.571,19.231,3.846,11.905,5.667,4.404,4.337,3.287,0.469,0.572,9.416,12.941,76.469,66.842,16.673,18.008,15.866,7.287,34.614,35.101,36.266,42.884,26.694,42.222,22.587,34.222,8.413,10.072,70.611,63.411,27.968,43.113,15.224,17.938,19.927,28.027,9,7,0-9,0-7
23.75,0.0,14.286,10.0,25.0,13.636,20.0,6.875,5.604,3.825,6.911,0.331,0.789,9.457,11.954,77.768,96.904,18.178,16.573,5.925,6.645,38.003,44.195,43.416,33.467,44.792,35.533,20.833,23.858,15.216,3.763,67.776,57.526,39.612,31.745,15.146,18.169,20.401,26.132,9,7,0-9,1-6
24.0,0.0,50.0,25.0,58.824,15.385,28.571,4.912,5.032,2.388,6.818,0.347,1.13,10.58,11.478,60.296,65.106,26.258,30.662,6.206,6.519,33.235,51.907,45.795,45.34,37.561,43.678,26.829,24.138,4.737,5.987,51.598,54.708,24.679,49.396,15.261,18.553,33.588,38.876,5,3,0-6,2-2
24.25,0.0,60.0,22.222,57.143,13.043,20.0,4.278,3.983,3.143,6.402,0.531,1.321,15.834,12.438,53.159,74.296,26.805,32.925,7.486,4.902,34.783,48.46,43.743,44.982,36.434,33.854,34.884,28.646,8.28,4.472,52.439,51.838,36.068,51.176,18.706,19.542,29.657,50.587,7,5,0-7,3-2
24.5,16.667,40.0,29.167,47.619,12.069,34.483,4.042,3.597,3.016,3.218,0.58,0.628,13.961,10.308,71.37,67.829,30.832,23.333,7.374,7.885,37.52,35.833,51.452,39.615,30.068,25.379,40.541,12.5,4.861,3.397,42.023,54.423,24.796,50.897,18.315,17.916,40.758,22.625,6,5,1-5,2-3
24.75,0.0,20.0,12.5,38.095,10.345,9.877,4.795,3.931,2.825,3.939,0.381,0.839,14.52,14.392,69.1,67.308,24.879,27.329,7.648,7.029,40.077,37.945,41.965,48.415,31.937,45.373,37.696,24.179,4.211,4.497,41.965,52.101,37.028,31.482,17.249,20.142,20.949,68.794,7,5,0-7,1-4
