User,Win ratio FSM (user),Win ratio RL (user),Hit ratio FSM (user),Hit ratio RL (user),Aggressive movements FSM (user),Aggressive movements RL (user),Defensive movements FSM (user),Defensive movements RL (user),Hiding FSM (user),Hiding RL (user),Number of games FSM,Number of games RL,Result FSM,Result RL
18,20.0,0.0,23.81,14.286,45.896,31.552,26.493,36.896,3.939,4.58,5,5,1-4,0-5
18.5,16.667,50.0,33.333,52.632,48.359,44.376,16.408,33.742,4.793,3.63,6,5,1-5,3-3
19.0,0.0,0.0,17.391,30.769,47.28,30.168,18.41,21.508,5.843,4.225,6,6,0-6,0-6
19.5,14.286,42.857,9.524,37.5,44.504,35.294,29.491,36.364,9.108,6.67,7,6,1-6,3-4
20.0,25.0,50.0,34.211,50.0,33.365,20.8,51.555,59.2,3.288,6.055,8,4,2-6,2-2
20.5,0.0,60.0,11.111,45.0,36.907,36.921,43.918,44.395,11.768,5.472,9,5,0-9,3-2
21.0,6.667,25.0,21.667,28.125,53.673,41.964,16.531,9.598,5.116,3.303,15,16,1-14,4-12
21.5,0.0,18.75,20.755,32.203,55.132,46.691,13.411,20.751,9.722,3.817,14,16,0-15,3-13
22.0,22.222,0.0,33.333,20.0,55.788,28.533,17.524,18.439,5.39,7.102,17,15,4-14,0-15
22.5,11.111,20.0,25.0,28.571,57.582,18.458,11.209,33.671,3.995,6.379,17,15,2-16,3-12
23.0,0.0,21.429,13.636,32.203,40.336,44.444,29.532,14.77,5.782,8.244,18,14,0-18,3-11
23.5,0.0,6.667,5.263,22.0,35.276,46.135,24.233,31.401,11.793,6.669,18,14,0-19,1-14
24.0,0.0,50.0,22.222,53.191,36.292,40.046,32.347,25.172,6.366,5.141,13,10,0-13,5-5
24.5,7.143,40.0,24.0,47.368,32.591,34.653,37.045,21.617,4.758,4.285,13,9,1-13,4-6
25.0,7.143,20.0,14.286,34.375,39.146,47.682,11.21,14.901,6.407,8.2,14,15,1-13,3-12
25.5,6.667,26.667,26.415,34.545,31.141,42.012,14.894,38.462,5.473,7.866,15,14,1-14,4-11
26.0,7.143,9.091,28.333,22.727,41.426,35.244,31.919,33.97,6.534,5.732,14,11,1-13,1-10
26.5,7.143,0.0,22.449,8.108,40.323,31.442,36.51,33.712,7.062,6.263,13,12,1-13,0-12
27.0,13.333,43.75,25.806,47.887,50.0,50.669,23.248,19.9,11.274,4.457,15,16,2-13,7-9
27.5,6.25,43.75,26.316,44.262,49.336,49.445,19.165,30.111,8.818,3.455,15,15,1-15,7-9
28.0,20.0,23.077,29.508,36.667,39.896,49.214,21.244,17.61,7.013,6.265,15,13,3-12,3-10
28.5,13.333,15.385,20.833,30.612,27.5,14.094,13.462,24.497,11.095,4.229,14,13,2-13,2-11
29.0,0.0,33.333,5.556,40.0,41.791,34.4,19.776,30.56,10.247,7.801,16,15,0-16,5-10
29.5,0.0,6.667,14.286,19.608,44.643,34.28,12.054,46.45,8.715,2.878,16,15,0-17,1-14
30.0,7.143,37.5,26.667,41.667,43.286,52.814,28.445,23.16,7.155,6.408,14,8,1-13,3-5
30.5,14.286,25.0,22.917,41.379,37.132,27.778,30.882,31.9,11.522,15.513,13,8,2-12,2-6
31.0,6.25,25.0,16.667,25.424,48.122,61.672,30.986,23.186,4.697,5.609,16,16,1-15,4-12
31.5,0.0,37.5,15.094,43.939,46.19,42.083,26.439,23.958,8.706,3.243,15,15,0-16,6-10
32.0,16.667,30.0,24.444,36.364,53.195,32.661,21.071,35.046,6.078,6.179,11,10,2-10,3-7
32.5,8.333,30.0,20.0,37.143,45.914,35.439,24.514,30.526,9.778,8.09,12,10,1-11,3-7
33.0,0.0,15.385,6.25,27.273,48.901,44.142,20.879,14.714,9.342,6.853,14,13,0-14,2-11
33.5,0.0,21.429,7.143,38.182,28.78,21.3,28.78,7.762,8.335,4.664,14,14,0-14,3-11
34.0,6.667,6.667,18.966,16.071,45.092,35.322,19.135,14.129,3.999,3.327,15,15,1-14,1-14
34.5,0.0,12.5,13.725,21.818,29.63,29.467,24.339,23.197,7.683,4.589,15,15,0-15,2-14
